"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
26148	45393	"Vällamäe"	57.73722	27.06917	47	"AWI"	47	-39	240	85	46	2	6	2	64	0	6	2	0	32	60	8	2	0	0	0	0	0
26148	45393	"Vällamäe"	57.73722	27.06917	65	"AWI"	65	-1	294	132	26	0	6	2	92	2	6	12	0	12	70	24	4	0	0	0	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	85	"AWI"	85	38	359	184	32	2	2	0	92	0	2	4	0	12	68	10	2	0	0	2	0	0
26148	45393	"Vällamäe"	57.73722	27.06917	110	"AWI"	110	92	425	253	42	0	2	2	46	4	2	4	0	20	88	14	2	0	0	2	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	137	"AWI"	137	156	495	324	24	0	0	0	112	2	0	2	0	26	38	6	0	2	0	0	0	0
26148	45393	"Vällamäe"	57.73722	27.06917	165	"AWI"	165	234	557	399	48	2	0	2	76	2	0	8	0	8	66	0	2	0	0	4	0	0
26148	45393	"Vällamäe"	57.73722	27.06917	185	"AWI"	185	285	600	452	38	0	0	4	96	4	0	2	0	16	46	14	2	0	0	2	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	200	"AWI"	200	326	620	488	22	0	2	2	92	2	2	2	0	20	46	14	0	0	0	4	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	220	"AWI"	220	391	662	537	28	0	2	2	74	4	2	0	0	26	48	20	2	0	2	2	0	0
26148	45393	"Vällamäe"	57.73722	27.06917	239	"AWI"	239	452	738	599	100	0	2	0	48	2	2	0	0	8	42	6	4	0	0	2	0	2
26148	45393	"Vällamäe"	57.73722	27.06917	295	"AWI"	295	594	966	776	42	0	2	0	76	2	2	2	0	8	66	10	4	0	0	2	2	2
26148	45393	"Vällamäe"	57.73722	27.06917	329	"AWI"	329	685	1068	885	36	0	0	0	72	4	0	2	0	24	64	14	6	0	0	2	0	0
