"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"
3009	3923	"Bergakyllen"	57.18367	16.14528	8710	"AWI"	8710	8927	10441	9635	4	0	0	2	0	0	0	0	0	93	1	0	0	0	0	0	0	0	0	320	0	8	1	3	0	0	0	0	0	2	0	0	0	1	10
3009	3923	"Bergakyllen"	57.18367	16.14528	8790	"AWI"	8790	9287	10724	10031	1	2	0	2	0	0	0	0	0	72	1	1	0	9	0	1	0	0	0	353	0	12	0	5	0	0	0	0	1	1	0	0	0	0	5
3009	3923	"Bergakyllen"	57.18367	16.14528	8870	"AWI"	8870	9696	10996	10433	0	0	0	3	0	0	0	0	0	49	2	0	0	0	0	0	1	0	0	352	0	5	0	0	0	0	0	1	0	2	0	0	0	0	7
3009	3923	"Bergakyllen"	57.18367	16.14528	8930	"AWI"	8930	10151	11204	10702	0	1	0	4	0	0	0	0	0	36	2	0	0	0	0	0	0	0	0	303	0	10	1	0	0	0	0	0	0	7	0	0	1	0	9
3009	3923	"Bergakyllen"	57.18367	16.14528	8980	"AWI"	8980	10491	11419	10937	0	0	0	3	0	0	2	0	0	24	2	0	0	0	0	0	0	0	0	297	0	10	2	1	0	0	0	0	0	7	0	0	1	0	4
3009	3923	"Bergakyllen"	57.18367	16.14528	9020	"AWI"	9020	10803	11601	11168	0	0	0	4	0	0	0	0	0	9	4	0	0	0	0	0	1	0	0	302	0	8	1	0	0	0	0	0	0	2	0	0	0	0	4
3009	3923	"Bergakyllen"	57.18367	16.14528	9050	"AWI"	9050	10899	11797	11320	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	295	0	4	0	0	0	0	0	0	0	8	0	0	1	0	1
3009	3923	"Bergakyllen"	57.18367	16.14528	9080	"AWI"	9080	10953	12136	11476	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	252	0	11	0	0	0	0	0	0	0	4	0	0	2	0	3
3009	3923	"Bergakyllen"	57.18367	16.14528	9110	"AWI"	9110	11190	12225	11669	0	1	0	4	0	0	0	0	0	0	4	0	0	0	0	0	37	0	0	137	0	13	0	0	0	0	0	0	1	8	0	0	1	0	1
3009	3923	"Bergakyllen"	57.18367	16.14528	9137	"AWI"	9137	11322	12317	11859	0	0	0	7	0	360	0	0	0	0	5	2	0	0	0	0	31	0	0	95	0	23	0	0	0	0	0	0	1	9	0	0	2	0	1
3009	3923	"Bergakyllen"	57.18367	16.14528	9160	"AWI"	9160	11411	12428	12020	0	3	0	9	0	284	0	0	0	0	11	1	0	0	0	0	46	0	0	92	0	31	1	0	0	0	0	1	2	17	0	0	1	0	4
3009	3923	"Bergakyllen"	57.18367	16.14528	9200	"AWI"	9200	11862	12617	12341	0	7	0	33	0	153	0	0	0	0	24	0	0	0	0	0	12	1	0	262	0	46	0	0	0	0	0	1	4	26	0	1	1	0	0
