"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juglans"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
14503	22718	"Velký Máj"	50.04739	17.22029	0	"AWI"	0	-104	59	-26	3	0	46	6	2	13	0	78	0	0	0	14	30	0	52	0	0	28	131	164	4	238	0	22	0	0	0	9	13	3	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	5	"AWI"	5	-26	385	124	3	0	52	11	0	7	0	67	0	0	0	53	21	0	16	0	0	33	140	158	0	211	0	11	0	0	0	6	21	0	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	10	"AWI"	10	4	794	271	2	0	47	18	2	12	0	99	6	0	2	7	110	0	17	0	0	17	173	204	0	245	0	33	0	0	0	6	17	2	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	15	"AWI"	15	145	917	449	2	0	37	13	3	9	0	92	3	0	3	17	56	0	7	0	0	12	172	179	0	215	0	16	0	0	0	7	16	2	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	20	"AWI"	20	227	1152	618	6	0	30	8	2	9	0	78	2	0	0	32	91	0	12	0	0	18	198	172	0	190	0	20	0	0	2	6	16	0	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	25	"AWI"	25	736	1307	988	8	0	26	20	1	2	0	101	0	0	0	23	99	0	15	0	0	5	187	176	0	181	0	46	0	0	1	4	5	0	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	28	"AWI"	28	920	1482	1238	71	0	31	4	1	4	0	52	0	0	2	42	71	0	63	0	0	1	117	167	0	123	0	27	1	0	0	4	4	0	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	32	"AWI"	32	1085	1699	1427	37	0	68	3	0	23	0	62	1	0	12	2	56	0	59	1	3	13	64	191	0	93	0	21	0	0	0	9	18	0	0	1
14503	22718	"Velký Máj"	50.04739	17.22029	35	"AWI"	35	1181	1773	1499	53	0	29	3	3	31	0	49	4	0	6	3	106	0	139	3	3	33	52	138	0	132	0	22	0	6	0	4	9	0	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	40	"AWI"	40	1283	1983	1618	33	0	35	2	0	32	0	123	0	1	8	28	99	2	141	1	0	13	65	80	0	95	0	32	0	0	0	8	16	0	4	0
14503	22718	"Velký Máj"	50.04739	17.22029	45	"AWI"	45	1386	2089	1718	98	0	42	1	3	34	0	92	0	0	2	21	14	3	225	0	0	35	75	97	0	81	0	78	0	0	0	3	8	2	4	0
14503	22718	"Velký Máj"	50.04739	17.22029	50	"AWI"	50	1446	2272	1809	98	1	45	0	0	16	0	118	0	0	3	207	11	0	182	0	0	5	55	64	0	0	0	50	0	0	0	5	11	8	2	0
14503	22718	"Velký Máj"	50.04739	17.22029	54	"AWI"	54	1531	2355	1888	115	5	47	3	1	64	0	65	0	0	2	23	37	0	182	0	0	25	31	73	0	185	0	69	0	0	2	3	9	2	1	0
14503	22718	"Velký Máj"	50.04739	17.22029	58	"AWI"	58	1593	2477	1964	91	1	49	0	0	13	0	54	0	0	4	11	57	0	206	0	0	33	34	68	0	294	0	47	0	0	2	1	2	4	0	0
14503	22718	"Velký Máj"	50.04739	17.22029	63	"AWI"	63	1696	2641	2078	40	0	126	0	1	14	0	101	0	0	1	14	62	0	251	0	0	26	22	28	0	291	0	54	0	0	0	2	13	7	1	0
