"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Ulmus"	"Urticaceae"
3044	3971	"Carrivmoragh"	54.30019	-5.98393	23	"AWI"	23	631	1568	1128	155	0	0	1	6	0	47	5	0	1	101	31	27	19	12	0	3	0	195	27	10	22	0	3	62	2	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	25	"AWI"	25	826	1594	1224	155	0	0	1	2	0	26	0	3	0	83	13	6	2	4	0	7	8	109	23	2	12	0	1	30	5	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	27	"AWI"	27	1001	1643	1321	143	0	0	0	0	0	57	1	0	0	93	45	9	17	5	1	3	0	229	33	10	28	0	3	67	2	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	29	"AWI"	29	1133	1711	1425	116	0	2	0	0	7	21	3	0	5	90	24	11	3	5	0	2	0	107	28	0	15	0	2	36	6	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	31	"AWI"	31	1325	1805	1556	206	0	1	1	0	14	34	1	7	3	51	57	13	7	4	0	1	0	256	28	12	19	0	10	43	4	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	33	"AWI"	33	1494	1950	1723	145	0	0	2	0	6	9	2	0	4	84	18	8	2	2	0	0	0	99	29	0	21	0	0	20	3	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	35	"AWI"	35	1568	2226	1882	249	0	0	0	1	6	25	0	0	1	81	22	8	6	4	0	1	0	272	42	0	16	0	6	35	1	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	37	"AWI"	37	1617	2546	2042	161	0	0	0	2	0	44	0	0	2	106	5	9	0	0	1	0	0	96	36	0	0	0	1	6	6	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	39	"AWI"	39	1648	2881	2202	305	0	0	1	0	6	16	0	0	2	123	32	4	5	0	0	0	11	202	46	1	10	0	2	8	6	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	41	"AWI"	41	1807	3066	2364	178	0	0	2	0	5	15	2	0	2	64	19	3	3	2	0	2	0	126	43	6	12	0	0	9	3	1
3044	3971	"Carrivmoragh"	54.30019	-5.98393	43	"AWI"	43	2084	3103	2534	283	0	0	1	0	5	11	0	0	2	102	25	3	3	5	0	1	0	178	41	3	0	0	2	10	2	1
3044	3971	"Carrivmoragh"	54.30019	-5.98393	45	"AWI"	45	2355	3138	2702	228	0	0	0	0	0	24	0	0	0	65	10	6	4	0	0	0	0	82	39	0	12	0	0	7	2	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	47	"AWI"	47	2591	3182	2877	248	0	0	0	0	0	5	0	2	0	93	34	2	4	7	0	2	0	174	52	2	0	0	5	6	4	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	49	"AWI"	49	2772	3260	3057	232	0	2	0	0	4	16	3	0	2	91	16	3	4	12	0	1	0	202	56	4	11	0	3	16	2	1
3044	3971	"Carrivmoragh"	54.30019	-5.98393	51	"AWI"	51	2888	3349	3166	334	1	0	0	0	5	8	0	0	0	97	18	1	7	4	0	2	0	194	33	1	8	1	3	5	7	1
3044	3971	"Carrivmoragh"	54.30019	-5.98393	53	"AWI"	53	2981	3377	3210	104	1	0	0	0	0	20	0	0	3	65	1	3	0	5	0	0	0	176	11	3	0	0	1	3	1	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	55	"AWI"	55	3047	3415	3257	140	4	0	1	0	29	4	0	3	8	84	16	3	2	7	0	0	0	353	19	0	25	0	6	9	1	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	57	"AWI"	57	3088	3466	3305	124	0	0	1	0	0	11	0	0	0	90	7	1	0	5	0	0	0	323	26	8	0	0	16	7	3	6
3044	3971	"Carrivmoragh"	54.30019	-5.98393	59	"AWI"	59	3121	3537	3354	152	0	0	6	0	0	6	2	0	2	102	19	7	1	4	0	1	0	255	24	12	22	0	6	4	3	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	61	"AWI"	61	3176	3590	3394	141	1	0	0	0	0	11	0	0	1	103	0	4	1	1	1	2	0	150	18	4	0	0	1	0	1	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	63	"AWI"	63	3258	3609	3431	203	0	0	1	0	0	7	1	2	3	129	19	2	3	16	0	0	0	179	38	6	0	0	8	8	7	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	65	"AWI"	65	3325	3635	3468	206	0	0	2	0	4	8	0	0	1	139	15	3	9	14	0	1	0	152	48	1	14	0	1	12	6	1
3044	3971	"Carrivmoragh"	54.30019	-5.98393	67	"AWI"	67	3376	3667	3506	305	0	6	0	0	12	31	0	0	0	99	40	8	6	3	0	1	0	116	46	2	0	0	1	6	8	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	69	"AWI"	69	3408	3710	3546	201	0	5	0	0	0	43	0	0	0	106	13	10	2	0	0	0	0	0	34	1	21	0	0	7	4	1
3044	3971	"Carrivmoragh"	54.30019	-5.98393	71	"AWI"	71	3455	3754	3589	169	0	1	0	0	0	36	0	0	0	112	36	6	0	0	0	2	0	0	42	1	9	0	0	24	0	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	73	"AWI"	73	3514	3788	3640	185	0	1	0	0	0	26	0	0	2	133	14	14	5	5	0	1	0	28	46	2	0	0	1	16	9	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	75	"AWI"	75	3560	3843	3694	384	0	0	0	0	0	29	0	0	0	153	20	4	9	7	0	2	0	79	55	5	18	0	0	13	10	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	77	"AWI"	77	3586	3914	3745	195	0	0	0	0	0	39	0	0	3	163	6	4	0	7	0	5	0	0	25	1	8	0	0	3	3	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	79	"AWI"	79	3610	3995	3793	195	0	0	0	0	0	29	0	0	0	171	28	0	10	5	0	13	0	0	63	3	12	0	0	3	12	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	81	"AWI"	81	3672	4062	3855	254	0	0	0	0	0	18	0	0	0	173	24	0	4	6	0	10	0	0	52	1	0	0	0	13	10	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	83	"AWI"	83	3765	4113	3932	217	0	0	0	0	0	20	0	0	0	145	50	0	1	4	0	17	0	94	45	0	0	0	1	0	0	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	85	"AWI"	85	3838	4173	4012	212	0	0	0	0	0	15	0	0	0	146	42	0	0	1	0	24	0	0	43	0	0	0	1	0	6	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	87	"AWI"	87	3893	4252	4091	250	0	0	0	0	0	23	0	0	1	160	39	2	1	1	0	10	0	85	73	1	0	0	2	3	16	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	88	"AWI"	88	3914	4298	4130	345	1	3	1	0	0	11	0	0	0	173	33	1	6	1	0	9	0	98	53	0	3	0	0	2	11	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	89	"AWI"	89	3932	4352	4167	263	0	1	0	0	0	11	0	0	1	174	30	2	3	2	0	7	0	87	79	0	3	0	1	5	8	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	90	"AWI"	90	3947	4406	4204	245	0	0	0	0	0	8	0	0	2	134	51	0	3	2	0	11	0	101	87	0	0	0	2	3	17	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	91	"AWI"	91	3976	4420	4218	201	0	2	1	0	0	10	0	0	1	160	48	1	6	3	0	23	0	121	52	2	0	0	2	1	38	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	93	"AWI"	93	4027	4457	4248	127	0	0	0	0	0	28	0	0	2	142	4	7	0	1	0	34	0	0	40	0	0	0	0	0	23	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	95	"AWI"	95	4064	4517	4278	189	0	1	2	0	0	16	1	0	2	135	41	2	1	3	0	27	0	72	71	1	8	1	1	3	50	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	97	"AWI"	97	4095	4580	4310	131	0	1	0	0	0	22	0	0	1	134	11	3	1	4	0	40	0	20	62	5	0	0	0	4	46	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	99	"AWI"	99	4116	4653	4340	280	0	2	5	0	0	12	0	0	0	119	35	0	2	11	0	40	0	35	76	10	71	3	0	5	45	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	101	"AWI"	101	4224	4804	4457	223	0	4	0	0	0	14	1	0	1	119	14	1	0	0	0	18	0	0	27	3	0	0	0	2	23	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	103	"AWI"	103	4309	5230	4660	258	0	1	1	0	0	26	0	0	0	164	18	0	2	10	0	54	0	28	48	2	9	0	0	3	36	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	104	"AWI"	104	4337	5465	4762	148	0	4	0	0	0	15	0	0	1	170	40	1	2	4	0	53	10	24	58	0	15	0	0	5	44	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	105	"AWI"	105	4355	5712	4859	227	0	2	0	0	0	11	0	0	0	145	18	0	1	8	1	64	0	29	88	0	10	0	0	1	46	0
3044	3971	"Carrivmoragh"	54.30019	-5.98393	106	"AWI"	106	4375	5978	4959	296	0	0	4	0	0	12	0	0	0	166	16	0	0	4	0	91	0	0	67	9	0	0	0	2	92	0
