"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Phillyrea"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Viburnum"
3493	4518	"Vingölen"	57.13371	15.93773	7610	"AWI"	7610	9034	10233	9690	6	0	0	2	0	0	0	0	0	0	0	79	0	4	0	0	0	0	0	0	1	0	0	0	0	253	0	16	0	1	3	0	0	0	0	6	0	0	0	0	2	0
3493	4518	"Vingölen"	57.13371	15.93773	7660	"AWI"	7660	9402	10478	9986	4	0	0	1	0	0	0	0	0	0	0	88	0	1	0	0	0	0	0	0	0	0	0	0	0	270	0	12	0	1	0	0	0	0	0	8	0	0	0	0	9	0
3493	4518	"Vingölen"	57.13371	15.93773	7710	"AWI"	7710	9778	10721	10274	0	0	0	0	0	0	0	0	0	0	0	87	0	1	0	0	0	0	0	0	0	0	0	0	0	280	0	12	0	1	0	0	0	0	0	6	0	0	0	0	5	1
3493	4518	"Vingölen"	57.13371	15.93773	7750	"AWI"	7750	10078	10908	10489	0	0	0	0	0	0	0	0	0	0	0	68	0	2	0	0	0	0	1	1	1	0	0	0	0	342	0	12	0	1	1	0	0	0	0	4	0	0	0	0	2	0
3493	4518	"Vingölen"	57.13371	15.93773	7772	"AWI"	7772	10244	10998	10606	0	0	0	2	0	0	0	0	0	0	0	15	0	15	0	0	0	0	0	0	1	1	0	0	0	226	0	15	0	1	0	0	0	0	0	11	0	0	0	1	4	0
3493	4518	"Vingölen"	57.13371	15.93773	7790	"AWI"	7790	10410	11061	10695	0	0	0	2	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	1	0	0	0	0	221	0	11	0	1	0	0	0	0	0	8	0	0	0	0	5	0
3493	4518	"Vingölen"	57.13371	15.93773	7810	"AWI"	7810	10540	11173	10830	0	0	0	0	0	228	0	1	0	0	0	12	0	2	0	0	0	0	0	0	2	0	0	0	0	209	0	17	0	1	0	0	0	0	1	5	0	0	0	0	1	0
3493	4518	"Vingölen"	57.13371	15.93773	7830	"AWI"	7830	10662	11283	10969	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	166	0	20	0	0	0	0	0	0	0	9	0	0	0	0	5	0
3493	4518	"Vingölen"	57.13371	15.93773	7860	"AWI"	7860	10844	11441	11161	0	0	0	3	0	422	0	0	0	0	0	0	0	3	0	0	0	0	0	0	29	0	0	0	0	75	0	21	0	1	0	0	0	0	1	16	0	0	0	0	2	0
3493	4518	"Vingölen"	57.13371	15.93773	7890	"AWI"	7890	11114	11596	11329	0	1	0	5	0	420	0	0	0	0	0	0	0	3	2	0	0	0	0	0	51	0	0	0	0	60	0	35	0	0	0	0	0	0	2	22	0	0	1	0	0	0
3493	4518	"Vingölen"	57.13371	15.93773	7905	"AWI"	7905	11211	11659	11403	0	0	0	5	0	354	0	0	0	0	0	0	0	5	1	0	0	0	0	0	8	0	0	0	0	82	0	45	0	0	0	0	0	1	3	30	0	0	0	1	0	0
3493	4518	"Vingölen"	57.13371	15.93773	7920	"AWI"	7920	11260	11722	11468	0	3	0	23	0	205	0	0	0	0	0	0	0	13	0	0	0	0	0	2	22	0	0	1	0	146	0	70	0	0	0	0	0	2	13	27	0	0	0	1	0	0
3493	4518	"Vingölen"	57.13371	15.93773	7940	"AWI"	7940	11325	11810	11551	0	16	0	44	0	295	0	0	0	0	0	0	0	22	0	0	0	0	0	0	2	0	0	0	0	78	0	47	0	0	0	0	0	3	7	22	0	0	0	1	0	0
3493	4518	"Vingölen"	57.13371	15.93773	7963	"AWI"	7963	11407	11904	11643	0	12	0	68	0	188	0	0	0	0	0	0	0	17	0	0	0	0	0	0	8	1	0	0	0	99	0	41	0	0	0	0	0	0	16	38	1	0	0	6	0	0
3493	4518	"Vingölen"	57.13371	15.93773	7980	"AWI"	7980	11462	11979	11709	0	23	0	92	0	128	0	0	0	0	0	0	0	43	0	0	0	2	0	0	23	1	0	0	0	143	0	68	0	0	0	0	0	0	26	30	0	0	0	3	0	0
