"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Iridaceae"	"Myricaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Tilia"	"Ulmus"
3183	4139	"Lake Karujarv"	58.38333	22.2	210	"AWI"	210	340	811	561	22	3	0	2	4	79	13	7	0	0	2	10	95	8	2	0	0	0	0	0
3183	4139	"Lake Karujarv"	58.38333	22.2	220	"AWI"	220	390	835	588	17	3	0	4	3	65	15	8	0	0	0	19	109	11	3	0	0	0	0	2
3183	4139	"Lake Karujarv"	58.38333	22.2	230	"AWI"	230	443	854	615	14	2	0	4	3	68	9	6	0	0	1	31	101	9	2	0	2	0	0	2
3183	4139	"Lake Karujarv"	58.38333	22.2	240	"AWI"	240	483	874	644	13	2	0	3	3	70	10	7	0	0	0	30	121	9	3	0	0	0	0	0
3183	4139	"Lake Karujarv"	58.38333	22.2	260	"AWI"	260	585	946	729	11	1	0	1	3	45	14	7	0	0	0	28	126	10	3	0	0	0	0	0
3183	4139	"Lake Karujarv"	58.38333	22.2	270	"AWI"	270	611	1018	779	14	2	0	4	1	59	22	5	1	0	0	24	123	14	4	0	0	0	0	0
3183	4139	"Lake Karujarv"	58.38333	22.2	280	"AWI"	280	655	1077	835	16	1	0	2	1	70	12	6	0	0	0	21	111	7	2	0	0	0	0	0
3183	4139	"Lake Karujarv"	58.38333	22.2	290	"AWI"	290	702	1134	901	17	4	0	0	2	60	12	3	0	0	0	25	123	8	3	0	0	0	0	0
3183	4139	"Lake Karujarv"	58.38333	22.2	300	"AWI"	300	727	1213	962	14	2	0	2	0	63	21	9	0	1	2	21	106	10	4	1	0	0	0	0
3183	4139	"Lake Karujarv"	58.38333	22.2	310	"AWI"	310	778	1284	1016	26	0	1	5	3	69	17	5	0	0	0	28	93	3	4	0	0	1	0	2
3183	4139	"Lake Karujarv"	58.38333	22.2	320	"AWI"	320	840	1325	1071	9	2	2	2	0	46	7	3	0	0	1	43	102	11	3	0	2	0	0	2
3183	4139	"Lake Karujarv"	58.38333	22.2	330	"AWI"	330	873	1381	1134	24	3	0	0	0	64	15	3	1	0	0	27	95	8	3	1	1	0	0	2
