"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juniperus"	"Malvaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Podocarpaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	9	"AWI"	9	995	1774	1289	0	0	0	2	1	0	137	0	0	0	1	0	0	0	0	0	0	0	18	9	0	1	1	10	78	0	15	0	0	0	0	0	0	1	2	0	1	1	10	0	0	0	1	1
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	14	"AWI"	14	1131	1951	1482	10	0	1	2	2	0	100	0	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	10	93	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	19	"AWI"	19	1209	2145	1683	0	0	1	1	3	0	117	0	0	0	0	0	0	0	1	0	0	0	8	2	0	1	0	11	160	0	21	0	0	0	0	1	0	0	2	0	0	1	7	0	0	1	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	24	"AWI"	24	1479	2273	1862	0	1	1	6	4	0	127	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	8	135	2	13	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	29	"AWI"	29	1631	2440	2069	17	0	3	3	2	0	169	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	14	167	0	16	0	0	0	0	3	0	0	1	0	0	0	3	0	1	1	3	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	34	"AWI"	34	2018	2599	2256	3	0	3	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	8	99	0	16	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	39	"AWI"	39	2185	2865	2451	0	1	1	2	8	0	159	0	0	0	1	0	0	0	0	0	3	0	13	15	0	0	0	17	121	0	31	0	0	1	0	2	0	0	4	0	1	2	8	0	0	1	2	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	44	"AWI"	44	2297	3109	2648	16	1	1	2	6	0	160	0	0	0	2	0	0	0	0	0	0	2	6	23	0	0	0	12	174	0	18	0	0	0	0	1	0	0	1	0	0	0	6	0	0	0	2	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	49	"AWI"	49	2357	3468	2835	15	1	1	1	1	0	150	0	0	0	0	0	0	0	0	0	0	0	27	11	0	0	0	6	190	0	18	0	0	1	0	1	0	0	3	0	0	0	1	0	0	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	54	"AWI"	54	2531	3639	3037	0	0	1	0	16	0	121	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	6	121	0	15	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	59	"AWI"	59	2650	3826	3237	0	0	0	2	2	0	186	0	0	0	1	0	0	28	1	0	0	0	11	12	0	0	0	6	169	0	23	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	3	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	64	"AWI"	64	2842	3950	3420	0	4	0	12	1	0	168	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	7	141	0	18	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	1	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	69	"AWI"	69	2955	4082	3633	0	0	0	0	3	0	183	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	13	177	0	10	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	1	1
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	74	"AWI"	74	3462	4200	3833	0	3	0	3	1	0	194	1	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	13	252	0	14	0	0	0	0	1	0	0	0	3	0	0	7	0	0	1	3	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	79	"AWI"	79	3716	4484	4058	0	1	2	0	5	0	113	1	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	9	168	0	13	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	2	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	84	"AWI"	84	3892	4740	4314	0	1	0	4	3	0	160	0	0	0	1	0	0	0	0	0	0	0	11	11	0	0	0	13	240	0	9	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	89	"AWI"	89	3986	5128	4566	0	1	1	2	4	0	178	0	0	0	1	0	0	0	1	0	0	0	6	18	0	0	0	12	203	0	12	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	6	0
26560	46445	"Lake Yarnyshnoe"	69.06667	36.06667	94	"AWI"	94	4287	5294	4828	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	2	158	0	6	0	0	0	0	3	0	0	0	0	0	1	5	0	0	0	1	0
