"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"
9698	14289	"Lough Camclaun"	52.19429	-10.166208	0	"AWI"	0	-120	42	-41	0	1.98019801980198	0	0	0	0.495049504950495	0	4.45544554455445	0	0	0	0	1.98019801980198	0	24.7524752475248	50	0	0	0.495049504950495	0.495049504950495	0	0	0	0	0	0	7.92079207920792	0	0	0	1.98019801980198	0	0	0	0	0	0	1.48514851485149	2.47524752475248	0	0	0	0.495049504950495	0	0	0	0	0.495049504950495	0.495049504950495	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	10	"AWI"	10	-65	324	67	0	2.31481481481481	0	0.462962962962963	0	0	0	2.31481481481481	0	0.925925925925926	0	0	0.462962962962963	0	28.7037037037037	46.2962962962963	0	0	0	0.462962962962963	0	0	0	0	0	0	6.01851851851852	0	0	0.462962962962963	1.38888888888889	5.55555555555556	0	0	0	0	0	0.462962962962963	0.925925925925926	0	0.462962962962963	1.85185185185185	0	0	0	0	0	0.925925925925926	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	20	"AWI"	20	-41	677	168	0.33003300330033	1.32013201320132	0	0	0	0.33003300330033	0	1.98019801980198	0	0.33003300330033	0	0.33003300330033	0.66006600660066	0	33.3333333333333	24.4224422442244	0	0	0	0.33003300330033	0	0.33003300330033	0	0	0	0	3.3003300330033	0	0	0	0.33003300330033	4.29042904290429	0	22.4422442244224	0	0	0	0.66006600660066	0.99009900990099	0	0.99009900990099	2.31023102310231	0	0	0	0	0	0.66006600660066	0.33003300330033	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	30	"AWI"	30	6	954	277	0.319488817891374	1.91693290734824	0	0.319488817891374	0	0	0	2.23642172523962	0	0.319488817891374	0	0	0	0	31.3099041533546	26.1980830670927	0	0	0	0.638977635782748	0	0	0	0	0	0	3.19488817891374	0	0.319488817891374	0	0.638977635782748	6.0702875399361	0	22.6837060702875	0	0	0	0.638977635782748	1.91693290734824	0	0	0.958466453674121	0	0.319488817891374	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	40	"AWI"	40	58	1099	410	0	1.05633802816901	0	0.704225352112676	0	0	0	3.52112676056338	0	0.352112676056338	0	0	0.352112676056338	0	20.0704225352113	29.2253521126761	0	0	0	0.352112676056338	0	0	0	0	0	0	4.92957746478873	0.704225352112676	0.352112676056338	0	1.05633802816901	4.92957746478873	0	26.4084507042254	0	0	0	2.11267605633803	2.8169014084507	0	0	0.704225352112676	0.352112676056338	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	50	"AWI"	50	99	1306	530	0	1.35135135135135	0	0.45045045045045	0.45045045045045	0.45045045045045	0	5.40540540540541	0	0.45045045045045	0	0.45045045045045	0.900900900900901	0	17.5675675675676	49.0990990990991	0	0	0	0	0	0	0.45045045045045	0	0	0	6.30630630630631	0.45045045045045	0	0	0.900900900900901	8.55855855855856	0	0	0	0	0	2.25225225225225	0.900900900900901	0	0.45045045045045	0.900900900900901	0	0	0	1.35135135135135	0	0.900900900900901	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	60	"AWI"	60	175	1463	658	0	1.41843971631206	0	0.354609929078014	0	0	0	3.54609929078014	0	0.354609929078014	0	0	0	0	29.0780141843972	28.0141843971631	0	0	0	0.354609929078014	0	0	0	0	0	0	1.41843971631206	1.41843971631206	0	0	0.709219858156028	1.77304964539007	0	26.9503546099291	0	0	0	1.77304964539007	0.709219858156028	0	0.354609929078014	1.06382978723404	0	0	0	0	0	0.354609929078014	0.354609929078014	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	70	"AWI"	70	244	1615	787	0	1.08695652173913	0	0	0	0	0	1.08695652173913	0	0	0	1.08695652173913	0.72463768115942	0	27.1739130434783	31.1594202898551	0	0	0	0.72463768115942	0	0	0	0	0	0	1.44927536231884	0.36231884057971	0	0	0.36231884057971	4.34782608695652	0	25.7246376811594	0.36231884057971	0	0	2.53623188405797	1.08695652173913	0	0.36231884057971	0.36231884057971	0	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	80	"AWI"	80	291	1828	917	0	2.54237288135593	0	0	0	0	0	3.38983050847458	0	3.38983050847458	0	0.847457627118644	1.69491525423729	0	55.0847457627119	0	0	0	0	0	0	0	0	0	0	0	7.6271186440678	4.23728813559322	0.847457627118644	0	0.847457627118644	8.47457627118644	0	0	0	0	0	3.38983050847458	2.54237288135593	0	0	5.08474576271187	0	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	90	"AWI"	90	399	1923	1045	0	1.04166666666667	0	0	0	0	0	4.51388888888889	0	0.694444444444444	0	0	0.347222222222222	0	24.3055555555556	28.8194444444444	0	0	0	0.347222222222222	0	0	0	0	0	0	3.81944444444444	0.347222222222222	0	0	1.04166666666667	2.43055555555556	0	28.125	0.347222222222222	0	0	1.73611111111111	0.347222222222222	0	0	1.04166666666667	0.347222222222222	0	0	0	0	0.347222222222222	0	0
