"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16094	24842	"Carquefou"	47.30917	-1.47694	5	"AWI"	5	-51	214	45	0	290	1	2	2	3	0	7	0	4	1	0	0	0	0	0	47	17	0	0	0	0	1	1	0	0	0	0	0	5	0	2	8	92	0	0	3	38	0	4	0	5	11	5	1	0	1	0	0	1	0
16094	24842	"Carquefou"	47.30917	-1.47694	10	"AWI"	10	-13	267	100	0	204	1	2	2	0	0	5	0	2	0	1	0	0	1	0	30	27	0	1	0	0	1	4	0	1	0	0	0	6	0	0	16	89	0	0	3	32	0	2	0	0	5	1	0	0	4	1	1	0	1
16094	24842	"Carquefou"	47.30917	-1.47694	15	"AWI"	15	24	321	156	0	199	1	1	0	0	0	5	0	1	1	1	0	0	1	0	18	8	0	0	1	0	1	1	0	2	0	0	0	3	0	2	5	74	0	0	10	19	2	2	0	6	8	1	1	0	2	1	0	0	0
16094	24842	"Carquefou"	47.30917	-1.47694	20	"AWI"	20	66	373	211	0	121	1	2	0	0	0	5	0	1	0	0	0	1	0	0	19	8	0	0	0	0	0	1	0	0	1	0	0	0	0	0	22	75	0	1	8	19	2	0	31	2	4	6	3	0	0	1	0	0	4
16094	24842	"Carquefou"	47.30917	-1.47694	25	"AWI"	25	116	419	268	0	316	1	2	2	1	0	7	0	2	0	0	0	0	0	0	39	8	0	0	0	0	1	2	0	1	0	0	1	2	0	1	9	64	0	0	0	35	1	2	0	0	2	1	0	0	1	1	0	0	1
16094	24842	"Carquefou"	47.30917	-1.47694	30	"AWI"	30	164	464	325	0	276	1	1	2	1	0	3	0	1	1	0	0	0	0	0	39	26	0	0	0	0	1	2	0	3	1	0	0	1	0	1	7	97	0	0	1	50	2	1	0	10	2	1	0	0	3	1	0	0	0
16094	24842	"Carquefou"	47.30917	-1.47694	35	"AWI"	35	211	503	379	0	230	1	1	1	0	0	8	0	1	0	0	0	0	0	0	29	17	0	0	0	0	6	2	1	3	0	0	0	2	1	0	6	71	0	0	2	23	3	3	0	8	20	1	0	0	3	1	0	0	0
16094	24842	"Carquefou"	47.30917	-1.47694	40	"AWI"	40	267	544	436	0	115	1	4	1	1	0	4	0	2	3	0	0	1	0	0	16	33	2	0	0	0	1	0	0	1	0	2	0	3	0	0	3	100	0	0	0	23	3	9	0	4	7	1	0	3	0	0	0	0	0
16094	24842	"Carquefou"	47.30917	-1.47694	45	"AWI"	45	316	591	492	0	252	1	1	2	1	0	11	0	3	0	0	0	0	0	0	18	8	0	0	0	0	2	1	0	2	0	0	0	7	0	1	4	74	0	0	0	12	0	1	0	1	2	0	0	1	1	0	0	0	0
16094	24842	"Carquefou"	47.30917	-1.47694	50	"AWI"	50	361	630	534	0	2	2	1	0	1	0	2	0	2	0	1	0	1	0	0	4	123	0	0	1	0	0	1	2	3	0	0	0	21	0	0	8	141	0	0	0	12	0	1	0	14	1	1	1	0	0	2	0	0	0
16094	24842	"Carquefou"	47.30917	-1.47694	55	"AWI"	55	402	672	567	0	7	2	7	1	1	0	1	0	2	0	0	0	0	0	0	1	80	0	0	1	0	0	0	1	1	0	1	0	16	0	1	6	130	0	0	0	7	3	1	0	8	2	0	1	0	0	1	1	0	0
16094	24842	"Carquefou"	47.30917	-1.47694	60	"AWI"	60	448	710	604	0	6	1	2	2	2	0	0	0	1	2	2	0	1	3	0	16	127	0	0	1	0	1	0	1	1	0	2	0	30	1	1	9	164	0	0	0	20	1	2	0	15	2	0	1	0	1	1	0	0	1
16094	24842	"Carquefou"	47.30917	-1.47694	65	"AWI"	65	498	750	640	0	34	2	5	0	1	0	4	1	1	3	4	0	2	0	0	6	50	0	0	0	0	1	0	1	3	0	1	0	2	0	1	1	167	0	0	1	19	1	7	0	8	2	1	0	1	0	1	1	0	1
16094	24842	"Carquefou"	47.30917	-1.47694	70	"AWI"	70	543	785	680	0	36	1	3	0	1	0	3	0	2	1	1	0	2	0	0	8	44	0	0	0	0	2	0	0	4	0	5	0	0	0	0	6	122	0	0	0	20	1	1	0	11	2	1	0	1	0	0	0	0	0
