"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15861	24410	"Bonnecombe"	44.56667	3.125	0	"AWI"	0	570	2684	1731	0	0	8	0	0	0	6	0	15	1	1	0	0	0	0	6	0	0	0	6	0	34	0	0	0	0	26	0	0	0	0	2	1	0	1	0	0	0	0	2	0	0	28	0	0	0	125	0	0	43	1	4	0	0	0	10	2	0	0	0	0	0	0	0	1	0	0	0
15861	24410	"Bonnecombe"	44.56667	3.125	5	"AWI"	5	854	2779	1865	1	0	18	1	0	0	1	0	16	0	0	0	0	0	0	0	0	2	0	7	0	37	0	0	0	0	91	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	109	0	0	20	2	5	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	0
15861	24410	"Bonnecombe"	44.56667	3.125	10	"AWI"	10	1046	2879	2010	3	0	9	0	0	0	2	0	13	1	0	0	0	0	1	0	0	0	0	5	0	20	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	57	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15861	24410	"Bonnecombe"	44.56667	3.125	20	"AWI"	20	1618	3099	2291	9	0	12	3	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	142	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	1	0	0	43	0	0	38	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
15861	24410	"Bonnecombe"	44.56667	3.125	25	"AWI"	25	1809	3234	2445	20	0	11	0	0	0	1	0	50	0	0	0	0	0	0	0	0	0	0	13	0	7	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	56	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
15861	24410	"Bonnecombe"	44.56667	3.125	30	"AWI"	30	1999	3383	2627	7	0	5	0	0	0	1	0	63	0	0	0	0	0	0	0	0	0	0	4	0	17	0	0	1	0	162	1	0	0	0	1	0	0	1	0	0	0	0	7	0	0	3	0	0	0	0	0	0	40	2	4	0	0	0	1	2	0	0	0	0	0	0	4	0	0	0	0
15861	24410	"Bonnecombe"	44.56667	3.125	40	"AWI"	40	2224	4027	2984	6	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	0	23	0	0	0	0	125	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	38	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
15861	24410	"Bonnecombe"	44.56667	3.125	50	"AWI"	50	2505	4415	3393	6	0	6	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	10	0	24	0	0	0	0	110	5	0	0	0	0	0	0	1	0	0	0	0	21	0	1	5	0	0	0	0	0	0	29	0	0	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0
15861	24410	"Bonnecombe"	44.56667	3.125	60	"AWI"	60	2830	4794	3795	4	0	15	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	15	0	54	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	46	0	4	0	0	0	2	11	0	0	0	0	0	0	2	0	0	0	0
15861	24410	"Bonnecombe"	44.56667	3.125	70	"AWI"	70	3193	5171	4197	6	0	10	0	0	0	1	0	14	1	0	0	0	0	0	0	0	0	0	16	0	36	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	41	2	12	0	0	0	3	2	0	0	1	0	0	1	1	0	0	0	0
