"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Tilia"	"Ulmus"	"Vitaceae"
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	200	"AWI"	200	2562	3070	2821	3.33333333333333	43.8095238095238	2.38095238095238	0	0.476190476190476	9.04761904761905	0	0.476190476190476	0	0	0	0	0	40	0.476190476190476	0	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	220	"AWI"	220	2601	3107	2860	5.19877675840979	45.2599388379205	1.52905198776758	0	0	9.78593272171254	0	0.611620795107034	3.6697247706422	0.917431192660551	0	0	0	29.9694189602446	2.44648318042813	0.611620795107034	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	260	"AWI"	260	2685	3179	2938	2.22222222222222	40.9523809523809	1.58730158730159	1.9047619047619	0.952380952380952	11.4285714285714	0.634920634920635	0.317460317460317	0.317460317460317	0.317460317460317	0	0.634920634920635	0	37.1428571428571	0.634920634920635	0.634920634920635	0.317460317460317	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	310	"AWI"	310	2787	3274	3035	3.51437699680511	31.629392971246	0.958466453674121	0	0.638977635782748	15.3354632587859	0.319488817891374	0.319488817891374	1.91693290734824	0.319488817891374	0	0.638977635782748	0	40.5750798722045	2.55591054313099	1.2779552715655	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	360	"AWI"	360	2890	3369	3132	5.77507598784195	25.531914893617	3.03951367781155	1.51975683890578	1.51975683890578	17.9331306990881	0	0.303951367781155	0.303951367781155	0.60790273556231	0	0	2.73556231003039	38.2978723404255	1.51975683890578	0.60790273556231	0.303951367781155	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	380	"AWI"	380	2928	3405	3170	6.52818991097923	26.4094955489614	0.890207715133531	1.48367952522255	1.78041543026706	19.5845697329377	0.593471810089021	0.29673590504451	1.78041543026706	3.26409495548961	2.37388724035608	1.48367952522255	0	32.3442136498516	0	0.890207715133531	0.29673590504451	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	400	"AWI"	400	2971	3440	3209	8.51063829787234	15.5015197568389	1.51975683890578	0	0.60790273556231	13.0699088145897	0.303951367781155	0	2.12765957446809	0.60790273556231	1.51975683890578	1.21580547112462	4.25531914893617	49.8480243161094	0.60790273556231	0	0.303951367781155	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	450	"AWI"	450	3072	3529	3306	9.87654320987654	2.88065843621399	0.411522633744856	0	1.64609053497942	22.2222222222222	0	0	6.17283950617284	0.823045267489712	2.05761316872428	0.823045267489712	2.88065843621399	47.7366255144033	1.23456790123457	0.823045267489712	0	0.411522633744856
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	470	"AWI"	470	3111	3568	3344	4.56989247311828	25.5376344086022	1.88172043010753	1.88172043010753	1.88172043010753	15.8602150537634	0.537634408602151	0.268817204301075	5.37634408602151	0.537634408602151	1.88172043010753	0.537634408602151	2.41935483870968	34.4086021505376	1.34408602150538	0.806451612903226	0.268817204301075	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	490	"AWI"	490	3153	3605	3384	5.6047197640118	39.5280235988201	2.65486725663717	2.3598820058997	1.47492625368732	13.5693215339233	0.294985250737463	0.294985250737463	1.47492625368732	0.884955752212389	2.06489675516224	0.589970501474926	0	27.4336283185841	1.47492625368732	0.294985250737463	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	540	"AWI"	540	3258	3697	3481	4.12979351032448	28.3185840707965	2.06489675516224	0	0.294985250737463	18.2890855457227	0	0.294985250737463	2.06489675516224	2.94985250737463	2.94985250737463	1.17994100294985	4.12979351032448	30.0884955752212	1.17994100294985	0.589970501474926	1.17994100294985	0.294985250737463
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	560	"AWI"	560	3298	3737	3520	3.03867403314917	26.5193370165746	4.41988950276243	0	1.10497237569061	20.9944751381215	0	0.276243093922652	3.03867403314917	0.828729281767956	1.10497237569061	2.20994475138122	0	34.2541436464088	1.38121546961326	0	0.552486187845304	0.276243093922652
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	580	"AWI"	580	3339	3773	3558	3.11526479750779	36.7601246105919	0.934579439252336	2.18068535825545	0.623052959501558	13.7071651090343	1.24610591900312	0	1.86915887850467	0.623052959501558	0.934579439252336	0	0	35.202492211838	1.24610591900312	0.623052959501558	0.311526479750779	0.623052959501558
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	600	"AWI"	600	3379	3809	3597	5.21472392638037	26.3803680981595	2.45398773006135	0	0.306748466257669	21.1656441717791	0	0.613496932515337	0.920245398773006	0.306748466257669	1.53374233128834	0	3.37423312883436	35.2760736196319	1.53374233128834	0.306748466257669	0.306748466257669	0.306748466257669
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	640	"AWI"	640	3457	3881	3675	5.95238095238095	25.297619047619	1.78571428571429	0	0.595238095238095	24.702380952381	0.297619047619048	0.297619047619048	1.48809523809524	0.595238095238095	2.38095238095238	1.48809523809524	2.97619047619048	29.7619047619048	0.892857142857143	0.297619047619048	0.595238095238095	0.595238095238095
