"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Syringa"	"Thalictrum"	"Tilia"	"Ulmus"	"Violaceae"
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	70	"AWI"	70	515	1077	818	8	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	162	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	90	"AWI"	90	827	1234	1068	4	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	236	0	2	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	100	"AWI"	100	1005	1335	1185	10	0	2	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	86	0	0	0	0	0	39	0	0	0	0	0	0	0	0	1	0	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	120	"AWI"	120	1150	1671	1377	7	0	2	1	0	1	0	1	0	0	0	0	0	0	0	5	0	1	9	1	10	0	1	2	35	0	0	0	0	1	0	1	2	0	0	0	2	27	0	16	1	3	0	57	0	0	0	8	0	1	0	0	1	2	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	150	"AWI"	150	1397	2023	1687	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	2	117	0	17	0	0	0	32	0	0	0	0	0	0	0	0	0	0	1
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	160	"AWI"	160	1479	2116	1793	51	0	4	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	2	4	95	0	0	0	0	0	31	0	0	0	0	1	0	0	0	2	0	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	170	"AWI"	170	1568	2214	1900	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	96	0	0	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	190	"AWI"	190	1755	2410	2105	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	6	0	0	0	0	0	1	0	0	0	0	2	3	113	0	0	0	0	0	25	0	0	0	0	0	0	0	0	2	0	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	205	"AWI"	205	1916	2519	2262	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	158	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	210	"AWI"	210	1968	2563	2314	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	155	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0
3466	4485	"Tschokljovo Marsh"	42.36667	22.83333	225	"AWI"	225	2196	2651	2473	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	0	0	0	1	0	0	3	1	136	0	5	0	0	0	23	0	0	0	0	0	0	0	0	1	2	0
