"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Aristolochiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14664	23008	"Stoyanov 2"	50.35164	24.669768	12.5	"AWI"	12.5	-17	382.5	150	2	1	0	1	0	0	2	0	8	0	2	0	0	0	0	1	0	20	0	1	0	0	0	0	1	0	0	9	0	0	2	221	0	4	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	25	"AWI"	25	173	547	380	0	2	9	3	0	0	3	0	6	0	1	0	0	0	0	1	0	27	0	0	0	1	0	0	0	0	0	4	0	0	1	219	0	5	4	1	1	6	0	0	0	0	1	2	0	0	0	2	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	37.5	"AWI"	37.5	364.5	674	575.5	1	1	0	0	1	0	0	0	8	0	0	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	0	2	0	0	0	225	0	5	0	1	0	12	0	0	0	0	0	0	0	0	0	0	2	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	50	"AWI"	50	519	898	706	1	2	0	0	0	0	1	0	14	0	1	0	0	0	0	3	1	18	0	0	0	0	1	0	0	0	0	3	0	0	5	203	0	7	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	62.5	"AWI"	62.5	647	1032.5	829.5	3	1	0	1	0	0	3	0	13	0	2	0	0	0	0	3	1	46	0	0	0	0	1	0	1	0	0	5	0	0	4	198	0	6	0	0	0	20	0	0	0	2	0	3	0	0	0	1	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	75	"AWI"	75	784	1146	956	2	0	16	2	0	0	1	0	11	0	0	0	0	0	0	2	0	27	0	1	2	1	0	0	0	0	0	1	0	0	5	196	0	0	0	0	0	16	2	0	0	0	0	3	0	0	0	1	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	87.5	"AWI"	87.5	948	1265	1088.5	2	3	14	1	0	0	4	0	19	0	0	0	0	0	0	1	0	30	0	0	4	0	1	0	0	0	0	6	0	0	4	188	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	100	"AWI"	100	1053	1539	1263	2	0	12	0	0	1	2	0	13	0	3	0	0	0	0	1	0	44	0	0	0	1	1	0	0	0	0	6	1	0	7	171	0	9	0	0	1	33	0	0	0	1	1	1	0	0	0	3	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	112.5	"AWI"	112.5	1203.5	1725	1452.5	2	6	0	0	2	0	0	0	55	0	0	0	0	0	0	6	0	10	1	0	0	5	4	0	1	0	0	9	0	0	5	98	0	17	0	0	0	48	0	1	0	0	1	2	0	0	0	3	1	1	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	125	"AWI"	125	1392	1875	1634	0	1	0	0	1	0	3	0	48	0	0	0	0	0	1	5	0	15	0	0	1	0	0	0	0	0	0	17	0	0	1	140	0	10	0	1	2	28	0	0	0	2	0	0	0	0	0	3	1	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	137.5	"AWI"	137.5	1622.5	2020.5	1821	0	7	0	0	1	0	3	0	26	0	2	0	0	0	0	6	1	33	1	0	0	2	1	0	0	0	0	14	0	0	5	139	0	0	0	0	1	42	0	0	0	0	0	0	0	0	0	2	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	150	"AWI"	150	1758	2308	2001	0	1	0	1	0	0	0	0	18	0	2	0	0	0	0	4	0	65	1	1	0	2	0	1	0	0	0	9	0	0	7	168	0	8	0	0	0	27	0	0	0	3	0	3	0	0	0	3	1	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	162.5	"AWI"	162.5	1900	2498	2186.5	1	4	0	1	0	0	2	0	15	0	4	0	0	0	0	0	0	36	0	0	0	0	1	0	0	1	0	4	0	0	3	173	4	0	0	0	0	35	0	0	0	2	2	1	0	0	2	0	1	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	175	"AWI"	175	2065	2662	2374	1	5	12	3	0	0	2	0	15	0	0	0	0	0	0	3	0	51	0	0	0	2	1	0	1	0	0	7	0	0	5	170	0	0	0	0	0	26	0	0	0	1	0	1	0	0	0	6	1	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	187.5	"AWI"	187.5	2244.5	2800.5	2575	2	1	0	1	0	0	5	0	15	0	1	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	9	0	0	8	183	0	0	0	0	1	21	0	2	2	1	5	2	1	1	0	0	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	200	"AWI"	200	2445	2939	2767	2	2	3	5	0	0	2	0	6	0	1	0	0	0	0	2	0	15	0	0	0	1	2	0	0	0	0	4	0	0	3	210	0	8	0	0	0	18	0	0	0	5	0	1	0	0	0	0	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	225	"AWI"	225	2679	3334	3014	2	2	15	1	0	0	4	0	43	0	1	0	0	0	0	2	0	62	0	1	0	0	0	0	1	0	1	9	0	0	6	140	0	17	0	0	0	30	0	1	0	1	0	0	0	0	0	3	0	0	0
14664	23008	"Stoyanov 2"	50.35164	24.669768	250	"AWI"	250	2936	3699	3288	2	0	0	2	1	0	2	0	21	0	1	0	0	0	0	4	0	42	0	1	0	2	0	0	0	1	0	6	0	1	7	172	0	0	0	0	0	27	5	2	3	2	3	0	0	0	0	3	0	0	0
