"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
3338	4332	"Påidre"	58.27592	25.50484	150	"AWI"	150	1373	2720	2035	11.7117117117117	0	0	0.900900900900901	27.4774774774775	2.7027027027027	2.7027027027027	0	9.00900900900901	38.7387387387387	2.7027027027027	1.35135135135135	0	0.900900900900901	0	0.900900900900901	0.900900900900901
3338	4332	"Påidre"	58.27592	25.50484	160	"AWI"	160	1506	2852	2176	10.0436681222707	0.436681222707424	0.436681222707424	0	33.1877729257642	2.62008733624454	2.18340611353712	0	9.60698689956332	34.9344978165939	2.62008733624454	0.873362445414847	0	0.436681222707424	0.436681222707424	0.436681222707424	1.74672489082969
3338	4332	"Påidre"	58.27592	25.50484	170	"AWI"	170	1647	3001	2318	12.2529644268775	0	0.395256916996047	0.395256916996047	28.8537549407115	4.74308300395257	2.37154150197628	0	18.5770750988142	24.5059288537549	1.97628458498024	1.58102766798419	1.97628458498024	0.395256916996047	0.395256916996047	0.790513833992095	0.790513833992095
3338	4332	"Påidre"	58.27592	25.50484	180	"AWI"	180	1770	3127	2455	15.6118143459916	0	0.843881856540084	0.421940928270042	22.3628691983122	3.37552742616034	2.53164556962025	0.421940928270042	25.3164556962025	24.0506329113924	1.26582278481013	1.26582278481013	0	0.421940928270042	0	0.843881856540084	1.26582278481013
3338	4332	"Påidre"	58.27592	25.50484	190	"AWI"	190	1929	3244	2601	12.6865671641791	0	0.373134328358209	0.373134328358209	19.0298507462687	2.98507462686567	2.23880597014925	0.373134328358209	29.1044776119403	23.134328358209	2.61194029850746	1.49253731343284	1.86567164179104	0.373134328358209	0.373134328358209	1.11940298507463	1.86567164179104
3338	4332	"Påidre"	58.27592	25.50484	200	"AWI"	200	2075	3356	2742	14.1818181818182	0.363636363636364	0	0.727272727272727	20.7272727272727	2.90909090909091	2.90909090909091	0.727272727272727	31.2727272727273	19.6363636363636	2.18181818181818	1.09090909090909	0	0	0	0.727272727272727	2.54545454545455
3338	4332	"Påidre"	58.27592	25.50484	210	"AWI"	210	2215	3479	2884	15.6378600823045	0.411522633744856	0	0.823045267489712	29.6296296296296	1.64609053497942	3.29218106995885	0.411522633744856	22.2222222222222	22.2222222222222	1.64609053497942	1.23456790123457	0	0	0	0.411522633744856	0.411522633744856
3338	4332	"Påidre"	58.27592	25.50484	220	"AWI"	220	2358	3583	3029	17.8082191780822	0	0	0.91324200913242	24.2009132420091	2.73972602739726	3.65296803652968	0.45662100456621	18.7214611872146	21.0045662100457	2.28310502283105	5.47945205479452	0	0	0	0.91324200913242	1.82648401826484
3338	4332	"Påidre"	58.27592	25.50484	230	"AWI"	230	2519	3680	3168	17.4468085106383	0	0	0	22.9787234042553	2.97872340425532	2.97872340425532	0.425531914893617	22.5531914893617	20.8510638297872	1.70212765957447	1.70212765957447	2.5531914893617	0.851063829787234	0.425531914893617	0.425531914893617	2.12765957446809
3338	4332	"Påidre"	58.27592	25.50484	240	"AWI"	240	2701	3778	3313	17.9487179487179	0.427350427350427	0	0.854700854700855	25.2136752136752	6.41025641025641	2.56410256410256	0.427350427350427	16.6666666666667	20.5128205128205	2.13675213675214	0.427350427350427	3.41880341880342	0	0	0.854700854700855	2.13675213675214
