"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16145	24954	"Mars"	45.30528	1.83611	115	"AWI"	115	713	862	779	0	0	15.5	0	0	2	0	0	0	0	5	0	0	0	0.5	0	0	2	0	0	0.5	0.5	3.5	0	0.5	0	4.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	53.5	0	0	0	9.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0
16145	24954	"Mars"	45.30528	1.83611	119	"AWI"	119	725	893	802	0	0	12.3015873015873	0.396825396825397	0	2.77777777777778	0	0.396825396825397	0.396825396825397	0	3.17460317460317	0	0	0	1.19047619047619	0	0	1.58730158730159	0	0	3.17460317460317	0	9.92063492063492	0	0	0	2.38095238095238	0.396825396825397	0	0	0	0	0	0	0	0	0	0	0	0	0.793650793650794	0.396825396825397	0	0	51.1904761904762	0	0	0	8.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.793650793650794	0	0	0	0.396825396825397
16145	24954	"Mars"	45.30528	1.83611	123	"AWI"	123	748	909	824	0.3690036900369	0	8.85608856088561	0.3690036900369	0	3.3210332103321	0	0.738007380073801	0	0	5.90405904059041	0	0	0	0	0	0	1.1070110701107	0	0	1.4760147601476	0	7.74907749077491	0	0	0	2.2140221402214	0	0	0	0	0	0.3690036900369	0	0	0	0	0	0	0	0.3690036900369	0	0	0	57.1955719557196	0	0	0	9.59409594095941	0	0	0	0	0	0	0	0	0	0	0	0	0.3690036900369	0	0	0	0	0
16145	24954	"Mars"	45.30528	1.83611	127	"AWI"	127	765	927	847	0.337837837837838	0	32.0945945945946	0.337837837837838	0	0.337837837837838	0	0.337837837837838	0	0	1.68918918918919	0.337837837837838	0	0	0.337837837837838	0	0	0.675675675675676	0	0	3.37837837837838	0	8.78378378378378	0	0.337837837837838	0	2.02702702702703	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337837837837838	0	0	0	36.1486486486487	0	0	0	11.8243243243243	0	0	0	0	0	0	0.337837837837838	0	0	0.337837837837838	0	0	0	0	0	0	0	0
16145	24954	"Mars"	45.30528	1.83611	131	"AWI"	131	783	947	870	0	0	22.8855721393035	0.497512437810945	0	1.99004975124378	0	0.995024875621891	0	0	2.48756218905473	0.497512437810945	0.995024875621891	0	0	0	0	0.497512437810945	0	0	1.49253731343284	0.497512437810945	4.47761194029851	0	0	0	4.47761194029851	0	0	0	0	0	0.995024875621891	0	0	0.497512437810945	0	0	0.497512437810945	0	1.49253731343284	0	0	0	45.273631840796	0	0	0	7.96019900497512	0	0	0	0	0	0	0	0	0	0	0	0	0.497512437810945	0.497512437810945	0.497512437810945	0	0	0
16145	24954	"Mars"	45.30528	1.83611	135	"AWI"	135	808	957	893	0	0	16.0493827160494	0.617283950617284	0	1.85185185185185	0	0.308641975308642	0	0	1.85185185185185	0	0	0.617283950617284	0.617283950617284	0	0	1.54320987654321	0	0	2.16049382716049	0	4.01234567901235	0	0	0	3.7037037037037	0	0	0	0	0	0	0	0	0.308641975308642	0	0	0.308641975308642	0	0.308641975308642	0	0	0	56.4814814814815	0	0	0	8.64197530864197	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308641975308642	0	0	0.308641975308642	0
16145	24954	"Mars"	45.30528	1.83611	139	"AWI"	139	826	984	915	0	0	22.3048327137546	0.371747211895911	0	0.743494423791822	0	0.371747211895911	0	0	1.85873605947955	1.11524163568773	0	0	1.11524163568773	0	0	1.85873605947955	0	0	2.23048327137546	0	7.43494423791822	0	0.371747211895911	0	1.85873605947955	0	0	0	0	0	0	0	0	0.371747211895911	0	0	0.371747211895911	0	0.743494423791822	0	0	0	47.2118959107807	0	0	0	9.29368029739777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371747211895911
16145	24954	"Mars"	45.30528	1.83611	153	"AWI"	153	982	1178	1063	0.189753320683112	0	44.9715370018975	0	0	0.379506641366224	0	0.379506641366224	0	0	6.26185958254269	0.189753320683112	0	0	0.379506641366224	0	0	0.569259962049336	0	0	2.65654648956357	0	2.46679316888046	0	0	0	3.98481973434535	0.189753320683112	0	0	0	0	0	0	0	0	0	0	0	0	0.189753320683112	0	0	0	30.550284629981	0	0	0	6.07210626185958	0	0	0.189753320683112	0	0	0	0.189753320683112	0	0	0	0	0	0.189753320683112	0	0	0	0	0
16145	24954	"Mars"	45.30528	1.83611	157	"AWI"	157	1008	1299	1141	0.234192037470726	0	38.6416861826698	0.234192037470726	0	0.234192037470726	0	0.234192037470726	0	0	8.89929742388759	0.234192037470726	0	0	1.17096018735363	0	0	0.702576112412178	0	0	2.10772833723653	0	0.936768149882904	0	0	0	5.15222482435597	0	0	0	0	0	0.234192037470726	0	0	0	0	0	0.234192037470726	0	0.468384074941452	0	0	0	31.3817330210773	0	0	0	8.66510538641686	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234192037470726	0	0	0	0
16145	24954	"Mars"	45.30528	1.83611	161	"AWI"	161	1060	1425	1218	0.241545893719807	0	37.1980676328502	0.241545893719807	0	0.72463768115942	0	0.241545893719807	0	0	7.0048309178744	0	0.241545893719807	0	0	0	0	0.966183574879227	0	0	4.10628019323672	0	2.65700483091787	0	0.241545893719807	0	4.10628019323672	0	0	0	0	0	0	0	0.241545893719807	0.241545893719807	0	0	0.241545893719807	0	1.20772946859903	0	0	0	31.1594202898551	0	0	0	8.21256038647343	0	0	0.241545893719807	0	0	0	0	0	0	0	0	0	0.241545893719807	0	0	0	0	0.241545893719807
16145	24954	"Mars"	45.30528	1.83611	165	"AWI"	165	1189	1459	1305	0.217391304347826	0	42.1739130434783	0	0	0.217391304347826	0	0.217391304347826	0	0	5	0	0	0	0	0	0	0.434782608695652	0	0	2.17391304347826	0	2.60869565217391	5.65217391304348	0	0	4.56521739130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217391304347826	0	0	0	27.8260869565217	0	0	0.217391304347826	7.17391304347826	0	0	0	0	0	0	0	0	0.217391304347826	0.217391304347826	0	0	0.217391304347826	0.217391304347826	0	0.217391304347826	0.217391304347826	0
16145	24954	"Mars"	45.30528	1.83611	169	"AWI"	169	1270	1518	1391	0.206611570247934	0	52.0661157024793	0.206611570247934	0	0	0	0	0	0	4.54545454545455	0.619834710743802	0	0	0.206611570247934	0	0	0.619834710743802	0	0	3.51239669421488	0	1.03305785123967	0	0	0	3.30578512396694	0.206611570247934	0	0	0	0	0	0	0.206611570247934	0.206611570247934	0	0	0	0	0.206611570247934	0	0	0	25.4132231404959	0	0	0	7.02479338842975	0	0	0.206611570247934	0	0	0	0	0	0	0	0	0	0	0.206611570247934	0	0	0	0
16145	24954	"Mars"	45.30528	1.83611	173	"AWI"	173	1358	1570	1440	0.182149362477231	0	47.7231329690346	0	0	0.182149362477231	0	0.182149362477231	0	0	4.55373406193078	0.182149362477231	0	0	0	0	0.546448087431694	0.910746812386157	0.182149362477231	0	6.73952641165756	0	1.82149362477231	0	0	0	4.73588342440801	0	0	0	0.182149362477231	0.182149362477231	0.182149362477231	0	0.182149362477231	0	0	0	0	0	0.182149362477231	0	0	0	20.5828779599271	0	0	0	9.65391621129326	0	0	0	0	0	0	0.182149362477231	0	0	0	0	0	0.182149362477231	0.182149362477231	0.182149362477231	0	0.182149362477231	0
16145	24954	"Mars"	45.30528	1.83611	177	"AWI"	177	1398	1636	1493	0.177304964539007	0.177304964539007	64.5390070921986	0.177304964539007	0	0.177304964539007	0	0	0.177304964539007	0	6.56028368794326	0.177304964539007	0	0	0	0	0	0.177304964539007	0	0	6.73758865248227	0	0.886524822695036	0	0	0	9.04255319148936	0.177304964539007	0	0	0	0.177304964539007	0.177304964539007	0	0	0	0	0	0	0	0.354609929078014	0	0	0	0	0	0	0.177304964539007	9.04255319148936	0.177304964539007	0	0	0	0	0	0.177304964539007	0	0	0.177304964539007	0	0	0.177304964539007	0.177304964539007	0	0	0	0
