"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
24039	41760	"Culazón"	43.23278	-4.48917	34	"AWI"	34	45	130	84	0	12	2	0	2	0	5	0	0	0	12	0	11	0	0	1	9	0	32	90	0	169	8	24	2	5	0	2	0	0	0	0	8	0	0	0	0	0	0	31	8	5	0	0	15	0	0	0	0	0	2	0
24039	41760	"Culazón"	43.23278	-4.48917	36	"AWI"	36	52	143	93	0	52	1	0	1	0	13	0	0	0	16	0	1	0	0	0	1	0	49	58	0	174	11	13	1	2	0	1	1	1	0	0	4	0	0	0	0	0	0	41	6	2	4	0	0	2	0	0	0	0	3	0
24039	41760	"Culazón"	43.23278	-4.48917	38	"AWI"	38	60	156	103	0	15	1	0	2	0	6	0	0	0	7	0	5	0	0	0	7	0	44	45	0	157	21	26	1	1	0	0	1	1	0	0	3	0	0	0	0	0	0	50	2	7	0	0	0	2	1	0	0	0	5	0
24039	41760	"Culazón"	43.23278	-4.48917	40	"AWI"	40	64	170	112	0	23	3	0	1	0	12	1	0	0	17	0	3	0	0	0	8	0	51	37	0	135	10	15	0	1	0	1	0	0	0	0	1	0	0	242	0	0	0	20	3	3	12	1	7	2	0	0	0	0	5	0
24039	41760	"Culazón"	43.23278	-4.48917	42	"AWI"	42	72	178	123	0	19	5	0	1	0	6	0	0	0	7	0	6	0	0	0	4	0	65	35	0	157	18	9	0	5	0	0	4	0	0	0	1	0	0	0	0	0	0	30	1	0	4	0	11	0	1	0	0	2	1	0
24039	41760	"Culazón"	43.23278	-4.48917	44	"AWI"	44	79	191	134	0	25	2	0	2	0	12	0	0	0	18	0	5	0	0	0	3	0	45	19	0	173	22	27	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	35	3	1	0	0	0	0	0	0	0	0	1	0
24039	41760	"Culazón"	43.23278	-4.48917	46	"AWI"	46	87	201	144	0	37	2	2	3	0	11	0	0	0	13	0	3	0	0	0	1	0	64	55	0	179	9	29	5	2	0	1	0	0	0	0	2	0	0	0	0	0	0	37	2	1	11	0	7	6	0	0	1	0	0	1
24039	41760	"Culazón"	43.23278	-4.48917	48	"AWI"	48	96	209	157	0	46	1	0	2	0	12	2	0	0	21	0	2	0	0	0	4	0	70	23	0	211	11	21	1	3	0	0	1	0	0	0	1	0	0	101	0	0	0	28	5	1	0	0	2	1	0	0	0	2	1	0
24039	41760	"Culazón"	43.23278	-4.48917	50	"AWI"	50	103	225	168	0	35	4	0	3	0	8	0	0	0	24	0	0	0	0	0	9	0	44	44	0	181	10	45	2	3	0	1	0	0	0	0	4	0	22	145	0	0	0	35	2	1	0	0	0	3	0	0	0	0	6	0
24039	41760	"Culazón"	43.23278	-4.48917	52	"AWI"	52	115	231	180	0	18	1	0	3	0	16	0	1	0	11	0	3	0	0	0	2	1	46	44	0	238	17	10	0	2	0	0	0	0	0	0	0	0	0	113	0	0	0	29	5	1	0	0	9	6	0	0	0	0	3	0
24039	41760	"Culazón"	43.23278	-4.48917	54	"AWI"	54	121	240	193	0	20	3	0	3	0	5	0	0	0	10	0	6	0	0	0	2	1	42	57	0	169	15	10	2	1	0	3	0	0	0	0	5	12	0	0	0	0	0	30	3	1	9	0	8	1	0	1	0	0	4	0
24039	41760	"Culazón"	43.23278	-4.48917	56	"AWI"	56	129	249	206	0	15	2	0	3	0	8	0	0	0	18	0	7	0	0	0	5	0	50	26	0	175	10	20	0	7	0	3	0	0	0	0	3	0	0	0	0	0	0	32	2	0	0	0	7	2	0	0	0	1	6	0
24039	41760	"Culazón"	43.23278	-4.48917	58	"AWI"	58	137	255	218	0	38	3	0	3	0	6	1	0	0	14	0	4	0	0	0	2	0	29	35	0	175	34	24	3	1	0	1	1	2	0	3	12	0	0	0	0	0	0	39	0	0	0	0	8	8	0	0	0	0	1	0
24039	41760	"Culazón"	43.23278	-4.48917	60	"AWI"	60	144	265	230	0	19	0	0	0	0	6	0	0	0	4	0	0	0	0	0	5	0	46	21	0	141	11	29	3	2	0	1	2	0	0	0	1	0	0	0	0	0	0	22	3	0	0	0	12	3	0	0	0	0	6	0
24039	41760	"Culazón"	43.23278	-4.48917	62	"AWI"	62	163	275	239	0	9	1	0	1	0	8	1	0	0	9	0	1	0	0	0	2	0	47	26	0	130	11	25	0	1	0	2	0	0	0	0	4	0	0	0	1	0	0	38	2	0	0	0	17	0	0	0	0	0	4	0
24039	41760	"Culazón"	43.23278	-4.48917	64	"AWI"	64	180	290	248	0	12	1	0	8	0	13	0	0	0	14	0	6	0	0	0	7	0	50	22	0	135	23	16	1	3	0	1	0	0	0	0	3	0	0	179	0	0	0	38	7	2	0	0	8	0	0	0	0	0	3	0
24039	41760	"Culazón"	43.23278	-4.48917	66	"AWI"	66	196	304	257	0	16	7	0	7	0	3	0	0	0	9	0	6	0	0	0	7	1	32	26	0	128	19	22	1	3	0	0	0	2	0	0	0	0	0	0	1	0	0	21	2	1	0	0	15	2	0	0	0	0	4	0
24039	41760	"Culazón"	43.23278	-4.48917	68	"AWI"	68	209	316	267	0	14	4	0	4	0	14	1	0	0	10	0	5	0	0	0	6	0	50	39	0	169	17	26	1	1	0	1	0	0	0	0	2	0	0	166	0	0	0	42	7	1	0	0	11	1	0	0	0	1	6	0
24039	41760	"Culazón"	43.23278	-4.48917	70	"AWI"	70	220	332	276	0	31	0	0	2	0	6	0	0	0	7	0	4	0	0	0	6	0	34	0	0	127	19	22	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	21	5	0	0	0	12	2	0	0	0	1	12	0
24039	41760	"Culazón"	43.23278	-4.48917	72	"AWI"	72	241	347	284	0	17	0	0	4	1	14	2	0	0	16	0	3	0	0	0	7	0	49	20	0	132	21	33	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	38	6	1	11	0	0	0	0	0	0	0	3	0
24039	41760	"Culazón"	43.23278	-4.48917	74	"AWI"	74	257	363	293	0	4	4	1	1	0	3	4	0	0	7	0	3	0	0	2	7	0	42	62	0	93	15	21	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	39	4	5	0	0	5	2	0	0	0	0	4	0
24039	41760	"Culazón"	43.23278	-4.48917	76	"AWI"	76	268	375	304	0	13	1	0	1	0	9	0	0	0	9	0	2	0	0	1	6	0	45	25	0	92	16	29	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	50	5	1	0	1	12	1	0	0	0	0	4	2
24039	41760	"Culazón"	43.23278	-4.48917	78	"AWI"	78	275	383	315	0	22	2	0	1	0	6	2	0	0	11	0	3	0	0	1	2	0	41	47	0	84	16	28	0	0	0	0	0	0	0	0	2	0	0	235	0	0	0	46	3	4	0	0	0	2	0	0	0	0	9	0
24039	41760	"Culazón"	43.23278	-4.48917	80	"AWI"	80	282	398	326	0	18	0	1	1	0	7	7	0	0	20	0	1	0	0	0	6	0	67	38	0	143	19	41	0	0	0	0	0	1	0	0	1	0	8	0	1	0	0	41	7	2	0	0	2	2	0	0	0	1	2	1
24039	41760	"Culazón"	43.23278	-4.48917	82	"AWI"	82	293	406	339	0	10	0	0	0	0	13	0	0	0	14	0	1	0	0	0	5	0	44	70	0	93	16	27	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	44	7	0	0	0	9	1	0	0	0	1	7	0
24039	41760	"Culazón"	43.23278	-4.48917	84	"AWI"	84	300	416	352	0	18	2	0	1	0	13	2	0	0	12	0	3	0	0	0	6	0	70	20	0	128	13	33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	37	7	1	0	0	6	0	0	0	0	1	7	0
24039	41760	"Culazón"	43.23278	-4.48917	86	"AWI"	86	311	426	364	0	23	1	0	4	0	7	0	0	0	18	0	0	0	0	0	2	0	64	41	0	193	3	14	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	27	3	3	0	0	4	5	0	0	1	0	4	0
24039	41760	"Culazón"	43.23278	-4.48917	88	"AWI"	88	319	435	378	0	27	1	0	3	0	7	1	0	0	14	0	0	0	0	0	4	0	65	36	0	239	10	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30	2	2	0	0	4	1	0	0	0	1	1	0
24039	41760	"Culazón"	43.23278	-4.48917	90	"AWI"	90	327	451	390	0	26	1	0	0	0	12	2	0	0	20	0	1	0	0	0	5	0	71	40	0	238	12	10	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	29	1	2	6	0	0	2	0	0	1	0	2	0
24039	41760	"Culazón"	43.23278	-4.48917	92	"AWI"	92	342	457	402	0	9	2	0	1	0	14	4	0	0	9	0	4	0	0	0	6	0	41	19	0	270	13	25	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	28	4	1	0	0	0	0	0	0	0	0	1	0
24039	41760	"Culazón"	43.23278	-4.48917	94	"AWI"	94	352	468	415	0	21	0	0	2	0	13	3	0	0	16	0	1	0	0	0	9	0	30	49	0	134	29	37	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	66	12	2	22	0	0	2	0	0	0	1	5	0
24039	41760	"Culazón"	43.23278	-4.48917	96	"AWI"	96	364	477	426	0	13	0	0	2	0	11	1	0	0	9	0	3	0	0	1	4	0	40	27	0	174	20	41	0	1	0	1	5	0	0	0	0	0	0	0	1	0	0	48	7	1	0	0	4	0	0	0	0	1	0	0
24039	41760	"Culazón"	43.23278	-4.48917	98	"AWI"	98	377	483	438	0	20	0	0	1	0	20	2	0	0	9	0	5	2	0	0	12	0	39	31	0	150	20	29	0	4	0	1	0	0	0	0	0	0	0	0	2	0	0	37	7	2	0	1	0	4	0	0	0	0	4	0
