"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Malus"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3432	4445	"Lake Solsø"	56.12833	8.613126	228	"AWI"	228	1767	2030	1902	0	86	3	0	0	0	0	0	0	143	2	0	2	0	0	0	0	97	0	0	33	0	0	0	0	13	0	2	0	2	2	0	0	0	0	1	0	83	0	0	0	0	1	22	0	0	0	0	0	0	0	65	0	0	0	1	12	0	0	0	0	0	0	1	0	0	4	7	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	236	"AWI"	236	1901	2180	2043	0	82	1	0	0	0	2	0	0	167	0	0	1	1	0	0	0	70	0	0	38	0	0	1	0	14	0	7	3	0	0	0	0	0	0	0	0	84	0	0	0	1	1	37	0	0	0	0	3	0	0	83	0	0	0	0	5	8	1	0	0	0	0	1	0	0	4	9	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	244	"AWI"	244	1996	2345	2173	0	89	0	0	0	0	3	0	0	170	2	0	1	0	0	0	0	121	0	0	36	0	0	0	0	12	0	6	1	0	0	0	0	0	0	0	0	123	0	0	0	6	1	58	0	0	0	0	1	0	0	86	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5	6	0	0
3432	4445	"Lake Solsø"	56.12833	8.613126	252	"AWI"	252	2120	2427	2263	0	182	3	0	0	0	3	0	0	279	2	0	2	1	0	0	0	263	0	0	56	0	0	0	0	27	0	14	4	1	1	0	2	0	0	0	0	88	0	0	0	4	2	81	0	0	0	0	0	0	0	148	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	16	8	0
3432	4445	"Lake Solsø"	56.12833	8.613126	260	"AWI"	260	2194	2529	2354	0	96	2	0	0	0	0	0	0	139	0	0	0	0	0	0	0	82	0	0	24	0	0	0	0	13	1	9	1	0	1	0	0	0	0	0	0	86	0	0	0	6	0	40	0	0	0	0	3	0	0	89	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	8	1	0
3432	4445	"Lake Solsø"	56.12833	8.613126	268	"AWI"	268	2256	2658	2442	0	105	2	0	0	0	6	0	0	134	0	0	0	0	0	0	0	99	0	0	37	0	0	0	0	12	0	8	2	0	0	0	2	0	0	0	0	68	0	0	0	4	1	33	0	0	0	0	1	0	0	71	0	0	0	1	0	6	0	0	0	0	0	0	0	0	2	9	4	0
3432	4445	"Lake Solsø"	56.12833	8.613126	280	"AWI"	280	2395	2703	2540	0	125	0	0	0	0	3	0	0	172	0	0	0	1	0	0	0	146	0	0	34	0	0	0	0	6	0	6	6	1	0	0	0	0	0	0	0	45	0	0	0	7	0	34	0	0	0	0	0	0	0	86	0	0	0	2	0	4	0	1	0	0	0	0	0	0	2	10	5	0
3432	4445	"Lake Solsø"	56.12833	8.613126	308	"AWI"	308	2588	2836	2720	0	175	1	0	0	0	7	0	0	265	0	0	1	1	0	0	0	237	0	0	80	0	0	1	0	7	0	18	2	2	3	0	2	0	0	0	0	94	0	0	0	7	1	68	0	0	0	0	1	0	0	133	0	0	0	5	0	3	0	0	0	0	0	1	0	0	2	10	7	0
3432	4445	"Lake Solsø"	56.12833	8.613126	324	"AWI"	324	2684	2911	2793	0	88	2	0	0	0	2	0	0	125	0	0	0	0	0	0	0	102	0	0	25	0	0	0	0	2	0	3	3	1	0	0	0	0	0	0	1	91	0	0	0	4	0	42	0	0	0	0	1	0	1	109	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	11	2	0
3432	4445	"Lake Solsø"	56.12833	8.613126	332	"AWI"	332	2733	2951	2825	0	140	2	0	0	0	2	0	0	195	0	0	0	0	0	0	0	111	0	2	44	0	0	0	0	6	0	6	1	0	0	0	0	0	0	0	0	66	0	0	0	1	0	44	0	0	0	0	0	2	0	138	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	10	5	0
