"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Malvaceae"	"Nartheciaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Tamaricaceae"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"	"Viburnum"
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	0	"AWI"	0	-113	51	-32	2	1	23	1	0	0	0	1	0	0	32	0	3	0	4	0	0	0	0	0	0	14	125	0	0	0	0	0	0	25	2	4	0	0	0	0	2	5	0	0	0	0	0	0	0	0	4	73	57	0	0	0	0	0	1	0	16	0	0	0	2	8	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	10	"AWI"	10	-32	740	172	8	1	28	4	0	0	0	5	0	0	12	0	1	0	0	0	0	1	0	0	0	24	101	0	0	0	0	0	0	22	0	3	0	0	1	0	1	6	0	0	0	0	0	0	1	0	7	64	103	11	0	0	0	0	1	0	12	0	0	0	3	5	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	20	"AWI"	20	58	1203	400	11	0	58	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	265	0	0	0	1	0	0	77	1	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	6	28	15	0	0	0	0	0	0	0	6	0	0	0	0	3	2	1	0	0	0	0	0	0	1	0	0	0	1	1	1
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	30	"AWI"	30	131	1495	652	7	0	110	0	0	0	0	0	0	0	24	0	2	0	0	0	0	1	0	0	0	35	123	0	0	0	0	0	0	95	0	17	0	0	0	0	1	5	0	0	0	0	0	0	0	0	13	23	19	0	0	0	0	0	0	0	15	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	40	"AWI"	40	296	1791	907	1	0	37	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	29	280	0	0	0	0	0	0	33	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	24	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	50	"AWI"	50	453	2101	1181	1	1	126	0	0	0	0	1	0	0	30	0	0	0	0	0	0	0	0	0	0	43	227	0	0	0	0	0	0	33	1	15	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	13	8	0	0	0	0	0	0	0	23	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	60	"AWI"	60	576	2487	1450	6	0	25	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	12	469	0	0	0	0	0	0	21	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	19	11	0	0	0	0	0	0	0	11	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	70	"AWI"	70	823	2661	1693	14	0	40	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	13	374	0	0	0	0	0	0	69	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	18	16	8	0	0	1	0	0	0	65	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	2	1
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	80	"AWI"	80	1054	2865	1946	5	1	28	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	13	278	0	0	0	0	0	0	53	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	2	7	0	0	0	0	0	0	64	0	0	0	2	4	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	90	"AWI"	90	1201	3109	2203	12	0	32	1	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	40	244	0	0	0	0	0	0	17	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	23	28	0	0	0	0	0	0	0	26	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	100	"AWI"	100	1382	3323	2428	6	0	114	3	0	0	0	0	0	0	35	0	1	0	5	0	0	0	0	2	0	75	415	0	0	0	0	0	0	10	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	37	26	0	0	0	0	0	0	0	20	0	0	0	1	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	110	"AWI"	110	1583	3579	2666	6	0	65	0	0	0	0	1	0	0	5	0	0	0	5	0	0	0	0	0	0	23	260	0	0	0	0	0	0	28	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	10	9	0	0	0	0	0	0	0	9	0	0	0	2	2	2	0	1	0	0	0	0	0	1	0	0	0	0	4	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	120	"AWI"	120	1763	3824	2918	7	1	40	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	14	45	0	0	0	0	0	0	11	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	16	14	7	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	130	"AWI"	130	2099	3954	3167	12	0	89	0	0	0	2	0	0	0	24	0	0	0	1	0	0	0	0	0	0	47	65	0	0	0	0	0	0	33	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	6	8	0	0	0	0	0	0	0	6	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	140	"AWI"	140	2430	4112	3415	15	1	90	0	1	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	59	138	0	0	0	0	0	0	66	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	5	0	0	0	0	2	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	150	"AWI"	150	2697	4304	3700	7	0	116	0	0	0	0	1	0	0	33	0	0	0	0	0	0	0	0	0	0	81	71	0	0	0	0	0	0	55	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	11	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
23494	40566	"Nussbaumer Seen"	47.61335	8.83094	160	"AWI"	160	3157	4425	3934	16	0	123	0	0	0	0	2	0	0	45	0	0	0	1	0	0	0	0	0	0	65	32	0	0	0	0	0	0	133	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	26	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	6	0	0
