"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Liliaceae"	"Linaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15747	24186	"Süftenenegg"	46.73444	7.39889	5	"AWI"	5	-45	954	249	2	1	29	0	0	0	0	7	1	0	0	0	0	0	7	0	21	0	2	0	3	3	1	0	2	0	0	0	1	60	809	0	75	0	0	3	9	0	0	0	6	0	0	0	0	0	1	0	0
15747	24186	"Süftenenegg"	46.73444	7.39889	10	"AWI"	10	-13	1954	545	3	3	18	0	0	0	0	10	4	2	0	0	0	0	10	0	33	0	2	0	9	3	0	0	4	0	1	0	0	79	398	0	0	0	0	7	0	0	0	1	12	0	1	0	0	0	0	0	0
15747	24186	"Süftenenegg"	46.73444	7.39889	15	"AWI"	15	177	2279	952	10	3	19	0	0	0	0	1	1	5	1	0	1	0	11	0	161	2	0	0	12	0	0	0	3	1	0	1	0	117	18	0	0	0	0	21	0	1	37	0	3	0	0	0	0	0	0	2	0
15747	24186	"Süftenenegg"	46.73444	7.39889	20	"AWI"	20	283	2860	1329	18	1	46	0	0	1	0	16	0	0	0	0	0	1	14	0	173	4	0	1	15	7	0	0	0	0	0	0	0	58	9	0	0	0	0	9	0	0	15	0	3	0	0	0	0	0	3	2	0
15747	24186	"Süftenenegg"	46.73444	7.39889	25	"AWI"	25	588	3068	1716	9	0	14	0	0	4	0	11	1	0	0	0	0	0	10	0	87	2	0	5	6	1	0	0	1	1	0	0	0	40	9	0	0	0	0	11	0	0	0	0	6	1	0	0	0	0	0	1	0
15747	24186	"Süftenenegg"	46.73444	7.39889	30	"AWI"	30	763	3452	2082	21	0	24	0	0	3	0	20	0	0	0	0	0	0	14	0	28	5	0	0	26	0	0	0	0	0	0	0	1	94	9	0	0	0	0	16	0	0	0	0	4	1	0	0	0	0	2	1	0
15747	24186	"Süftenenegg"	46.73444	7.39889	35	"AWI"	35	1164	3662	2464	28	0	30	0	1	1	0	11	0	0	1	0	0	0	25	0	10	4	0	1	17	0	0	0	0	0	0	0	0	67	4	0	0	0	1	9	0	0	0	0	6	2	0	0	1	0	4	8	0
15747	24186	"Süftenenegg"	46.73444	7.39889	40	"AWI"	40	1421	4001	2860	40	0	46	0	0	1	0	29	0	0	0	0	0	0	31	0	6	0	0	0	39	8	0	0	0	0	0	0	0	136	7	0	0	0	0	20	0	0	0	1	4	1	0	0	0	0	2	2	0
15747	24186	"Süftenenegg"	46.73444	7.39889	45	"AWI"	45	1945	4135	3216	39	1	44	0	0	3	0	25	0	0	1	0	0	0	14	0	0	0	0	0	39	0	0	0	2	0	0	0	3	92	7	0	0	0	1	13	0	0	0	0	1	3	0	0	0	0	5	1	0
15747	24186	"Süftenenegg"	46.73444	7.39889	50	"AWI"	50	2261	4408	3606	59	0	56	0	0	1	0	16	0	0	0	0	0	0	29	0	10	0	0	0	62	8	0	0	0	0	0	0	0	86	8	0	0	0	0	12	0	0	0	0	4	0	0	0	0	0	2	0	0
