"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	10	"AWI"	10	-73	546	121	2	0	10	2	1	4	0	0	0	5	0	0	0	1	0	0	6	0	13	14	0	0	0	1	0	6	5	0	0	0	5	0	0	0	0	5	12	20	0	27	0	11	0	0	4	0	1	0	0	0	0	0	0	1	0	4	0
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	35	"AWI"	35	104	1625	640	1	0	11	1	0	0	3	0	0	6	0	1	0	6	0	0	2	0	33	10	0	0	0	1	0	15	0	0	0	0	17	0	0	0	0	3	3	7	0	17	0	27	0	0	0	0	0	2	1	0	0	0	0	0	1	6	0
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	45	"AWI"	45	172	1932	862	2	1	20	0	0	0	0	0	0	14	0	0	0	9	0	0	2	0	58	3	0	0	0	2	0	24	0	0	0	0	24	2	0	0	0	9	2	12	0	24	0	58	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	55	"AWI"	55	317	2199	1073	1	1	14	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	50	6	0	0	0	1	0	26	0	0	0	0	17	0	0	0	0	4	3	13	0	21	0	44	1	0	2	0	0	2	0	0	0	0	0	0	0	10	2
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	75	"AWI"	75	548	2733	1538	1	1	9	0	1	0	0	0	0	5	0	2	0	9	0	0	2	0	14	10	1	0	0	0	0	17	0	0	0	0	20	0	0	0	0	2	2	10	0	44	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	135	"AWI"	135	1869	3776	2881	2	1	25	1	1	0	3	0	0	9	0	2	0	8	0	0	0	0	70	0	0	0	0	0	0	37	1	0	0	0	30	2	1	0	0	4	0	8	0	21	0	63	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	145	"AWI"	145	2056	3973	3102	2	0	31	1	0	0	0	0	0	8	0	0	0	12	0	0	1	0	73	8	0	0	0	1	0	24	0	0	0	0	10	0	0	0	0	15	4	14	0	26	0	45	0	0	0	0	0	1	1	0	0	0	0	0	0	10	0
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	155	"AWI"	155	2395	4120	3303	0	0	9	0	0	0	2	0	0	6	0	0	0	16	0	0	1	0	26	3	0	0	0	0	0	21	0	0	0	0	10	0	0	0	0	10	0	10	0	23	0	36	0	0	1	0	0	2	1	0	0	0	0	0	0	14	1
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	165	"AWI"	165	2720	4245	3512	5	0	16	0	0	0	0	1	0	2	0	2	0	16	0	0	1	0	34	2	0	0	0	0	0	27	0	0	0	0	16	0	0	0	0	9	4	13	0	21	0	37	0	0	0	0	1	2	2	0	0	0	0	0	1	15	0
3373	4374	"Saint Julien de Ratz"	45.34833	5.65528	175	"AWI"	175	2942	4430	3723	3	1	21	0	0	1	0	0	0	13	0	1	0	10	0	0	1	0	45	3	0	0	0	0	0	25	0	0	0	0	15	1	0	0	0	5	0	10	0	16	0	57	0	0	0	0	0	5	0	0	0	0	0	0	0	13	0
