"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16136	24933	"Grozon"	46.89056	5.70028	120	"AWI"	120	1063	1277	1187	0	0	22	5	2	0	0	0	0	9	0	0	0	6	3	0	1	30	19	1	0	0	30	1	0	0	0	0	5	0	9	0	0	0	6	0	0	3	16	0	145	0	0	0	3	4	28	0	0	0	12	1	0	1	0	0	0	0	1	1
16136	24933	"Grozon"	46.89056	5.70028	135	"AWI"	135	1101	1377	1248	0	0	4	13	3	0	0	0	0	5	0	0	0	0	0	0	0	11	20	0	0	0	0	0	11	0	0	0	1	0	1	0	0	0	4	0	0	3	13	0	0	0	0	0	1	1	7	0	0	0	35	3	0	0	0	0	0	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	205	"AWI"	205	1245	1870	1510	3	0	18	7	1	0	0	0	1	3	0	0	0	0	0	1	0	30	8	0	2	0	33	0	0	0	0	1	1	0	2	0	0	1	11	0	0	2	21	0	0	0	0	0	6	11	13	0	0	0	8	0	1	0	0	0	0	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	220	"AWI"	220	1276	1922	1576	0	0	34	3	4	0	0	0	1	7	0	0	0	0	0	0	0	33	6	0	0	0	18	0	0	0	0	0	5	0	3	0	0	0	12	0	0	0	106	0	0	0	0	0	0	6	15	0	0	0	42	0	0	0	0	1	0	0	0	1
16136	24933	"Grozon"	46.89056	5.70028	240	"AWI"	240	1305	2040	1657	0	0	44	17	1	0	1	0	1	2	0	0	0	0	0	0	0	36	10	0	0	0	9	0	4	0	0	0	0	0	2	0	0	0	13	0	0	0	52	0	0	0	0	0	2	12	16	0	0	0	6	1	0	0	0	1	0	0	0	4
16136	24933	"Grozon"	46.89056	5.70028	255	"AWI"	255	1392	2066	1717	1	0	32	6	0	0	1	0	1	3	0	0	0	0	1	1	0	28	18	0	0	0	13	0	1	0	0	1	1	0	4	0	0	0	13	0	0	5	0	0	0	0	0	1	1	15	3	1	5	1	4	0	0	0	0	0	0	0	1	3
16136	24933	"Grozon"	46.89056	5.70028	280	"AWI"	280	1469	2117	1827	2	0	27	4	0	2	0	0	3	11	0	0	0	0	0	1	0	40	21	1	3	0	29	0	1	0	0	2	0	1	8	0	0	0	27	0	0	4	39	0	0	0	0	0	3	20	12	0	0	1	7	1	0	0	0	0	4	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	300	"AWI"	300	1514	2196	1912	1	0	12	5	0	0	1	0	4	11	0	0	0	0	0	0	0	21	32	1	0	0	28	0	3	0	1	0	2	0	10	0	0	0	16	0	0	2	26	0	0	0	0	0	7	15	6	0	0	0	3	0	0	1	0	0	2	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	310	"AWI"	310	1600	2206	1948	3	2	21	1	1	0	0	0	5	2	0	0	0	0	0	0	0	40	52	0	0	0	16	0	3	0	0	0	0	2	2	0	0	0	9	0	1	22	0	0	0	0	0	0	2	53	0	0	0	0	1	0	0	0	0	0	2	0	0	0
16136	24933	"Grozon"	46.89056	5.70028	370	"AWI"	370	1937	2327	2169	0	0	5	20	2	0	0	0	0	5	0	0	0	3	0	0	0	3	22	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	14	5	0	0	0	0	0	0	0	0	0	2	0	0	0
