"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26570	46466	"Berezovskoye mire"	53.66192	38.5838	2	"AWI"	2	-131	34	-44	0	13	0	8	45	0	118	8	0	0	0	4	0	2	38	0	0	0	0	0	0	1	0	0	0	4	90	0	66	0	0	9	0	0	0	9	1	4	2	0
26570	46466	"Berezovskoye mire"	53.66192	38.5838	5	"AWI"	5	-106	102	-12	0	12	0	18	47	0	55	21	0	0	0	4	0	5	54	0	0	0	0	0	0	3	0	0	0	6	66	0	102	0	0	7	4	0	2	7	0	3	1	0
26570	46466	"Berezovskoye mire"	53.66192	38.5838	10	"AWI"	10	-85	248	41	0	17	0	26	23	0	34	9	0	0	0	7	0	5	58	0	0	0	0	0	1	3	0	3	0	15	72	0	122	0	0	14	7	0	0	4	0	2	2	0
26570	46466	"Berezovskoye mire"	53.66192	38.5838	15	"AWI"	15	-32	298	104	0	13	0	13	30	0	47	15	0	0	0	8	0	3	83	0	0	0	0	0	1	3	0	3	0	9	83	0	102	0	0	7	3	0	1	6	0	2	0	0
26570	46466	"Berezovskoye mire"	53.66192	38.5838	20	"AWI"	20	-6	385	163	0	29	0	9	22	0	22	7	0	0	0	2	0	0	69	0	0	0	0	0	1	0	0	0	0	6	38	0	85	1	0	11	3	0	0	4	1	1	3	0
26570	46466	"Berezovskoye mire"	53.66192	38.5838	25	"AWI"	25	84	436	242	0	43	0	19	9	0	54	1	0	0	0	3	0	3	37	1	0	0	0	0	0	2	0	0	0	4	72	0	179	0	0	7	3	0	0	6	0	6	7	1
26570	46466	"Berezovskoye mire"	53.66192	38.5838	30	"AWI"	30	131	562	321	0	44	0	21	11	0	34	3	0	0	0	2	0	5	39	0	0	0	0	1	1	0	0	0	0	2	59	0	184	0	0	7	2	0	1	1	1	6	2	0
26570	46466	"Berezovskoye mire"	53.66192	38.5838	35	"AWI"	35	619	940	792	0	43	0	11	27	0	51	4	0	0	0	1	0	8	26	0	0	0	0	0	0	2	0	0	0	6	42	0	215	0	0	4	0	0	0	8	0	10	3	0
26570	46466	"Berezovskoye mire"	53.66192	38.5838	40	"AWI"	40	949	1416	1266	0	39	0	15	18	0	35	3	0	0	0	2	0	6	23	0	0	0	0	0	0	3	0	0	0	9	126	0	0	0	0	11	5	0	0	2	0	11	0	1
26570	46466	"Berezovskoye mire"	53.66192	38.5838	45	"AWI"	45	1175	1497	1363	1	44	0	10	27	0	41	6	0	0	0	2	0	6	25	0	1	0	7	0	0	2	0	0	0	8	90	0	134	0	0	4	4	0	0	4	1	12	3	0
