"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Montiaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3244	4211	"Lac Long Inférieur"	44.05778	7.45	20	"AWI"	20	137	2610	1257	28	0	0	2	0	0	6	0	0	0	0	0	0	0	5	1	0	2	2	7	0	0	0	0	0	2	0	0	0	6	0	9	0	0	6	0	0	0	9	0	1	0	45	0	22	0	3	0	0	3	1	0	0	0	0	2	2	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	25	"AWI"	25	723	2718	1590	29	0	0	0	0	0	10	0	5	1	0	1	1	0	9	0	0	0	8	12	0	0	0	0	0	7	0	0	0	0	1	11	0	0	3	0	0	0	7	0	0	0	47	0	40	2	0	0	0	7	0	0	0	0	0	2	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	30	"AWI"	30	1241	2835	1932	30	0	0	2	0	0	10	0	0	0	0	0	0	0	1	0	0	0	8	13	0	0	0	0	0	4	0	0	0	4	0	10	0	0	2	0	0	0	7	89	1	0	46	0	20	1	4	0	1	8	0	0	0	0	0	0	1	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	35	"AWI"	35	1664	2995	2282	56	1	0	1	1	0	4	6	4	0	0	0	1	0	0	0	0	0	10	3	0	0	0	0	0	7	0	0	2	0	0	10	0	0	0	0	0	0	7	105	0	0	0	0	21	0	1	1	0	7	1	0	0	0	0	0	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	40	"AWI"	40	1961	3307	2633	44	0	0	1	0	0	14	0	0	0	1	0	0	0	0	0	0	0	5	8	0	0	0	0	0	4	0	1	0	0	1	7	0	0	0	0	1	0	8	0	0	0	26	0	21	1	3	2	0	8	0	0	0	0	0	0	0	2
3244	4211	"Lac Long Inférieur"	44.05778	7.45	45	"AWI"	45	2424	3482	2961	48	1	0	2	0	0	5	0	7	0	1	0	0	0	2	0	0	0	4	16	0	0	0	0	0	6	0	2	0	2	0	13	0	0	1	0	1	5	8	0	0	0	25	0	26	1	1	1	0	8	0	0	0	0	0	0	3	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	50	"AWI"	50	2826	3725	3285	41	2	0	1	0	0	5	0	1	0	0	0	0	0	2	0	0	0	5	16	0	0	0	0	0	11	0	0	0	0	1	10	0	0	3	0	0	0	13	135	0	0	24	0	23	0	1	1	0	7	0	0	0	0	0	1	1	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	55	"AWI"	55	3128	4094	3612	45	0	0	0	2	0	7	0	1	0	0	0	0	0	0	0	0	0	6	16	0	0	0	0	0	5	2	1	0	0	2	33	0	0	0	0	0	0	16	133	0	0	36	0	40	3	1	3	2	10	0	0	1	0	2	0	1	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	60	"AWI"	60	3339	4573	3935	68	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0	0	0	7	14	0	0	0	1	0	7	1	0	0	0	0	15	2	0	0	0	2	0	5	0	0	0	0	0	29	0	1	0	0	12	0	0	1	0	0	1	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	65	"AWI"	65	3760	4797	4256	39	2	5	1	0	0	12	0	4	0	0	0	1	0	3	1	0	0	6	17	0	0	0	0	0	6	0	0	0	0	0	17	1	0	0	0	1	0	11	111	0	0	0	0	28	2	5	1	0	8	0	1	2	0	0	0	1	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	70	"AWI"	70	4046	5129	4576	60	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	3	0	0	0	0	2	10	0	0	0	0	0	0	3	113	0	0	0	2	33	0	1	1	1	8	0	0	0	0	0	0	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	75	"AWI"	75	4228	5594	4893	58	0	0	1	1	0	4	0	3	0	0	0	0	1	1	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	1	20	0	0	0	0	0	0	5	104	1	0	0	2	29	2	2	0	0	1	1	0	0	0	0	0	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	80	"AWI"	80	4338	6144	5219	71	0	0	1	3	0	7	6	7	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	7	2	1	0	0	0	23	0	0	0	0	2	0	1	121	0	0	0	0	32	2	5	0	1	10	2	0	1	0	0	0	1	1
3244	4211	"Lac Long Inférieur"	44.05778	7.45	85	"AWI"	85	4812	6550	5684	51	1	0	2	4	0	2	0	4	0	2	0	0	0	1	0	0	0	7	2	0	0	0	0	0	1	1	1	0	0	1	18	0	0	0	0	2	0	1	132	0	3	0	2	25	1	2	1	1	6	2	1	0	0	1	1	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	90	"AWI"	90	5072	7174	6146	52	1	0	0	7	0	4	0	9	0	0	0	2	0	0	0	0	0	5	3	0	0	0	0	0	1	0	3	0	0	0	8	1	0	0	0	0	0	1	122	0	0	0	0	19	0	2	2	0	9	2	0	2	0	1	3	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	95	"AWI"	95	5247	8025	6613	100	2	0	0	7	0	2	0	3	0	0	0	2	0	3	0	0	0	23	7	0	0	0	0	0	0	1	1	0	0	0	26	0	0	0	0	0	0	0	112	0	0	28	0	30	1	1	2	1	14	1	0	0	0	0	6	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	100	"AWI"	100	5369	8953	7075	112	1	0	0	4	0	4	0	11	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	110	0	0	17	0	27	0	2	1	1	13	0	0	0	0	2	1	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	105	"AWI"	105	6140	9142	7494	100	3	0	0	1	0	4	0	4	0	0	0	0	0	2	0	0	0	13	3	0	0	0	0	0	1	0	0	0	0	2	17	0	0	0	0	0	0	0	69	0	0	25	0	25	0	3	0	0	14	1	0	0	0	2	3	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	110	"AWI"	110	6705	9310	7945	101	1	0	0	7	0	8	9	12	0	0	0	2	0	3	0	0	1	11	3	0	0	0	0	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	73	0	0	13	0	29	0	2	0	0	5	0	0	0	0	2	6	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	115	"AWI"	115	7102	9564	8431	114	2	0	0	6	0	2	0	13	0	0	0	0	0	2	0	0	0	21	6	0	0	0	0	0	0	5	1	0	0	1	14	0	0	2	0	0	0	0	0	1	0	0	0	18	0	4	4	0	8	2	0	1	0	2	5	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	120	"AWI"	120	7363	10012	8917	100	0	0	1	2	0	3	0	10	0	1	0	1	0	2	0	0	0	17	10	0	0	0	0	0	0	4	0	0	0	0	12	0	0	0	0	0	0	0	93	0	0	0	0	28	1	4	1	0	1	2	0	0	0	4	7	0	0
3244	4211	"Lac Long Inférieur"	44.05778	7.45	125	"AWI"	125	8130	10091	9254	75	1	0	1	3	0	5	0	18	0	1	0	0	0	1	0	0	0	16	8	0	0	0	0	0	1	3	1	0	0	0	14	0	0	0	0	1	0	0	91	0	0	0	0	26	0	5	1	0	11	0	0	0	0	2	8	0	0
