"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Syringa"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14645	22982	"Lake Durankulak"	43.669696	28.544144	30	"AWI"	30	58	667	295	0	0	0	0	5	0	0	0	0	0	6	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	40	"AWI"	40	142	823	424	5	0	1	0	15	0	0	0	4	0	2	0	0	1	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	50	"AWI"	50	237	970	549	0	1	3	0	20	1	0	0	1	0	5	0	0	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	2
14645	22982	"Lake Durankulak"	43.669696	28.544144	55	"AWI"	55	296	1018	615	1	0	0	0	7	0	0	0	1	0	3	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	60	"AWI"	60	332	1087	680	0	0	0	0	12	0	0	0	2	0	1	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	75	"AWI"	75	505	1262	864	0	0	0	0	5	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	100	"AWI"	100	796	1561	1180	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	2	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	120	"AWI"	120	1069	1770	1432	0	0	4	0	4	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
14645	22982	"Lake Durankulak"	43.669696	28.544144	150	"AWI"	150	1620	2118	1810	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	4	0	3	0	0	0	7	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	155	"AWI"	155	1707	2244	1936	0	0	5	0	8	0	0	0	1	0	0	3	0	0	0	0	0	1	0	2	1	0	0	4	5	0	0	0	0	1	0	0	0	0	1	0	13	0	1	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	160	"AWI"	160	1753	2491	2048	0	0	0	0	3	0	0	0	4	0	0	1	0	1	0	0	0	4	0	3	0	1	0	0	2	0	0	0	0	2	1	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	165	"AWI"	165	1875	2558	2189	0	0	9	0	4	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	2	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	170	"AWI"	170	1935	2684	2327	0	0	9	0	0	0	0	0	7	0	0	1	0	3	0	0	0	0	0	2	1	0	0	4	6	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
14645	22982	"Lake Durankulak"	43.669696	28.544144	175	"AWI"	175	2159	2737	2453	0	0	3	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	3	1	0	0	0	0	0	3	20	0	1	0	0	0	0	0	0	0	25	0	0	0	0	0	1	0	0	0	3	1	2	0	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	180	"AWI"	180	2281	2842	2586	0	1	3	0	8	1	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	0	11	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	185	"AWI"	185	2406	2944	2723	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	190	"AWI"	190	2461	3189	2811	0	0	1	0	3	0	0	0	5	0	0	1	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	0	1	0	7	0	0	0	0	12	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
14645	22982	"Lake Durankulak"	43.669696	28.544144	200	"AWI"	200	2590	3567	2999	0	0	3	0	1	0	0	0	2	1	1	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	205	"AWI"	205	2670	3688	3099	0	0	3	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	2
14645	22982	"Lake Durankulak"	43.669696	28.544144	215	"AWI"	215	2797	3991	3295	0	0	5	0	0	4	0	0	4	0	0	4	0	1	0	0	0	5	1	0	0	0	0	4	5	0	0	1	0	1	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	220	"AWI"	220	2853	4155	3392	0	0	4	0	2	2	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	250	"AWI"	250	3298	4911	4002	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
14645	22982	"Lake Durankulak"	43.669696	28.544144	270	"AWI"	270	3605	5388	4401	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	1	0	0	12	0	1	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1
14645	22982	"Lake Durankulak"	43.669696	28.544144	280	"AWI"	280	3776	5622	4607	0	1	0	0	1	0	0	0	2	0	0	2	0	6	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1
14645	22982	"Lake Durankulak"	43.669696	28.544144	300	"AWI"	300	4115	6091	5013	0	0	4	0	3	0	0	0	1	0	0	0	0	1	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	29	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	1	0	0	0	0	1	0	4	1	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	320	"AWI"	320	4466	6507	5432	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	1
14645	22982	"Lake Durankulak"	43.669696	28.544144	360	"AWI"	360	5202	7383	6242	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	380	"AWI"	380	5558	7788	6641	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	6	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2
14645	22982	"Lake Durankulak"	43.669696	28.544144	400	"AWI"	400	5950	8202	7053	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0	1	0	1	0	2	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0
14645	22982	"Lake Durankulak"	43.669696	28.544144	420	"AWI"	420	6377	8590	7462	0	0	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	2	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
