"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Juniperus"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3365	4510	"Vasikkasuo"	64.67355	27.8601	0	"AWI"	0	712	1743	1298	0	0.946969696969697	0.189393939393939	0	0.189393939393939	0	27.2727272727273	0	0	0	0	0	0	4.92424242424242	0	0	0	0	0	24.2424242424242	41.4772727272727	0	0	0	0.189393939393939	0	0	0	0.378787878787879	0	0	0.189393939393939	0	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	5	"AWI"	5	933	1884	1461	0	3.33889816360601	0.333889816360601	0.1669449081803	1.0016694490818	0	26.2103505843072	0	0	0	0	0.1669449081803	0	14.3572621035058	0	0	0	0.1669449081803	0	12.3539232053422	41.2353923205342	0	0	0	0	0	0	0	0.1669449081803	0.333889816360601	0	0	0	0.1669449081803
3365	4510	"Vasikkasuo"	64.67355	27.8601	10	"AWI"	10	1137	2024	1624	0	1.28755364806867	0.143061516452074	0	0	0	23.4620886981402	0	0	0	0	0	0	7.15307582260372	0	0	0	0.429184549356223	0	9.29899856938484	37.3390557939914	19.7424892703863	0	0	0	0.143061516452074	0	0.143061516452074	0.572246065808298	0	0.286123032904149	0	0	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	15	"AWI"	15	1353	2151	1787	0	2.2181146025878	0	0	0.369685767097967	0	29.2051756007394	0	0	0	0	0	0	7.20887245841035	0	0	0	0	0	20.5175600739372	40.4805914972274	0	0	0	0	0	0	0	0	0	0	0	0	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	20	"AWI"	20	1567	2276	1949	0	4.62962962962963	0	0	0.185185185185185	0	40.1851851851852	0	0	0	0	0.185185185185185	0	2.96296296296296	0	0	0	0	0	13.8888888888889	35.5555555555556	2.40740740740741	0	0	0	0	0	0	0	0	0	0	0	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	25	"AWI"	25	1813	2408	2100	0	6.0377358490566	0	0	0.377358490566038	0	51.8867924528302	0	0	0	0.188679245283019	0.188679245283019	0.188679245283019	0.943396226415094	0	0	0	0	0	12.8301886792453	26.6037735849057	0	0	0	0.566037735849057	0	0	0	0	0	0	0	0.188679245283019	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	30	"AWI"	30	2041	2549	2249	0	5.65302144249513	0	0	0.389863547758285	0	50.4873294346979	0	0	0	0	0.389863547758285	0.194931773879142	1.16959064327485	0	0	0	0	0	15.3996101364522	25.1461988304094	0	0	0	0.584795321637427	0	0	0	0	0	0	0	0.584795321637427	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	35	"AWI"	35	2177	2735	2414	0	1.71428571428571	0	0	0	0	35.8095238095238	0	0	0	0	0.571428571428571	0.19047619047619	2.0952380952381	0	0	0	0.19047619047619	0	22.2857142857143	36.1904761904762	0	0	0	0.380952380952381	0	0	0	0	0	0	0.19047619047619	0.380952380952381	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	40	"AWI"	40	2305	2925	2574	0	2.68714011516315	0.191938579654511	0	0.191938579654511	0	29.1746641074856	0	0	0	0	0.191938579654511	0.191938579654511	1.15163147792706	0	0	0	0.959692898272553	0	18.426103646833	46.6410748560461	0	0	0	0	0	0	0	0	0	0	0	0.191938579654511	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	45	"AWI"	45	2430	3107	2734	0	1.92678227360308	0.192678227360308	0	0	0	28.9017341040462	0	0	0	0	0	0	1.92678227360308	0	0	0	0	0	21.3872832369942	45.4720616570328	0	0	0	0.192678227360308	0	0	0	0	0	0	0	0	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	50	"AWI"	50	2566	3279	2895	0	1.50943396226415	0	0	0.377358490566038	0	29.4339622641509	0	0	0	0	0.377358490566038	0	0.754716981132076	0	0	0	0.188679245283019	0	24.1509433962264	42.4528301886792	0	0	0	0.188679245283019	0	0	0	0	0.188679245283019	0.188679245283019	0.188679245283019	0	0
3365	4510	"Vasikkasuo"	64.67355	27.8601	55	"AWI"	55	2702	3461	3052	0	2.33009708737864	0.194174757281553	0	0.776699029126214	0	29.7087378640777	0	0	0	0	0.194174757281553	0	1.35922330097087	0	0	0	0.194174757281553	0	19.2233009708738	45.6310679611651	0	0.194174757281553	0	0.194174757281553	0	0	0	0	0	0	0	0	0
