"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Montiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Viburnum"
26125	45343	"Svartvatnet"	63.35139	8.87778	970	"AWI"	970	-127	56	-25	36	0	0	0	0	0	102	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	1	37	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
26125	45343	"Svartvatnet"	63.35139	8.87778	972	"AWI"	972	-83	164	27	45	0	0	0	0	0	93	0	3	0	0	0	0	13	0	8	0	0	20	0	0	0	0	0	0	40	0	5	0	0	2	152	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
26125	45343	"Svartvatnet"	63.35139	8.87778	974	"AWI"	974	-49	245	83	38	0	0	0	0	0	80	0	0	0	0	0	1	6	0	20	0	0	0	0	0	0	0	0	0	29	0	4	0	0	1	130	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
26125	45343	"Svartvatnet"	63.35139	8.87778	978	"AWI"	978	30	402	197	43	0	0	0	0	0	0	0	0	0	0	0	0	12	0	18	0	0	20	0	0	0	0	0	0	25	0	1	0	0	2	150	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0
26125	45343	"Svartvatnet"	63.35139	8.87778	982	"AWI"	982	121	524	313	58	0	0	0	0	0	95	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	12	0	33	0	5	0	0	2	111	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
26125	45343	"Svartvatnet"	63.35139	8.87778	986	"AWI"	986	227	633	426	40	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	0	0	0	0	0	0	0	39	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0
26125	45343	"Svartvatnet"	63.35139	8.87778	990	"AWI"	990	333	741	543	36	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
26125	45343	"Svartvatnet"	63.35139	8.87778	994	"AWI"	994	464	820	655	23	0	0	0	0	0	65	0	0	0	0	0	0	2	0	21	0	0	0	0	0	0	0	0	0	51	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0
26125	45343	"Svartvatnet"	63.35139	8.87778	998	"AWI"	998	613	900	762	26	0	0	0	0	0	0	0	0	1	0	0	0	6	0	11	0	0	0	0	0	0	0	0	0	41	0	0	1	2	2	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
26125	45343	"Svartvatnet"	63.35139	8.87778	1002	"AWI"	1002	756	1106	910	28	0	0	0	0	0	107	0	0	1	0	0	2	8	0	20	0	0	0	0	0	0	1	0	1	37	0	4	0	0	1	191	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0
26125	45343	"Svartvatnet"	63.35139	8.87778	1006	"AWI"	1006	872	1376	1084	22	0	0	0	0	0	93	0	0	0	0	0	0	7	0	10	0	0	7	0	0	0	0	0	0	29	0	0	0	0	4	222	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
26125	45343	"Svartvatnet"	63.35139	8.87778	1010	"AWI"	1010	1000	1607	1276	30	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	32	0	2	0	0	2	151	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
26125	45343	"Svartvatnet"	63.35139	8.87778	1014	"AWI"	1014	1179	1790	1471	31	0	0	0	0	0	90	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	1	40	0	3	0	0	0	198	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0
26125	45343	"Svartvatnet"	63.35139	8.87778	1018	"AWI"	1018	1337	1962	1667	29	0	0	0	0	0	0	1	0	0	0	0	1	17	0	14	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	267	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	1	0
26125	45343	"Svartvatnet"	63.35139	8.87778	1022	"AWI"	1022	1530	2111	1866	34	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	1	24	0	1	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
