"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Olea"	"Oleaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Scrophulariaceae"	"Solanaceae"	"Tamarix"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15832	24363	"Marais de Fos"	43.43667	4.93667	20	"AWI"	20	-5	359	145	1	0	3	17	0	0	14	0	1	0	4	0	2	0	0	0	0	0	4	0	52	0	0	1	0	0	0	0	0	6	1	0	0	19	0	1	6	3	0	3	1	0	0	31	0	102	0	1	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0
15832	24363	"Marais de Fos"	43.43667	4.93667	25	"AWI"	25	29	428	196	1	0	6	25	0	0	3	0	1	0	3	0	0	0	0	0	0	0	5	0	50	0	0	1	0	1	2	0	0	1	1	0	1	20	0	0	14	0	0	9	1	0	0	0	0	141	0	2	6	1	4	0	0	0	1	0	0	0	0	1	0	0	0
15832	24363	"Marais de Fos"	43.43667	4.93667	30	"AWI"	30	59	495	251	0	0	3	12	0	0	9	0	0	0	1	3	0	1	0	0	0	0	0	1	46	0	0	0	0	1	0	0	0	5	1	0	0	32	0	1	2	1	0	0	0	0	1	0	1	84	0	0	26	20	0	0	0	0	1	0	0	0	0	0	2	0	0
15832	24363	"Marais de Fos"	43.43667	4.93667	35	"AWI"	35	101	545	303	1	0	2	29	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	90	0	0	0	0	1	0	0	0	2	1	0	0	23	0	1	0	1	2	0	2	0	0	0	0	98	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15832	24363	"Marais de Fos"	43.43667	4.93667	40	"AWI"	40	142	611	354	5	0	6	23	0	0	7	0	4	0	1	0	0	0	1	0	5	1	6	0	230	0	14	2	0	3	0	0	0	0	1	0	0	72	1	1	4	0	0	2	1	148	0	7	0	137	0	1	20	6	0	0	2	0	1	0	0	0	0	0	0	1	1
15832	24363	"Marais de Fos"	43.43667	4.93667	50	"AWI"	50	232	717	458	2	1	15	23	3	0	4	0	3	0	7	0	1	0	0	0	0	1	5	0	121	0	18	3	0	7	0	0	0	1	1	2	0	25	0	4	0	0	0	0	0	0	0	5	0	98	0	0	25	8	0	0	1	1	1	1	0	0	0	0	1	1	1
15832	24363	"Marais de Fos"	43.43667	4.93667	60	"AWI"	60	320	820	566	6	0	25	27	0	0	12	0	0	0	24	0	0	0	2	0	0	0	11	0	8	0	0	0	0	15	0	0	0	0	2	0	0	2	2	0	0	1	0	0	1	83	0	6	1	0	0	0	50	23	0	0	0	1	0	0	0	0	0	0	0	0	1
15832	24363	"Marais de Fos"	43.43667	4.93667	70	"AWI"	70	417	918	670	13	0	7	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	10	0	312	1	0	0	0	1	0	0	0	2	1	0	0	6	0	1	2	0	2	0	6	217	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	3	0
15832	24363	"Marais de Fos"	43.43667	4.93667	75	"AWI"	75	470	961	725	2	0	14	27	0	0	13	0	3	0	19	1	1	1	0	0	0	0	9	0	180	2	17	1	0	5	0	0	0	0	4	0	0	13	0	1	1	0	0	1	3	0	0	53	0	131	0	0	69	13	0	0	2	1	1	0	0	0	0	0	1	0	3
15832	24363	"Marais de Fos"	43.43667	4.93667	93	"AWI"	93	678	1120	914	6	0	30	8	0	0	23	0	17	0	0	0	1	2	0	1	0	0	23	0	28	0	33	0	2	17	0	0	0	2	0	0	0	4	0	0	0	2	17	0	1	112	0	8	0	190	0	0	60	43	4	0	1	0	57	0	1	0	0	0	1	1	0
15832	24363	"Marais de Fos"	43.43667	4.93667	102	"AWI"	102	798	1188	1007	12	0	19	10	0	0	1	0	2	0	1	0	0	0	0	1	0	0	25	0	58	1	35	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	151	0	8	0	27	0	0	2	2	0	0	1	0	0	0	0	0	0	0	2	0	0
15832	24363	"Marais de Fos"	43.43667	4.93667	105	"AWI"	105	837	1209	1038	0	0	8	10	0	0	19	0	1	0	2	0	0	0	0	0	0	0	6	0	56	0	0	1	0	6	0	0	0	0	1	0	0	6	0	0	1	0	3	0	1	29	0	24	0	164	0	0	42	6	0	0	2	0	0	0	0	0	1	0	1	0	1
15832	24363	"Marais de Fos"	43.43667	4.93667	116	"AWI"	116	992	1286	1155	14	1	25	6	0	0	20	0	5	0	1	0	0	0	0	0	2	0	29	0	25	1	0	0	0	15	0	0	0	1	4	0	0	2	0	0	1	1	13	1	1	154	0	6	0	82	0	1	72	25	0	0	0	0	1	0	0	0	0	0	0	0	2
15832	24363	"Marais de Fos"	43.43667	4.93667	140	"AWI"	140	1220	1861	1490	18	0	27	7	0	0	10	0	2	0	2	0	0	0	0	0	0	0	18	0	14	0	0	0	0	25	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	102	0	0	0	0	0	1	84	18	0	0	0	0	1	0	1	0	0	0	2	0	0
15832	24363	"Marais de Fos"	43.43667	4.93667	240	"AWI"	240	2435	3597	2991	33	1	38	13	0	0	12	0	2	0	1	0	1	0	0	0	2	0	21	0	33	0	0	0	0	21	0	0	0	0	0	0	1	5	0	1	0	0	0	0	3	0	0	0	0	86	0	0	37	9	2	0	1	2	0	0	0	0	0	2	6	0	0
