"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juniperus"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Tilia"	"Ulmus"	"Urticaceae"
3195	4151	"Kirkkosaari"	60.857428	24.489334	0	"AWI"	0	-126	38	-39	0	53	3	2	2	0	293	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	119	540	0	19	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3195	4151	"Kirkkosaari"	60.857428	24.489334	2.5	"AWI"	2.5	-107	53	-21.5	0	28	1	0	3	0	228	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	142	610	0	14	0	0	0	2	0	0	0	1	1	2	0	0	0	1
3195	4151	"Kirkkosaari"	60.857428	24.489334	5	"AWI"	5	-92	79	-5	0	52	0	1	0	0	305	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	1	172	472	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
3195	4151	"Kirkkosaari"	60.857428	24.489334	7.5	"AWI"	7.5	-83	109.5	11	0	44	0	0	2	0	285	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	138	531	0	0	0	1	0	0	0	0	0	1	3	1	0	0	0	0
3195	4151	"Kirkkosaari"	60.857428	24.489334	10	"AWI"	10	-74	144	26	0	82	3	0	3	0	258	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0	0	0	110	550	0	44	0	0	0	0	0	0	0	0	7	0	0	0	0	0
3195	4151	"Kirkkosaari"	60.857428	24.489334	15	"AWI"	15	-61	220	55	0	79	1	1	1	0	282	0	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	55	587	0	40	0	1	0	0	0	0	0	0	9	0	0	0	0	0
3195	4151	"Kirkkosaari"	60.857428	24.489334	20	"AWI"	20	-37	273	88	0	87	1	0	0	0	223	0	0	0	0	2	0	0	1	0	42	0	0	0	0	0	1	0	0	0	94	598	0	33	0	0	0	0	1	0	0	0	2	1	0	0	0	0
3195	4151	"Kirkkosaari"	60.857428	24.489334	25	"AWI"	25	-10	295	127	0	72	0	0	1	0	259	0	0	0	0	0	0	0	0	2	36	0	0	1	0	0	3	0	0	0	60	605	0	19	0	0	0	0	1	0	0	0	0	2	2	0	0	0
3195	4151	"Kirkkosaari"	60.857428	24.489334	30	"AWI"	30	9	326	165	0	43	0	1	0	0	187	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	1	0	0	0	314	454	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0
3195	4151	"Kirkkosaari"	60.857428	24.489334	35	"AWI"	35	24	379	201	0	76	0	0	3	0	293	0	2	0	0	0	0	0	0	2	23	0	0	0	0	0	0	0	0	0	70	559	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
