"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16674	26512	"Schwemm"	47.65811	12.299518	10	"AWI"	10	-76	161	28	0	0	17	1	5	0	0	0	0	4	0	0	0	0	0	0	1	0	0	43	37	0	0	0	0	0	0	7	0	2	0	0	0	6	0	1	0	0	0	0	2	44	0	0	0	0	0	0	0	15	0	1	0	0	5	4	0	0	0	0	3	0	0	9	22	0
16674	26512	"Schwemm"	47.65811	12.299518	20	"AWI"	20	-56	328	80	2	1	38	2	10	0	1	0	0	21	0	2	0	0	0	0	0	0	0	97	47	0	0	0	0	0	0	24	0	13	0	0	0	7	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	34	0	2	0	2	16	4	0	0	0	0	14	0	1	11	20	0
16674	26512	"Schwemm"	47.65811	12.299518	30	"AWI"	30	-14	425	143	3	1	63	1	7	0	0	0	0	22	0	6	0	0	0	0	1	0	0	85	89	0	0	0	0	0	0	52	0	12	0	0	0	10	0	0	0	1	0	0	3	66	0	0	0	338	0	0	0	0	0	0	0	0	22	2	0	0	0	0	21	0	0	9	15	0
16674	26512	"Schwemm"	47.65811	12.299518	40	"AWI"	40	17	496	212	7	0	63	1	10	0	2	0	0	28	0	1	0	0	0	0	1	2	0	75	120	2	0	0	0	0	0	63	0	15	0	0	2	11	0	0	0	0	0	0	1	127	0	0	0	320	0	2	0	36	0	0	0	0	29	3	0	0	0	0	17	0	0	6	9	0
16674	26512	"Schwemm"	47.65811	12.299518	50	"AWI"	50	54	589	276	0	0	15	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	32	31	1	0	0	0	0	0	16	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	0	0	0	0	11	1	0	0	0	0	10	0	0	0	8	0
16674	26512	"Schwemm"	47.65811	12.299518	60	"AWI"	60	105	645	347	4	0	11	0	5	0	3	0	0	9	0	2	0	0	0	0	0	0	0	17	26	0	0	0	0	0	0	11	0	5	0	0	0	5	0	0	0	0	0	0	4	34	0	0	0	88	0	0	0	13	0	0	0	1	12	0	0	0	0	0	4	0	1	3	10	0
16674	26512	"Schwemm"	47.65811	12.299518	70	"AWI"	70	134	732	412	16	1	77	3	8	0	6	0	0	10	0	3	0	0	0	0	2	0	0	67	159	0	0	0	0	0	0	55	0	5	0	0	5	31	0	1	0	0	0	0	1	157	0	0	0	281	0	1	0	34	0	0	0	4	37	4	0	0	0	0	16	0	0	6	14	0
16674	26512	"Schwemm"	47.65811	12.299518	80	"AWI"	80	200	786	476	40	1	87	0	4	0	1	0	0	29	0	1	0	0	0	0	0	0	0	132	99	0	0	0	0	0	0	152	0	1	0	0	3	21	0	0	0	0	0	0	2	175	0	0	0	124	0	4	0	64	0	0	0	0	25	3	0	0	0	0	33	0	3	3	18	0
16674	26512	"Schwemm"	47.65811	12.299518	90	"AWI"	90	246	844	539	46	0	123	2	3	0	2	0	0	23	0	0	0	0	0	0	0	0	0	204	179	1	0	0	0	0	0	124	0	1	0	0	6	59	0	0	0	0	0	0	3	247	0	0	0	128	0	3	0	82	0	0	0	0	19	4	0	0	0	0	21	0	2	4	17	0
16674	26512	"Schwemm"	47.65811	12.299518	100	"AWI"	100	317	904	600	39	1	80	1	5	0	0	0	0	17	0	0	0	0	0	0	1	3	0	182	164	0	0	0	0	0	0	170	0	3	0	0	2	51	0	2	0	0	0	0	7	159	0	32	0	124	0	3	0	81	0	2	0	1	15	3	0	0	0	0	6	0	0	1	11	1
