"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Colchicaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Urticaceae"	"Viburnum"
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	0	"AWI"	0	-137	26	-55	7.4235807860262	1.74672489082969	0	0	0	0	12.6637554585153	0	0	0	2.18340611353712	0	0.873362445414847	0.436681222707424	0.873362445414847	0	0	5.67685589519651	0	0	0	0	0	2.18340611353712	0	0.436681222707424	0	24.8908296943231	0	0	0	0	0	0	0	40.6113537117904	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	5	"AWI"	5	-85	147	19	3.0188679245283	0	0	0	0	0	6.79245283018868	0	0	0	7.54716981132075	0	1.13207547169811	0	0.754716981132076	0	0	4.52830188679245	0	0	0	0	0	0.754716981132076	0	0.754716981132076	0.754716981132076	24.9056603773585	0	0	0	0	0	0	0	47.5471698113208	0	0.754716981132076	0	0	0	0.754716981132076	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	10	"AWI"	10	-57	323	89	0	0.505050505050505	0	0	0	0	5.05050505050505	0	1.01010101010101	0	3.03030303030303	0	1.01010101010101	0	1.51515151515152	0	0.505050505050505	17.1717171717172	0	11.1111111111111	0.505050505050505	1.51515151515152	0	5.55555555555556	0	2.02020202020202	5.05050505050505	7.07070707070707	0	1.01010101010101	0	0	0	0	0	26.7676767676768	0	0	1.01010101010101	0	4.54545454545455	4.04040404040404	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	13	"AWI"	13	-13	347	137	6.77966101694915	0	0	0	0	0	3.38983050847458	0	0	0	9.32203389830508	0	0.847457627118644	0.847457627118644	0.847457627118644	0	0.847457627118644	4.23728813559322	0	0	0	0	0	0.847457627118644	0	4.23728813559322	0.847457627118644	20.3389830508475	0	0	0	0	0	0	0	44.0677966101695	0	0	0	0	1.69491525423729	0.847457627118644	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	17	"AWI"	17	21	401	207	5.15463917525773	0	0	0	0	0	0	0	0	0	12.3711340206186	0	3.09278350515464	4.12371134020619	4.12371134020619	0	0	12.3711340206186	0	0	0	0	0	1.03092783505155	0	1.03092783505155	0	17.5257731958763	0	0	0	0	0	0	0	39.1752577319588	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	20	"AWI"	20	41	467	254	0.789473684210526	1.84210526315789	3.42105263157895	0.263157894736842	0.263157894736842	0	1.84210526315789	0	0	1.31578947368421	2.10526315789474	0.263157894736842	0.789473684210526	0.263157894736842	0.526315789473684	0.263157894736842	0.263157894736842	13.4210526315789	0	4.47368421052632	0	0	0.789473684210526	1.57894736842105	0.789473684210526	3.15789473684211	0.263157894736842	2.89473684210526	2.10526315789474	0	40.5263157894737	0	0	0	0.526315789473684	9.47368421052632	0.526315789473684	2.63157894736842	0	0.263157894736842	1.05263157894737	1.05263157894737	0.263157894736842
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	23	"AWI"	23	108	485	300	6.74157303370786	0	0	2.24719101123596	1.12359550561798	0	0	0	0	0	5.61797752808989	0	0	3.37078651685393	0	0	0	5.61797752808989	0	0	0	0	0	0	0	8.98876404494382	0	16.8539325842697	0	0	0	0	0	0	0	48.314606741573	0	0	0	0	1.12359550561798	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	27	"AWI"	27	160	515	365	3.88888888888889	0	0	0	1.11111111111111	0	0	0	0	0	7.22222222222222	0	0	1.66666666666667	0	0	0	6.11111111111111	24.4444444444444	0	0	0	0	0	0	15	0	15.5555555555556	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	30	"AWI"	30	189	562	413	1.98019801980198	0.99009900990099	0	0	0	0	0	0	0	0	7.92079207920792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98019801980198	0	20.2970297029703	0	0	0	0	0	0	0	65.8415841584158	0	0	0	0	0	0.99009900990099	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	33	"AWI"	33	299	580	454	2.52808988764045	0.280898876404494	0	0	0	0	0	0	0	0	2.52808988764045	0	0	0.280898876404494	0	0	0	1.68539325842697	0	0	0	0	0	0	0	0.561797752808989	0	7.02247191011236	0	0	0	0	0	70.7865168539326	0	14.3258426966292	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	37	"AWI"	37	440	604	505	4.5045045045045	0	0	0	0	0	0	7.20720720720721	0	0	0	0	0	2.7027027027027	0	0	0	11.7117117117117	0	0	0	0	0	0	0	4.5045045045045	0	0.900900900900901	0	0	0	0	0	0	0	68.4684684684685	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	40	"AWI"	40	511	641	545	11.5942028985507	0	0	0	0	0	0	0	0	0	7.2463768115942	0	0	4.34782608695652	0	1.44927536231884	0	14.4927536231884	0	0	0	0	0	0	0	0	0	4.34782608695652	0	0	0	8.69565217391304	0	0	0	47.8260869565217	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	43	"AWI"	43	540	752	619	14.0625	0	0	0	0	0	0	0	0	0	3.125	0	0	6.25	0	0	0	12.5	0	0	0	0	0	0	0	0	0	1.5625	0	0	0	0	0	0	0	62.5	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	47	"AWI"	47	560	972	703	15.3846153846154	0	0	0	1.92307692307692	0	0	0	0	0	3.84615384615385	0	0	9.61538461538462	0	0	0	5.76923076923077	0	0	0	0	0	0	0	0	0	3.84615384615385	0	0	0	0	0	0	0	59.6153846153846	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	50	"AWI"	50	572	1147	764	8.40336134453782	0	0	0	0	0	0	0	0	0	6.72268907563025	0	0	5.04201680672269	0	0	0	10.9243697478992	36.9747899159664	0	0	0	0	0	0	0	0	0.840336134453782	0	0	0	0	0	0	0	31.0924369747899	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	55	"AWI"	55	652	1229	900	19.1176470588235	0	0	0	0	0	0	0	0	0	7.35294117647059	0	0	0	0	0	0	7.35294117647059	0	4.41176470588235	0	0	0	0	0	4.41176470588235	0	1.47058823529412	0	0	0	0	0	0	0	54.4117647058823	0	0	0	0	0	1.47058823529412	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	60	"AWI"	60	700	1382	1029	42.3076923076923	0	0	0	0	0	0	0	0	0	1.92307692307692	0	0	1.92307692307692	0	0	0	0	0	0	0	0	0	0	0	9.61538461538462	0	0	0	0	0	0	0	0	0	44.2307692307692	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	63	"AWI"	63	788	1414	1106	14.5454545454545	0	0	0	0	0	0	0	0	0	5.45454545454545	0	0	2.72727272727273	0	0	0	0.909090909090909	47.2727272727273	0	0	0	0	0	0	0.909090909090909	0	1.81818181818182	0	0	0	0	0	0	0	26.3636363636364	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	67	"AWI"	67	860	1470	1213	7.31707317073171	0	0	0	0	0	0	0	0	0	5.69105691056911	0	0	1.6260162601626	0	0	0	3.2520325203252	31.7073170731707	0	0	0	0	0	0	0	0	1.6260162601626	0	0	0	0	0	0	0	47.1544715447154	0	0	0	0	0	1.6260162601626	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	70	"AWI"	70	906	1556	1292	13.953488372093	0	0	0	0	0	58.1395348837209	0	0	0	0	0	0	1.16279069767442	0	0	0	5.81395348837209	0	0	0	0	0	0	0	0	0	1.16279069767442	0	0	0	0	0	0	0	19.7674418604651	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	73	"AWI"	73	1071	1580	1351	15.9420289855072	0	0	0	0	0	0	0	0	0	7.2463768115942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9420289855072	0	15.9420289855072	0	0	0	0	0	0	0	44.9275362318841	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	77	"AWI"	77	1255	1623	1439	11.9565217391304	0	0	0	0	0	46.7391304347826	0	0	0	4.34782608695652	0	0	2.17391304347826	0	0	0	0	0	0	0	0	0	0	0	7.60869565217391	0	2.17391304347826	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	80	"AWI"	80	1332	1671	1505	8.69565217391304	0	0	0	0.869565217391304	0	40	0	0	0	5.21739130434783	0	0	0	0	0	0	0	26.0869565217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1304347826087	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	83	"AWI"	83	1449	1696	1575	9.52380952380952	0	0	0	0	0	0	0	0	0	0	0	0	9.52380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	19.047619047619	0	0	0	0	0	0	0	61.9047619047619	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	87	"AWI"	87	1568	1759	1675	15	0	0	0	2.5	2.5	0	0	0	0	22.5	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0	0	0	0	0	0	47.5	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	90	"AWI"	90	1615	1843	1748	6.10687022900763	0	0	0	0	0	25.9541984732824	0	0	0	3.81679389312977	0	0	0	0	0	0	0	49.618320610687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5038167938931	0	0	0	0	0	0	0
24036	41753	"Puerto de Serranillos"	40.30722	-4.93417	93	"AWI"	93	1663	1861	1775	16.1764705882353	0	0	0	0	0	0	0	0	0	2.94117647058824	0	0	0	0	0	0	0	54.4117647058823	0	0	0	0	0	0	0	0	7.35294117647059	0	0	0	0	0	0	0	19.1176470588235	0	0	0	0	0	0	0
