"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	5	"AWI"	5	-38	211	61	5	0	4	4	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	3	0	60	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	7	0	8	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	10	"AWI"	10	-19	398	123	4	1	12	4	2	0	0	0	2	0	1	0	0	2	0	1	2	0	0	0	0	4	0	50	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	15	"AWI"	15	33	463	206	7	0	5	2	5	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	6	0	58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	9	0	4	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	2
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	20	"AWI"	20	61	596	284	2	0	26	2	13	0	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	13	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16	2	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	1	0	0	3	3	0	0	0	0
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	25	"AWI"	25	124	647	361	2	0	16	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	10	0	14	0	2	0	0	0	2	0	0	0	0	0	0	2	0	6	0	0	0	2	0	0	0	0	0	13	2	0	0	0	0	0	1	9	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	30	"AWI"	30	159	748	434	2	0	6	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	35	"AWI"	35	238	791	514	2	0	20	1	6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	10	0	4	0	0	3	2	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0	0	2	0	18	2	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	2	0	1	2	2	0	0	0	1
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	40	"AWI"	40	283	870	592	3	0	8	2	3	0	2	0	4	0	0	0	0	0	0	3	0	0	0	0	0	2	0	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	23	1	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	45	"AWI"	45	371	915	663	1	1	48	1	9	1	2	0	1	0	0	0	1	2	0	2	0	0	0	0	0	13	0	15	0	2	0	0	0	2	0	2	0	0	0	0	2	0	17	0	0	0	2	0	0	0	0	0	15	5	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	1	0	1	2	2	0	0	0	2
15935	24551	"Cinq-Mars-la-Pile"	47.33778	0.45111	50	"AWI"	50	423	980	736	1	0	40	0	5	0	2	0	9	0	0	0	0	0	0	2	0	0	0	0	0	15	0	10	0	0	0	0	0	4	0	0	0	0	0	0	2	0	10	1	0	0	0	0	0	0	0	0	26	2	0	0	0	0	0	0	13	0	4	0	0	0	0	2	0	0	0	0	1	2	2	0	0	0	0
