"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
23898	41456	"Felchowsee"	53.053902	14.127872	428	"AWI"	428	5288	5949	5608	0	46	2	0	10	0	45	0	0	0	0	0	0	0	40	6	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	60	12	0	0	58	0	0	1	2	0	0	0	0	0	0	3	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	432	"AWI"	432	5324	5985	5637	0	50	0	0	8	0	37	0	0	1	0	0	0	0	43	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	136	5	0	0	44	0	0	0	0	1	0	0	0	0	0	16	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	436	"AWI"	436	5373	6001	5663	0	36	1	0	6	0	37	0	0	0	0	0	0	0	51	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	135	3	0	0	59	0	0	1	0	0	0	0	0	0	0	10	0	1	0
23898	41456	"Felchowsee"	53.053902	14.127872	440	"AWI"	440	5414	6032	5691	0	41	1	0	5	0	18	0	0	0	0	0	0	0	39	9	0	0	0	0	1	0	1	1	0	1	0	0	0	0	2	0	0	94	0	0	0	40	0	0	0	0	0	0	0	0	0	0	7	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	444	"AWI"	444	5444	6058	5723	0	38	0	0	11	0	34	0	0	0	0	0	0	0	52	3	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	92	2	0	0	52	0	0	0	1	0	0	0	0	0	0	9	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	448	"AWI"	448	5467	6101	5750	0	98	2	2	14	0	88	0	0	0	0	0	0	0	111	8	0	0	0	0	2	0	9	0	0	5	0	0	0	0	0	0	3	585	0	0	0	154	0	0	0	0	2	0	0	0	0	0	20	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	452	"AWI"	452	5562	6140	5811	0	49	0	0	2	0	43	0	0	0	0	0	0	0	39	1	0	0	0	0	3	0	2	0	0	1	0	0	1	0	0	0	1	81	0	0	0	52	0	0	0	0	0	0	0	0	1	0	6	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	456	"AWI"	456	5711	6168	5904	0	52	1	0	5	0	50	0	0	0	0	0	0	0	113	3	0	0	0	0	2	0	10	0	0	1	0	0	0	0	1	0	2	271	0	0	0	122	0	0	0	0	0	0	0	0	0	0	28	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	460	"AWI"	460	5833	6201	5994	0	50	0	0	1	0	37	0	0	0	0	0	0	0	46	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	67	0	0	0	48	0	0	0	0	1	0	0	0	1	0	9	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	464	"AWI"	464	5921	6262	6095	0	30	0	0	5	0	37	0	0	0	0	0	0	0	165	8	0	0	0	0	4	0	4	0	0	0	1	0	0	0	0	0	3	665	2	0	0	204	0	0	0	0	0	0	0	0	0	0	35	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	468	"AWI"	468	5971	6384	6192	0	71	0	0	6	0	52	0	0	0	0	0	0	0	144	9	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	1	249	0	0	0	105	0	0	1	1	0	1	0	0	0	0	17	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	472	"AWI"	472	6038	6504	6282	0	117	0	0	8	0	116	0	0	0	0	0	0	0	108	3	0	0	0	0	1	0	6	0	0	3	0	0	0	0	0	0	2	128	0	0	0	119	0	0	1	0	0	0	0	0	0	0	22	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	476	"AWI"	476	6084	6630	6364	0	66	0	0	2	0	44	0	0	1	0	0	0	0	158	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	195	0	0	0	144	0	0	0	0	0	0	0	0	0	0	19	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	480	"AWI"	480	6109	6782	6437	0	71	0	0	2	0	77	0	0	0	0	0	0	0	79	2	0	0	0	0	2	0	10	0	1	3	0	0	0	0	0	0	1	153	0	0	0	139	0	0	0	0	1	0	0	0	1	0	16	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	484	"AWI"	484	6133	6957	6508	0	73	0	1	3	0	102	0	0	0	0	0	0	0	91	1	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	107	0	0	0	158	0	0	0	0	0	0	0	1	0	0	16	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	488	"AWI"	488	6152	7142	6582	0	53	0	0	3	0	76	0	0	0	0	0	0	0	78	4	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	2	230	0	0	0	147	0	0	0	0	0	0	0	0	0	0	26	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	492	"AWI"	492	6230	7253	6661	0	75	1	0	3	0	94	0	0	0	0	0	0	0	102	6	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	3	113	0	0	0	139	0	0	1	0	0	0	0	0	0	0	18	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	496	"AWI"	496	6311	7298	6755	0	57	1	0	3	0	66	0	0	0	0	0	0	0	97	5	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	1	325	0	0	0	157	0	0	0	0	0	0	1	0	0	0	42	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	500	"AWI"	500	6366	7366	6857	0	52	0	0	2	0	63	0	0	0	0	0	0	0	81	2	0	0	0	0	0	0	4	0	0	3	0	0	0	0	1	0	1	235	0	0	0	142	0	0	0	0	0	0	0	0	0	0	49	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	504	"AWI"	504	6407	7446	6958	0	49	0	0	2	0	72	0	0	0	0	0	0	0	90	6	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	352	0	0	0	149	0	0	0	0	1	0	1	0	0	0	51	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	508	"AWI"	508	6441	7575	7053	0	32	0	0	4	0	53	0	0	0	0	0	0	0	28	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	79	0	0	0	55	0	0	0	0	0	0	0	0	0	0	10	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	512	"AWI"	512	6547	7666	7140	0	98	0	0	5	0	121	0	0	0	0	0	0	0	65	1	0	0	0	2	1	0	7	0	0	3	0	0	0	0	0	0	0	79	0	0	0	102	0	0	0	0	0	0	0	1	0	0	37	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	516	"AWI"	516	6685	7695	7216	0	67	0	0	4	0	77	0	0	0	0	0	0	0	65	2	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	236	0	0	0	122	0	0	0	1	0	0	0	1	0	0	46	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	520	"AWI"	520	6762	7723	7303	0	40	1	0	8	0	65	0	0	0	0	0	0	0	82	11	0	0	0	0	2	0	7	0	0	3	0	0	0	0	0	0	1	382	0	0	0	127	0	0	1	0	0	0	0	0	0	0	47	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	524	"AWI"	524	6828	7763	7399	2	100	0	0	3	0	108	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	2	79	0	0	0	106	0	0	0	0	0	0	2	0	0	0	32	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	528	"AWI"	528	6874	7821	7490	0	45	0	0	2	0	78	0	0	0	0	0	0	0	115	2	0	0	0	0	0	0	8	0	0	5	0	0	0	0	1	0	0	264	0	0	0	136	0	0	0	1	0	0	0	0	0	0	31	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	532	"AWI"	532	7033	7875	7579	0	64	0	0	10	0	111	0	0	0	0	0	0	0	89	1	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	125	0	0	0	131	0	0	0	0	1	0	0	0	0	0	33	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	536	"AWI"	536	7303	7893	7673	0	75	0	0	9	0	148	1	0	0	0	0	0	0	66	3	0	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	195	0	0	0	114	0	0	0	1	1	0	0	0	0	0	30	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	540	"AWI"	540	7552	7919	7765	0	68	0	1	3	0	70	0	0	0	0	0	0	0	89	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	229	0	0	0	144	0	0	0	0	0	0	1	0	0	0	44	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	544	"AWI"	544	7719	7975	7867	0	47	0	0	2	0	39	0	0	0	0	0	0	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	43	0	0	0	55	0	0	1	1	0	0	0	0	0	0	27	0	0	0
23898	41456	"Felchowsee"	53.053902	14.127872	548	"AWI"	548	7784	8185	7965	0	28	0	0	5	0	49	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	1	58	0	0	0	47	0	0	0	0	1	0	0	0	0	0	16	0	0	0
