"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23673	40963	"Moossee"	47.02139	7.48381	519.85	"AWI"	519.85	3697.75	3964.5	3869.9	13	1	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	49	0	5	0	0	0	0	66	0	20	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	25	0	0	2	0	1	1	3	0	0	0	0	4	0	1	5	8	2	1	0
23673	40963	"Moossee"	47.02139	7.48381	520.5	"AWI"	520.5	3706	3972.5	3879.5	12	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	61	0	4	0	0	0	0	64	0	20	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	32	0	0	1	0	1	1	4	1	0	0	0	1	0	0	3	6	2	0	0
23673	40963	"Moossee"	47.02139	7.48381	521.2	"AWI"	521.2	3714.2	3981.4	3889.6	14	0	0	0	0	0	0	11	0	0	8	0	0	0	0	0	0	0	0	51	0	7	0	0	0	0	65	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	38	0	0	0	0	0	0	1	0	0	0	0	0	1	1	4	5	3	0	0
23673	40963	"Moossee"	47.02139	7.48381	522	"AWI"	522	3723	3991	3900	11	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	57	0	3	0	0	0	0	86	1	9	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	35	0	0	1	0	0	3	2	0	0	0	0	1	0	0	8	5	4	1	0
23673	40963	"Moossee"	47.02139	7.48381	522.85	"AWI"	522.85	3737.45	4002.9	3911.05	18	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	54	0	4	0	0	0	0	92	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	48	0	0	1	0	1	1	7	0	0	0	0	2	0	0	1	9	2	0	0
23673	40963	"Moossee"	47.02139	7.48381	523.75	"AWI"	523.75	3746	4017.75	3921.25	18	2	175	1	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	65	0	13	0	0	0	0	98	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	52	0	0	1	0	0	0	3	0	0	0	0	1	0	0	2	2	0	0	0
23673	40963	"Moossee"	47.02139	7.48381	524.55	"AWI"	524.55	3759.55	4029.15	3931.7	13	1	0	0	0	0	0	7	0	0	3	0	0	0	1	0	0	0	0	80	0	7	0	1	0	0	122	1	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	39	0	0	1	0	0	0	2	2	0	0	0	1	0	0	4	2	7	0	0
23673	40963	"Moossee"	47.02139	7.48381	525.2	"AWI"	525.2	3772.2	4038.8	3940.4	13	2	0	0	0	0	0	6	1	0	5	0	0	0	0	0	0	0	0	72	0	7	0	0	0	0	103	0	17	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	56	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	2	2	0	0
23673	40963	"Moossee"	47.02139	7.48381	525.75	"AWI"	525.75	3781	4049.25	3947	16	1	0	1	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	61	1	4	0	0	0	0	161	1	15	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	34	0	0	1	0	0	3	0	0	0	0	0	0	0	0	6	5	2	0	0
23673	40963	"Moossee"	47.02139	7.48381	526.35	"AWI"	526.35	3789.2	4059.25	3954.55	20	1	127	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	74	0	3	0	0	0	0	203	0	11	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	40	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	7	0	0	0
23673	40963	"Moossee"	47.02139	7.48381	527	"AWI"	527	3797	4069	3963	26	2	141	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	49	0	7	0	0	0	0	198	1	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	34	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	4	0	0	0
