"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acacia"	"Acanthaceae"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Chamaerops"	"Cistaceae"	"Citrus"	"Colchicaceae"	"Convolvulaceae"	"Coriariaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Ficus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Morus"	"Myrtus"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Tamarix"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Tofieldiaceae"	"Trachycarpus"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"	"Zelkova"
23928	45324	"Gorgo Basso"	37.6	12.65	1	"AWI"	1	-148	11	-62	0	0	0	0	0	0	0	0	0	0	3.2258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0752688172043	0	0	0	1.0752688172043	0	0	0	1.0752688172043	8.60215053763441	0	0	1.0752688172043	0	0	0	0	0	2.1505376344086	0	1.0752688172043	10.752688172043	0	0	1.0752688172043	0	1.0752688172043	0	0	15.0537634408602	0	0	0	0	0	2.1505376344086	26.8817204301075	0	0	0	0	0	0	0	0	0	12.9032258064516	0	3.2258064516129	0	0	0	0	0	1.0752688172043	0	0	0	0	0	1.0752688172043	0	1.0752688172043	0	0	0	1.0752688172043	0	0	0	0	3.2258064516129	0
23928	45324	"Gorgo Basso"	37.6	12.65	20	"AWI"	20	-106	140	1	0	0	0	0	0	5.69620253164557	0.632911392405063	0	0	0	2.53164556962025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.632911392405063	26.5822784810127	0	1.26582278481013	4.43037974683544	0	0	0	0	1.26582278481013	0	0	0	0	0	0	9.49367088607595	0	0	0	0	1.89873417721519	0	0	8.22784810126582	0	0	1.26582278481013	0	0	0	19.620253164557	0	0	0	0	0	0.632911392405063	0	0	3.16455696202532	8.22784810126582	0	1.89873417721519	0	0	0	0	0	0	0	0	0	0	0	1.26582278481013	0	0	0.632911392405063	0	0	0	0	0	0	0	0.632911392405063	0
23928	45324	"Gorgo Basso"	37.6	12.65	40	"AWI"	40	-45	234	84	0	0	0	0	0	6.29370629370629	0	0	0	0	3.4965034965035	0	0	0	0	0	0	0	0	0	0	1.3986013986014	0	0	0	0	0	0	0	0	0	0.699300699300699	37.7622377622378	0	3.4965034965035	0.699300699300699	0	0	0	0	0	1.3986013986014	0	0	1.3986013986014	0	1.3986013986014	3.4965034965035	0	0	2.0979020979021	1.3986013986014	2.0979020979021	0	0	11.1888111888112	0	0	0	0.699300699300699	0	0	6.29370629370629	0	0	0	0	0	0	0	0	0	4.89510489510489	0	2.0979020979021	0	0	0	0	0	0	0	0	0	0	0	1.3986013986014	0	0	0	0	0	0	0	2.7972027972028	0	0.699300699300699	2.7972027972028	0
23928	45324	"Gorgo Basso"	37.6	12.65	80	"AWI"	80	147	429	273	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	45	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	19	0	0	0	0
23928	45324	"Gorgo Basso"	37.6	12.65	100	"AWI"	100	207	669	390	0	0	0	0	0	0	0.645161290322581	0	0	0	11.6129032258065	0	0	0	0	0	0	0	0	0	0	1.29032258064516	0	0	0.645161290322581	0	0	0	0	0	0	0	23.8709677419355	0	1.29032258064516	0	0	0	0	0	0	0	0	0	0.645161290322581	0	0	1.93548387096774	0	0	0	0	0	0	0	18.7096774193548	0	0	0	1.29032258064516	0	0	14.8387096774194	0	0	0	0	0	0.645161290322581	0	0	3.2258064516129	10.3225806451613	0	0	0	0	0	3.2258064516129	0	0	0	0	0	1.93548387096774	0	1.93548387096774	0	1.93548387096774	0	0	0	0	0	0	0	0	0	0
23928	45324	"Gorgo Basso"	37.6	12.65	120	"AWI"	120	294	900	549	0	0	0	0	0	0	0.645161290322581	0	3.2258064516129	0	5.16129032258065	0	0	0	0	0	0	0	0	0	0	0.645161290322581	0	0.645161290322581	0	0	0	0	0	0	0	0	0	0	16.1290322580645	0	0	0	0	0	0	1.29032258064516	1.29032258064516	0	0.645161290322581	0	0	0.645161290322581	0	0	0.645161290322581	0.645161290322581	0.645161290322581	0	0	16.1290322580645	0	0	0	0	0	1.29032258064516	19.3548387096774	0	0	0	0	0	0	0	0	0	21.2903225806452	0	4.51612903225806	0.645161290322581	0	0	3.87096774193548	0	0.645161290322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23928	45324	"Gorgo Basso"	37.6	12.65	140	"AWI"	140	404	1084	702	0	0	0	0	0	0	0	0	1.73410404624277	0	5.78034682080925	0	0	0	0	0	0	0	0	0	0	0	0	0.578034682080925	0.578034682080925	0	0	0	0	0	0	0	44.5086705202312	0	8.09248554913295	0	0	0	0	0	0	2.3121387283237	0	0	0.578034682080925	0	0	1.73410404624277	0	0	0	0.578034682080925	1.73410404624277	0	0	6.35838150289017	0	0	0	1.15606936416185	0	1.15606936416185	4.6242774566474	0	0	0	0	0	0	0	0	1.73410404624277	6.35838150289017	0	0	0	0	0	0	0	0.578034682080925	0	0	0	0	0	0	0	0	0.578034682080925	0	0	0	0	9.2485549132948	0	0	0	0
23928	45324	"Gorgo Basso"	37.6	12.65	160	"AWI"	160	498	1240	856	0	0	0	0	0	4.5662100456621	0.45662100456621	0	0.45662100456621	0	3.19634703196347	0	0	0	0.45662100456621	0	0	0	0	0	0	0.91324200913242	0.45662100456621	0	5.47945205479452	0	0	0	0	0	0.45662100456621	0.45662100456621	29.6803652968037	0	4.5662100456621	0	0	0	0	0	0	0	0	0	0	0	0	1.36986301369863	0	0	2.28310502283105	0	0	0	0	7.30593607305936	0	0	0	0.45662100456621	0	0	5.02283105022831	0	0	0	0	0	0	0	0	3.19634703196347	9.1324200913242	0	0	0	0	0	1.82648401826484	0	0.45662100456621	0	0	0	0	0	0.91324200913242	0	0.45662100456621	0	0	0	0	0	16.4383561643836	0	0	0	0
23928	45324	"Gorgo Basso"	37.6	12.65	180	"AWI"	180	636	1392	1003	0	0	0	0	0	0	0	0	0	0	8.55263157894737	0	0	0	1.97368421052632	0	0	0	0	0	0	0	0	0	3.28947368421053	0	0	0	0	0	0.657894736842105	0	44.7368421052632	0	0.657894736842105	0	0	0	0	0	0	1.31578947368421	0	0	0	0	0	3.28947368421053	0	0	1.97368421052632	0	0	0	0	2.63157894736842	0	0	0	0.657894736842105	0	1.97368421052632	3.94736842105263	0	0	0	0	0	0.657894736842105	0	0	3.94736842105263	4.60526315789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1315789473684	0	0	0	0
23928	45324	"Gorgo Basso"	37.6	12.65	200	"AWI"	200	785	1536	1176	0	0	0	0	0	0	0.869565217391304	0	0	0	5.21739130434783	0	0	0	0	0	0	0	0	0	0	0	0	0.869565217391304	8.69565217391304	0	0	0	0	0	0.869565217391304	0	36.5217391304348	0	1.73913043478261	0	0	0	0	0	0	0.869565217391304	0	0	0.869565217391304	0	0	2.60869565217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.82608695652174	0	0	0	0	0	0	0	0	4.34782608695652	0	0	0	0.869565217391304	0	0	4.34782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.6086956521739	0	0	0.869565217391304	0
