"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
2990	3894	"Auneau"	48.45611	1.79361	41	"AWI"	41	467	1018	757	1	0	1	6	1	0	0	0	3	1	12	0	0	0	0	1	0	0	0	5	705	0	1	0	0	1	0	2	0	0	1	0	1	4	1	0	0	1	0	6	9	149	0	1	0	0	21	5	0	0	0	1	0	0	3	0	0	1	0	0	0
2990	3894	"Auneau"	48.45611	1.79361	45	"AWI"	45	547	1086	835	0	0	2	4	0	0	3	0	4	0	6	0	0	0	0	2	0	0	0	12	79	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	3	11	134	0	0	0	0	35	2	0	1	1	1	0	0	0	0	0	2	0	0	0
2990	3894	"Auneau"	48.45611	1.79361	50	"AWI"	50	685	1148	931	0	0	0	2	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	8	2409	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	9	0	116	0	0	0	0	81	9	0	2	0	0	0	0	0	0	1	0	0	0	0
2990	3894	"Auneau"	48.45611	1.79361	55	"AWI"	55	892	1220	1020	0	0	11	0	0	1	0	0	1	0	3	1	0	1	0	0	0	0	0	4	553	0	1	0	0	1	0	1	0	0	0	1	7	0	0	0	0	1	0	7	0	111	0	1	0	0	49	11	0	1	3	2	0	0	0	0	0	0	0	0	0
2990	3894	"Auneau"	48.45611	1.79361	60	"AWI"	60	995	1363	1140	0	0	12	0	0	0	0	0	5	0	2	0	0	0	0	1	0	0	0	23	249	0	0	0	0	13	0	0	0	0	1	0	0	1	0	0	0	0	0	7	0	119	0	0	0	0	71	11	0	1	1	1	0	0	1	0	2	6	0	0	1
2990	3894	"Auneau"	48.45611	1.79361	65	"AWI"	65	1062	1610	1266	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	6	1117	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	21	3	89	0	1	0	0	45	3	0	0	1	0	0	0	0	0	1	0	0	0	0
2990	3894	"Auneau"	48.45611	1.79361	70	"AWI"	70	1128	1827	1395	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	9	657	0	1	0	0	4	0	0	0	1	3	0	1	0	0	0	0	0	0	21	0	145	0	0	0	0	48	6	0	0	0	1	0	0	0	0	0	2	0	0	0
2990	3894	"Auneau"	48.45611	1.79361	75	"AWI"	75	1214	1972	1534	0	0	2	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	391	0	1	0	0	1	0	0	0	0	13	0	4	6	0	1	0	0	0	20	0	130	0	0	0	0	25	5	0	0	0	1	0	0	0	0	0	0	0	0	0
2990	3894	"Auneau"	48.45611	1.79361	80	"AWI"	80	1313	2116	1674	0	0	2	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	627	0	0	0	0	0	0	1	0	0	0	0	12	2	0	0	0	0	0	25	0	0	0	0	0	0	16	2	0	1	0	0	0	0	1	0	1	0	0	0	0
2990	3894	"Auneau"	48.45611	1.79361	85	"AWI"	85	1411	2265	1810	0	1	2	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	0	4	539	0	1	0	0	0	0	0	0	1	0	0	19	2	0	0	0	0	0	28	0	0	0	0	0	0	17	4	0	2	0	1	0	0	3	0	0	1	0	0	0
