"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3517	4543	"Zaruckoe"	63.9	36.25	25	"AWI"	25	71	771	345	0	0	3.33333333333333	0.833333333333333	0.833333333333333	0	0	0	0	4.16666666666667	0	0.833333333333333	0	0	0	15.8333333333333	71.6666666666667	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	50	"AWI"	50	345	1234	775	1.5625	0	0	0	1.5625	0	0	0	0	4.6875	0	0	0	0	0	23.4375	68.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	75	"AWI"	75	783	1599	1223	0	0	0	0	2.94117647058824	0	0	0	0	14.7058823529412	0	0	0	0	0	13.2352941176471	63.2352941176471	0	1.47058823529412	0	0	0	2.94117647058824	0	0	0	1.47058823529412	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	100	"AWI"	100	1298	1909	1658	1.52671755725191	0	0	0	0	0	0	0	0	6.10687022900763	0	0	0	0	0	36.6412213740458	54.1984732824427	0.763358778625954	0.763358778625954	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	125	"AWI"	125	1799	2330	2032	1.51515151515152	0	0	0	1.51515151515152	0	0	0	3.03030303030303	7.57575757575758	0	1.51515151515152	0	0	0	37.8787878787879	43.9393939393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03030303030303
3517	4543	"Zaruckoe"	63.9	36.25	150	"AWI"	150	2040	2828	2396	1.03092783505155	11.340206185567	0	0	1.03092783505155	0.515463917525773	0	0	1.54639175257732	3.60824742268041	0	0	0	0	0.515463917525773	36.0824742268041	43.8144329896907	0	0.515463917525773	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	175	"AWI"	175	2371	3183	2773	0	0	0	0	0	0	0	0	1.16279069767442	4.65116279069767	0	0	0	0	0	34.8837209302326	55.8139534883721	0	0	0	0	0	0	0	0	1.16279069767442	0	0	0	0	1.16279069767442	1.16279069767442
3517	4543	"Zaruckoe"	63.9	36.25	200	"AWI"	200	2722	3521	3157	1.06382978723404	0	0	0	0	0	0	0	0	3.19148936170213	0	0	0	0	0	42.5531914893617	52.1276595744681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06382978723404
3517	4543	"Zaruckoe"	63.9	36.25	225	"AWI"	225	3212	3779	3526	3.7037037037037	0	0	0	2.46913580246914	0	0	0	1.23456790123457	3.7037037037037	0	0	0	0	0	38.2716049382716	48.1481481481481	0	0	0	0	0	1.23456790123457	0	0	0	1.23456790123457	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	250	"AWI"	250	3535	4097	3818	0.4149377593361	0	0	0	0	0	0	0	1.6597510373444	0.829875518672199	0	0	0	0	0	27.3858921161826	68.8796680497925	0	0	0	0	0	0.4149377593361	0	0	0	0	0	0	0	0	0.4149377593361
3517	4543	"Zaruckoe"	63.9	36.25	275	"AWI"	275	3729	4420	4057	0	0	1.0752688172043	0	1.0752688172043	0	0	0	3.2258064516129	1.0752688172043	0	0	0	0	0	32.258064516129	58.0645161290323	0	0	0	0	0	1.0752688172043	0	0	0	0	0	0	0	0	2.1505376344086
3517	4543	"Zaruckoe"	63.9	36.25	300	"AWI"	300	3928	4716	4302	1.51515151515152	0	0	0	0	0	0	0	1.51515151515152	3.03030303030303	0	0	0	0	0	26.5151515151515	65.9090909090909	0	0	0	0.757575757575758	0.757575757575758	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	325	"AWI"	325	4151	4983	4551	0.613496932515337	0	0	0	0.613496932515337	0	0	0	1.84049079754601	0	0	0	0.613496932515337	0	0	38.6503067484663	57.0552147239264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613496932515337
3517	4543	"Zaruckoe"	63.9	36.25	350	"AWI"	350	4363	5248	4797	3.52941176470588	0	1.17647058823529	0	1.17647058823529	0	0	0	2.35294117647059	5.88235294117647	0	0	0	0	0	30.5882352941176	49.4117647058824	0	1.17647058823529	0	0	0	0	0	0	0	1.17647058823529	0	0	0	0	3.52941176470588
3517	4543	"Zaruckoe"	63.9	36.25	375	"AWI"	375	4600	5482	5041	2.17391304347826	0	0	0	1.08695652173913	0	0	0	4.34782608695652	3.26086956521739	0	0	0	0	0	25	63.0434782608696	0	1.08695652173913	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	400	"AWI"	400	4842	5722	5295	1.15606936416185	0	0	0	0.578034682080925	0	0	0	2.3121387283237	1.73410404624277	10.9826589595376	0	0	0	0	20.2312138728324	57.8034682080925	0	1.15606936416185	0	0	0.578034682080925	0.578034682080925	0	0	0	0	0	0	0	0	2.89017341040462
3517	4543	"Zaruckoe"	63.9	36.25	425	"AWI"	425	5120	5943	5546	1.69491525423729	0	0	0	0	0	0	0	3.38983050847458	1.69491525423729	0	0	0	0	0	10.1694915254237	69.4915254237288	0	5.08474576271187	0	0	1.69491525423729	1.69491525423729	0	0	0	0	0	0	0	0	5.08474576271187
