"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
16362	25427	"Lingreville"	48.92972	-1.54306	50	"AWI"	50	133	1332	584	112	1	4	1	1	7	3	0	0	1	26	2	3	0	0	0	1	0	0	0	0	1	3	0	49	0	1	1	0	0	0	1	0	3	0
16362	25427	"Lingreville"	48.92972	-1.54306	70	"AWI"	70	298	1626	868	73	0	3	0	26	14	4	0	0	2	27	1	2	0	1	0	0	1	0	0	0	1	3	0	70	0	2	0	0	0	0	0	0	10	0
16362	25427	"Lingreville"	48.92972	-1.54306	80	"AWI"	80	415	1753	1007	81	2	15	1	1	8	6	0	0	1	34	2	2	0	1	0	0	1	0	0	0	0	7	0	51	0	10	3	0	0	1	0	0	11	0
16362	25427	"Lingreville"	48.92972	-1.54306	100	"AWI"	100	615	2037	1283	91	1	9	0	1	12	4	0	0	3	29	2	1	0	0	0	0	1	0	1	0	0	7	0	0	0	21	1	0	0	0	1	1	9	0
16362	25427	"Lingreville"	48.92972	-1.54306	120	"AWI"	120	835	2288	1561	108	1	2	0	3	0	4	0	0	1	14	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	1	0	3	0
16362	25427	"Lingreville"	48.92972	-1.54306	150	"AWI"	150	1287	2588	1974	104	4	9	0	2	8	6	0	0	2	24	6	1	0	0	0	0	0	0	1	0	0	1	0	65	0	23	0	0	0	0	2	0	1	0
16362	25427	"Lingreville"	48.92972	-1.54306	180	"AWI"	180	1772	2838	2368	65	0	0	0	0	3	1	0	0	2	15	2	0	0	0	0	0	0	0	0	0	0	4	0	96	0	1	0	0	0	0	2	0	1	0
16362	25427	"Lingreville"	48.92972	-1.54306	200	"AWI"	200	2062	3002	2610	42	3	0	0	0	0	3	0	0	0	16	4	0	0	0	0	0	0	0	1	0	0	1	0	84	0	1	1	0	0	0	0	0	1	0
16362	25427	"Lingreville"	48.92972	-1.54306	220	"AWI"	220	2355	3161	2831	66	3	0	0	0	12	5	0	0	0	16	12	0	0	0	0	1	0	0	0	0	0	1	0	84	0	2	0	0	0	0	1	0	2	0
16362	25427	"Lingreville"	48.92972	-1.54306	240	"AWI"	240	2721	3291	3042	55	7	0	1	0	4	1	0	0	1	11	5	2	0	0	0	0	0	1	1	0	0	5	0	0	0	3	0	0	0	0	3	0	1	2
16362	25427	"Lingreville"	48.92972	-1.54306	250	"AWI"	250	2850	3333	3115	40	19	0	2	7	3	1	0	0	1	20	13	0	0	0	0	3	0	0	0	0	1	23	1	0	0	3	1	0	0	0	1	0	2	0
16362	25427	"Lingreville"	48.92972	-1.54306	260	"AWI"	260	2925	3428	3197	44	21	1	0	3	11	2	0	0	1	11	12	1	0	0	0	1	0	0	1	0	2	22	1	0	0	4	0	0	0	0	0	0	2	1
16362	25427	"Lingreville"	48.92972	-1.54306	270	"AWI"	270	2993	3512	3263	135	25	4	1	2	0	2	0	1	4	8	3	1	1	0	0	0	0	0	1	0	2	15	1	0	0	9	1	2	0	0	0	0	2	2
16362	25427	"Lingreville"	48.92972	-1.54306	280	"AWI"	280	3052	3573	3325	350	14	1	15	2	0	12	0	0	0	72	2	2	0	1	1	0	2	0	0	0	1	4	0	0	0	52	0	1	0	0	2	0	15	0
16362	25427	"Lingreville"	48.92972	-1.54306	290	"AWI"	290	3091	3657	3383	250	4	1	2	1	0	3	1	0	1	10	0	1	0	0	0	0	1	0	0	0	0	2	0	7	0	9	0	0	0	0	1	0	3	1
16362	25427	"Lingreville"	48.92972	-1.54306	300	"AWI"	300	3471	4710	3896	264	8	4	4	1	3	6	0	0	1	54	3	3	0	1	0	0	3	0	0	1	2	2	0	15	0	26	0	3	0	1	1	0	10	1
16362	25427	"Lingreville"	48.92972	-1.54306	310	"AWI"	310	3518	4782	3981	205	3	2	5	0	0	6	0	0	0	42	2	0	0	0	0	0	0	0	2	0	1	3	1	0	0	36	0	0	0	1	3	0	10	2
16362	25427	"Lingreville"	48.92972	-1.54306	320	"AWI"	320	3590	4854	4070	98	3	0	2	0	0	2	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	2	2	0	1	0
16362	25427	"Lingreville"	48.92972	-1.54306	330	"AWI"	330	3639	4938	4164	250	7	9	8	5	0	7	0	0	1	45	9	1	0	0	0	0	3	0	0	0	0	3	0	0	0	42	0	0	1	0	1	0	28	2
16362	25427	"Lingreville"	48.92972	-1.54306	340	"AWI"	340	3705	5040	4256	55	3	1	1	0	0	1	0	0	0	15	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	3	1
16362	25427	"Lingreville"	48.92972	-1.54306	350	"AWI"	350	3783	5141	4352	170	5	9	4	2	3	7	0	0	0	29	4	2	0	0	0	0	2	0	0	0	0	1	0	0	0	34	1	0	0	0	1	0	13	0
16362	25427	"Lingreville"	48.92972	-1.54306	360	"AWI"	360	3840	5248	4452	204	3	0	0	1	0	1	0	0	0	16	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	30	0	1	0	0	1	0	8	0
