"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juglans"	"Ostrya.Carpinus"	"Pinus"	"Poaceae"	"Quercus"	"Tilia"	"Ulmus"
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	10	"AWI"	10	-71	551	121	16	21	19	4	51	28	0	28	7	2	41	7	9	0	0
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	20	"AWI"	20	24	863	354	22	27	11	4	54	45	0	6	5	4	4	6	27	2	0
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	30	"AWI"	30	156	1110	583	21	21	8	6	54	50	0	0	4	2	8	6	26	4	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	40	"AWI"	40	285	1354	771	19	17	3	7	52	52	0	0	1	1	9	5	21	1	1
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	50	"AWI"	50	434	1589	952	17	11	8	6	67	33	0	0	6	0	17	4	44	1	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	60	"AWI"	60	576	1803	1140	19	27	10	8	42	36	0	12	6	0	10	4	31	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	70	"AWI"	70	733	1989	1331	20	37	13	6	51	46	0	16	4	0	4	4	23	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	80	"AWI"	80	892	2181	1511	22	35	10	5	60	40	0	20	5	0	12	10	27	0	2
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	90	"AWI"	90	1054	2379	1695	14	19	5	8	35	23	0	0	3	0	26	10	35	0	1
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	100	"AWI"	100	1230	2562	1879	12	14	3	9	34	18	0	5	3	0	34	7	36	0	1
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	110	"AWI"	110	1408	2740	2067	14	16	16	12	37	18	0	0	2	0	43	6	33	1	4
3073	4005	"Cueto de la Avellanosa"	43.11667	-4.36417	120	"AWI"	120	1584	2938	2255	18	16	27	16	36	16	0	0	1	0	48	2	32	2	4
