"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	2.5	"AWI"	2.5	-116	39.5	-33.5	0	6	2	1	0	0	0	32	0	0	0	0	0	0	15	0	9	43	95	0	0	7	0	0	0	0	0	0	0	0	0	0	2	5	0	134	0	0	0	0	59	1	0	0	0	2	0	2	0	0	0	0	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	5	"AWI"	5	-105	53	-22	0	3	0	0	0	0	0	8	0	0	0	0	0	0	32	0	4	39	61	0	3	9	0	0	0	0	0	0	0	0	0	0	1	9	0	104	0	0	0	1	39	0	0	1	0	1	0	1	0	0	0	2	1	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	9	"AWI"	9	-91	81	-3	0	7	0	1	0	0	0	32	0	2	0	0	0	0	32	0	8	19	64	5	0	29	0	0	1	0	1	0	0	0	0	0	0	5	0	73	0	0	0	1	68	2	0	0	0	0	0	2	0	0	0	2	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	11.5	"AWI"	11.5	-84.5	102.5	8.5	0	11	1	0	0	0	0	19	0	3	0	0	0	0	49	0	5	32	55	0	1	12	0	0	0	0	0	0	0	0	0	0	0	7	0	59	0	0	0	0	78	2	0	0	0	0	0	0	0	0	0	1	1	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	16.5	"AWI"	16.5	-74	151	31	0	11	1	0	1	0	0	123	0	3	0	0	0	0	71	0	8	20	345	0	2	6	1	0	0	0	3	0	0	0	0	0	1	1	0	74	0	0	0	0	39	1	0	0	0	0	0	0	0	0	0	1	3	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	19	"AWI"	19	-70	176	42	0	10	0	3	0	0	0	15	0	2	0	0	0	0	56	0	3	48	262	0	0	11	0	0	0	0	2	0	0	1	0	0	0	0	0	56	0	0	0	0	76	2	0	0	0	0	0	0	0	0	0	1	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	22.5	"AWI"	22.5	-64.5	213	57.5	1	6	1	0	1	1	0	3	0	2	0	0	0	0	71	0	2	24	100	0	0	9	0	0	1	0	0	0	0	1	0	0	0	0	0	86	0	0	0	1	49	1	0	0	0	0	0	0	0	0	0	0	8	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	30	"AWI"	30	-55	294	88	0	11	0	0	0	1	0	6	0	0	0	0	0	0	14	0	8	23	81	0	0	12	0	0	0	0	2	0	0	0	0	0	0	1	0	77	0	0	0	0	77	3	0	0	4	0	0	0	0	0	0	2	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	32.5	"AWI"	32.5	-37.5	300	101.5	1	9	0	1	0	0	0	0	0	1	0	0	0	0	24	0	0	33	56	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	1	30	2	0	0	0	0	0	0	0	0	0	0	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	37.5	"AWI"	37.5	-11	315	128	0	16	0	0	0	2	0	11	0	1	0	0	0	0	26	0	5	26	0	0	1	9	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	29	1	0	0	0	0	0	0	0	0	0	1	0	0
