"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
25957	44896	"Llyn Cororion"	53.197734	-4.101292	6	"AWI"	6	-60	186	48	22	0	1	0	2	0	29	3	0	151	0	0	9	0	23	0	0	0	0	0	1	0	0	0	1	35	0	0	2	0	0	1	34	0	0	21	0	0	0	11	10	0	0	0	0	0	2	5	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	8	"AWI"	8	-51	246	74	30	1	0	0	0	0	40	0	0	127	0	0	13	0	29	0	2	0	0	0	0	2	0	0	2	72	0	0	0	0	0	1	52	0	0	23	0	0	0	13	6	0	0	1	0	0	0	0	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	16	"AWI"	16	-24	494	174	22	1	0	0	2	0	53	0	0	8	0	0	51	0	4	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	3	22	188	0	40	0	0	2	4	3	0	0	0	0	0	12	0	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	24	"AWI"	24	79	563	321	42	0	1	2	2	0	47	3	0	339	0	0	4	0	18	0	0	0	0	0	1	4	0	0	0	24	0	0	0	0	0	2	12	0	0	18	0	0	1	26	4	0	0	0	0	0	0	0	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	30	"AWI"	30	118	657	430	33	2	3	1	1	0	44	1	0	306	0	3	9	0	55	0	0	0	0	0	3	0	0	0	1	47	0	0	0	0	0	2	9	131	0	30	0	0	1	18	4	0	0	1	0	0	5	0	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	32	"AWI"	32	138	697	462	37	1	2	0	2	0	54	2	3	313	0	0	3	0	39	0	0	0	0	0	2	7	0	0	0	27	0	0	0	0	0	1	11	148	0	36	0	0	2	26	4	0	0	0	0	0	0	0	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	34	"AWI"	34	204	702	489	31	1	2	0	3	0	51	2	0	259	0	0	16	0	46	0	4	0	0	0	2	2	0	0	0	21	0	0	0	0	0	1	15	118	0	25	0	0	1	24	5	0	0	0	0	0	1	0	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	40	"AWI"	40	388	728	572	82	2	0	0	0	0	57	0	0	276	0	0	9	0	16	0	0	0	0	0	0	2	0	0	0	39	0	0	0	0	1	2	17	154	0	47	0	0	0	24	2	0	0	0	1	0	1	2	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	42	"AWI"	42	443	747	603	71	0	3	0	4	0	70	2	0	193	0	0	8	0	45	0	0	0	0	0	3	3	0	0	1	13	0	0	0	0	0	2	18	76	0	43	0	0	0	31	2	0	0	1	1	0	1	0	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	48	"AWI"	48	557	823	691	67	0	0	0	1	0	66	0	0	7	0	0	93	0	4	0	0	0	0	0	0	1	0	0	3	23	0	0	0	0	0	0	15	122	0	51	0	0	0	36	6	0	0	0	0	0	2	0	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	55	"AWI"	55	587	909	742	70	1	4	0	3	0	64	1	0	2	0	0	33	0	29	0	0	0	0	0	0	2	0	0	0	92	0	0	0	0	0	2	15	0	0	48	0	0	0	1	12	0	0	0	0	1	2	2	0
25957	44896	"Llyn Cororion"	53.197734	-4.101292	64	"AWI"	64	623	1071	805	92	1	0	2	3	0	105	1	0	2	0	0	45	0	27	0	0	0	0	0	1	5	0	0	1	3	0	0	0	0	0	1	10	141	0	49	0	0	0	20	15	0	0	0	0	0	1	2	0
