"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
24189	42568	"Bruckmisse"	48.730522	8.642734	5	"AWI"	5	-55	548	112	3.68324125230203	0	1.28913443830571	0.368324125230203	0	0	0	0.368324125230203	0	29.4659300184162	0.184162062615101	0	0	0	0	0	2.39410681399632	2.20994475138122	1.10497237569061	0	0	0	2.39410681399632	0	0.184162062615101	0	0	0.184162062615101	0	0	0	0	0	0	0	0	0	2.02578268876611	51.9337016574586	0	0	0	0	0	0	2.02578268876611	0	0	0	0	0	0	0	0	0	0	0.184162062615101	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	10	"AWI"	10	36	808	322	1.32827324478178	0	2.46679316888046	0.379506641366224	0.189753320683112	0	0	0	0	50.4743833017078	0.379506641366224	0	0	0	0	0.189753320683112	2.84629981024668	2.46679316888046	0	0	0	0	1.70777988614801	0	0.94876660341556	0	0	0	0	0	0	0	0	0	0	0	0.569259962049336	1.13851992409867	30.550284629981	0	0	0	0	0	0	2.65654648956357	0	0	0	0.759013282732448	0.189753320683112	0	0	0.379506641366224	0.189753320683112	0	0.189753320683112	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	15	"AWI"	15	162	1048	534	2.84629981024668	0	1.32827324478178	0	0	0	0	0	0	17.4573055028463	0	0	0	0	0	0	2.84629981024668	1.13851992409867	0.94876660341556	0	0	0	1.70777988614801	0	0.94876660341556	0	0	0	0	0	0	0	0	0	0	0	0	6.83111954459203	61.2903225806452	0	0	0	0	0	0	1.89753320683112	0	0	0	0.379506641366224	0	0	0	0	0.189753320683112	0.189753320683112	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	20	"AWI"	20	309	1286	755	1.61943319838057	0.202429149797571	2.02429149797571	0.404858299595142	0	0	0	0.202429149797571	0	25.5060728744939	0	0	0	0	0	0	6.07287449392713	3.64372469635628	1.417004048583	0	0	0	0.809716599190283	0	0.607287449392713	0	0	0	0	0	0	0	0.202429149797571	0.202429149797571	0	0	1.01214574898785	2.22672064777328	47.9757085020243	0	0	0	0	0	0	4.04858299595142	0	0	0.404858299595142	0	0	0	0	0	0.404858299595142	1.01214574898785	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	25	"AWI"	25	466	1508	967	1.34615384615385	0	1.15384615384615	0.192307692307692	0	0	0	0.576923076923077	0	23.8461538461538	0.769230769230769	0	0	0	0	0	4.80769230769231	0.576923076923077	0	0	0	0	3.07692307692308	0	0.769230769230769	0.192307692307692	0	0.192307692307692	0	0	0	0	0	0	0	0	1.34615384615385	5.96153846153846	51.9230769230769	0	0	0	0	0	0	1.92307692307692	0	0	0	0.192307692307692	0	0	0.192307692307692	0	0.384615384615385	0.576923076923077	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	30	"AWI"	30	638	1672	1175	0.269541778975741	0.134770889487871	3.50404312668464	0	0	0	0	0	0	31.8059299191375	0.134770889487871	0	0.134770889487871	0	0	0	4.31266846361186	9.83827493261455	0.404312668463612	0	0	0	1.61725067385445	0	0.134770889487871	0	0	0.134770889487871	0	0	0	0	0	0	0	0	1.07816711590297	1.07816711590297	40.4312668463612	0	0	0	0	0	0	3.50404312668464	0	0	0.134770889487871	0.673854447439353	0	0	0	0	0.269541778975741	0.404312668463612	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	35	"AWI"	35	825	1853	1380	1.27737226277372	0	0.547445255474453	0	0	0	0	0	0	31.3868613138686	1.09489051094891	0	0	0	0	0	5.10948905109489	2.91970802919708	0	0	0	0	1.09489051094891	0	0	0	0	0.182481751824818	0	0	0	0	0	0	0.182481751824818	0	0.364963503649635	9.48905109489051	41.7883211678832	0	0	0	0	0	0	3.46715328467153	0	0	0	0.182481751824818	0	0	0	0.182481751824818	0	0.547445255474453	0.182481751824818	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	40	"AWI"	40	1055	2005	1590	0.391389432485323	0	2.5440313111546	0	0	0	0	0.195694716242661	0	49.119373776908	0.195694716242661	0	0	0	0	0	3.52250489236791	2.93542074363992	0	0.195694716242661	0.391389432485323	0	0.587084148727984	0	1.17416829745597	2.15264187866928	0	0	0	0	0.391389432485323	0	0	0	0	0	0.587084148727984	2.93542074363992	29.5499021526419	0	0	0	0	0.195694716242661	0	1.76125244618395	0	0	0.391389432485323	0	0.391389432485323	0	0	0	0.195694716242661	0.195694716242661	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	45	"AWI"	45	1269	2150	1796	1.63636363636364	0	1.63636363636364	0	0	0	0	0	0	29.2727272727273	0	0	0.181818181818182	0	0	0	1.81818181818182	0.545454545454546	0	0	0.181818181818182	0	2	0	0.727272727272727	2.18181818181818	0	0.181818181818182	0	0	0	0	0	0	0	0	0.181818181818182	4	52.5454545454546	0	0	0	0	0	0	1.63636363636364	0	0	0.181818181818182	0.181818181818182	0.545454545454546	0	0	0.181818181818182	0	0.181818181818182	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	52.5	"AWI"	52.5	1814	2287	2083.5	2.61194029850746	0	2.42537313432836	0	0	0	0	0.559701492537313	0	31.7164179104478	0.373134328358209	0	0.186567164179104	0	0	0.186567164179104	6.71641791044776	2.05223880597015	1.67910447761194	0	0	0	3.91791044776119	0	0.373134328358209	0	0	0	0	0	0	0	0	0	0	0	0.559701492537313	1.11940298507463	36.5671641791045	0	0	0	0	0	0	7.27611940298508	0	0	0	0.373134328358209	0	0	0	0	0.932835820895522	0.373134328358209	0	0	0
