"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26117	45311	"Vuoskkujávri"	68.34556	19.1	601	"AWI"	601	-120	42	-41	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	21	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3
26117	45311	"Vuoskkujávri"	68.34556	19.1	604	"AWI"	604	-53	398	96	4	1	0	0	0	0	317	0	0	0	0	0	0	0	0	7	0	17	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
26117	45311	"Vuoskkujávri"	68.34556	19.1	608	"AWI"	608	35	779	297	11	1	0	0	0	0	299	0	0	0	0	0	0	1	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	612	"AWI"	612	145	1040	506	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	616	"AWI"	616	266	1253	725	13	0	0	0	0	0	328	0	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	620	"AWI"	620	440	1395	942	8	0	0	2	2	0	304	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	12	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0
26117	45311	"Vuoskkujávri"	68.34556	19.1	624	"AWI"	624	696	1531	1158	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	626	"AWI"	626	778	1631	1273	4	0	0	0	0	0	311	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26117	45311	"Vuoskkujávri"	68.34556	19.1	630	"AWI"	630	1132	1722	1457	5	0	0	0	1	0	360	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
26117	45311	"Vuoskkujávri"	68.34556	19.1	634	"AWI"	634	1401	1853	1630	12	0	0	0	1	0	355	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
26117	45311	"Vuoskkujávri"	68.34556	19.1	638	"AWI"	638	1520	2050	1780	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	642	"AWI"	642	1619	2228	1907	10	0	0	0	1	0	372	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	646	"AWI"	646	1719	2373	2046	19	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
26117	45311	"Vuoskkujávri"	68.34556	19.1	650	"AWI"	650	1865	2494	2186	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	654	"AWI"	654	2042	2592	2322	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	41	0	1	1	4	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	658	"AWI"	658	2196	2706	2458	6	0	0	0	0	0	340	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
26117	45311	"Vuoskkujávri"	68.34556	19.1	662	"AWI"	662	2315	2899	2609	14	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	11	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
26117	45311	"Vuoskkujávri"	68.34556	19.1	666	"AWI"	666	2424	3085	2754	8	0	0	0	0	0	305	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
26117	45311	"Vuoskkujávri"	68.34556	19.1	670	"AWI"	670	2571	3205	2894	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
