"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
16	16	"Ahlenmoor"	53.699082	8.74688	6	"AWI"	6	-25	388	120	0	0	68	12	2	1	1	0	240	0	7	0	0	0	0	183	38	0	0	21	2	0	0	0	345	7	1	110	0	175	0	47	3	0	51	3	1	0
16	16	"Ahlenmoor"	53.699082	8.74688	11	"AWI"	11	20	648	229	0	0	70	10	1	0	5	9	159	0	7	0	0	0	0	179	60	0	0	24	0	0	0	0	192	4	1	156	0	165	0	79	2	0	55	3	0	4
16	16	"Ahlenmoor"	53.699082	8.74688	16	"AWI"	16	84	760	367	0	0	127	9	1	1	5	6	119	0	10	0	0	0	0	42	40	0	5	37	4	0	1	1	13	11	0	67	29	115	2	129	4	2	27	3	1	2
16	16	"Ahlenmoor"	53.699082	8.74688	21	"AWI"	21	152	938	493	0	0	145	8	1	0	9	0	122	0	1	0	0	0	0	53	24	0	0	60	0	0	0	1	11	38	2	41	0	0	0	81	0	0	26	5	0	6
16	16	"Ahlenmoor"	53.699082	8.74688	26	"AWI"	26	243	1022	633	0	0	169	13	0	0	4	0	152	0	4	0	0	0	0	48	38	0	0	47	1	0	0	0	5	37	1	30	12	0	0	92	1	0	26	13	0	7
16	16	"Ahlenmoor"	53.699082	8.74688	31	"AWI"	31	333	1157	764	2	0	139	12	0	0	4	0	155	0	0	0	0	0	0	48	20	0	0	79	1	0	0	0	2	45	0	36	5	0	0	84	0	0	28	4	0	5
16	16	"Ahlenmoor"	53.699082	8.74688	36	"AWI"	36	486	1210	894	0	1	117	5	0	0	3	0	123	0	1	0	0	0	0	70	47	0	0	67	8	0	0	0	5	40	0	59	7	62	0	78	0	0	11	2	1	4
16	16	"Ahlenmoor"	53.699082	8.74688	41	"AWI"	41	611	1302	1023	2	2	171	7	0	0	0	0	68	0	0	0	0	0	0	41	7	0	0	79	2	0	0	0	5	17	3	57	0	0	0	96	0	0	8	1	0	2
16	16	"Ahlenmoor"	53.699082	8.74688	46	"AWI"	46	858	1343	1145	0	2	258	3	0	0	2	0	50	0	2	0	0	0	0	36	13	0	0	39	7	0	0	0	7	43	0	29	0	0	0	66	0	0	5	0	0	6
16	16	"Ahlenmoor"	53.699082	8.74688	51	"AWI"	51	977	1426	1276	0	0	221	4	0	0	3	0	93	0	0	1	0	0	0	43	13	0	0	83	6	0	0	0	8	27	2	13	0	0	0	47	0	0	4	2	1	5
16	16	"Ahlenmoor"	53.699082	8.74688	56	"AWI"	56	1035	1495	1325	1	0	201	2	0	0	2	0	112	0	1	0	0	0	0	43	24	0	0	54	5	0	0	0	3	37	0	14	0	0	0	68	0	0	1	2	0	6
16	16	"Ahlenmoor"	53.699082	8.74688	61	"AWI"	61	1084	1582	1372	0	0	208	2	0	0	1	0	111	0	0	0	0	0	0	48	47	0	0	78	2	0	0	0	7	30	0	38	0	0	0	77	0	0	2	1	2	3
16	16	"Ahlenmoor"	53.699082	8.74688	66	"AWI"	66	1144	1630	1425	0	0	220	12	0	0	4	0	81	0	1	0	0	0	0	53	48	0	0	51	4	1	0	0	7	39	0	33	0	0	0	63	0	0	7	2	1	6
16	16	"Ahlenmoor"	53.699082	8.74688	71	"AWI"	71	1198	1704	1475	0	0	215	10	0	0	6	0	107	0	0	0	0	0	0	46	13	0	0	51	2	0	0	0	10	15	0	38	0	0	0	66	0	0	3	0	1	5
16	16	"Ahlenmoor"	53.699082	8.74688	76	"AWI"	76	1271	1747	1530	1	0	259	2	0	0	1	0	110	0	1	0	0	0	0	76	28	0	0	41	5	0	0	0	7	13	0	24	0	0	0	47	0	0	3	1	0	9
16	16	"Ahlenmoor"	53.699082	8.74688	81	"AWI"	81	1330	1808	1586	0	0	321	10	1	0	4	0	73	0	0	0	0	0	0	59	37	0	0	28	2	0	0	0	7	12	0	11	0	0	0	60	0	0	3	0	0	3
16	16	"Ahlenmoor"	53.699082	8.74688	86	"AWI"	86	1398	1844	1641	0	0	233	4	0	0	5	0	122	0	1	0	0	0	0	58	21	0	0	60	2	0	0	0	5	12	0	17	0	0	0	48	0	0	1	0	0	6
16	16	"Ahlenmoor"	53.699082	8.74688	91	"AWI"	91	1461	1894	1694	0	0	243	1	0	0	1	0	94	0	0	0	0	0	0	72	8	0	0	37	0	0	0	0	7	18	1	22	0	0	0	76	0	0	5	0	1	8
16	16	"Ahlenmoor"	53.699082	8.74688	96	"AWI"	96	1545	1928	1745	0	0	225	3	0	0	5	0	140	0	0	0	0	0	0	57	7	0	0	28	2	0	0	0	1	8	0	9	0	0	0	82	0	0	3	1	0	4
16	16	"Ahlenmoor"	53.699082	8.74688	101	"AWI"	101	1601	1981	1795	0	0	227	9	0	0	8	0	107	0	0	0	0	0	0	62	6	0	0	42	1	0	0	0	6	13	0	19	0	0	0	95	0	0	9	0	1	5
