"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
3502	24097	"Vracov"	48.977644	17.199456	22	"AWI"	22	95	1160	488	5	1	15	13	0	5	0	23	0	36	0	6	0	7	0	0	0	0	0	1	17	276	0	0	0	0	17	0	1	0	0	0	0	2	13	0	0	0	0	0	3	0	7	170	8	206	0	0	0	0	0	130	0	0	0	1	0	2	0	0	4	0	17	0	6	2	0	0
3502	24097	"Vracov"	48.977644	17.199456	25	"AWI"	25	143	1251	579	2	1	19	15	0	1	0	12	0	35	0	2	0	19	0	0	0	0	0	0	22	155	0	0	0	0	18	0	0	0	0	0	0	1	6	0	0	0	0	0	10	0	6	175	5	0	0	0	0	0	0	126	0	0	0	1	0	2	0	0	0	0	21	0	1	0	0	0
3502	24097	"Vracov"	48.977644	17.199456	30	"AWI"	30	204	1485	714	7	1	27	11	0	1	0	13	0	31	0	0	0	33	0	0	0	0	0	1	18	158	0	0	0	0	20	0	1	0	0	0	0	6	3	0	0	0	0	0	8	0	9	156	11	0	0	0	0	0	0	114	0	0	0	0	0	6	0	0	1	0	39	1	2	0	0	0
3502	24097	"Vracov"	48.977644	17.199456	35	"AWI"	35	312	1621	851	2	0	17	11	0	4	1	23	0	21	0	0	0	28	0	0	0	0	0	0	16	162	0	0	0	0	24	0	0	0	0	0	0	2	20	0	0	0	0	0	2	0	7	185	3	171	0	0	0	0	0	116	0	1	0	3	0	6	3	0	0	0	23	3	3	0	1	0
3502	24097	"Vracov"	48.977644	17.199456	40	"AWI"	40	380	1819	987	5	0	14	15	0	10	0	19	0	35	0	4	0	16	0	0	0	0	0	0	13	247	0	0	0	0	13	0	1	0	0	0	0	1	32	0	0	0	1	0	7	0	6	166	6	167	0	0	1	0	0	114	0	0	0	0	0	8	0	0	0	0	21	2	4	7	0	0
3502	24097	"Vracov"	48.977644	17.199456	45	"AWI"	45	518	1942	1133	9	0	25	5	0	2	0	34	0	78	0	0	0	31	0	0	0	0	0	2	58	100	0	0	0	0	40	0	0	0	0	0	0	2	3	0	0	0	0	0	25	0	3	84	19	141	0	0	1	0	0	95	0	0	0	1	0	11	6	0	0	0	4	4	6	10	0	0
3502	24097	"Vracov"	48.977644	17.199456	50	"AWI"	50	609	2117	1271	8	0	16	5	0	6	0	45	0	16	0	0	0	73	0	0	1	0	0	7	35	222	0	0	2	0	43	0	4	0	0	0	0	1	6	0	0	0	0	0	25	0	3	60	18	351	0	0	2	0	0	157	0	0	0	2	0	10	2	5	0	0	0	1	6	40	0	0
3502	24097	"Vracov"	48.977644	17.199456	55	"AWI"	55	736	2229	1404	14	1	18	9	0	4	0	43	0	40	0	0	0	6	0	0	0	0	0	0	36	70	0	0	0	0	47	1	0	0	0	0	0	0	4	0	0	0	0	0	21	1	12	135	7	0	1	0	0	0	0	79	0	0	0	1	0	4	0	0	0	0	3	1	3	2	0	0
3502	24097	"Vracov"	48.977644	17.199456	60	"AWI"	60	819	2420	1542	5	0	34	16	1	7	0	80	0	35	0	5	0	60	0	0	1	0	0	3	22	150	0	0	0	0	69	0	5	0	0	0	0	0	0	0	0	0	0	0	30	0	10	38	13	0	0	0	2	0	0	50	0	0	0	3	0	7	2	0	0	0	3	2	15	46	0	1
3502	24097	"Vracov"	48.977644	17.199456	65	"AWI"	65	960	2512	1684	17	0	24	26	0	3	0	79	0	29	0	7	0	102	0	0	0	0	0	0	21	386	0	0	0	0	90	0	0	0	0	0	0	0	2	0	0	2	0	3	28	0	8	57	11	583	0	0	0	0	0	63	0	0	0	6	0	5	0	0	0	0	4	0	5	175	2	0
