"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lentibulariaceae"	"Melanthiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15763	24221	"Pancavská louka"	50.76618	15.541672	1	"AWI"	1	-92	105	-6	10	0	0	0	1	0	0	6	0	27	0	0	0	0	0	0	0	0	2	0	7	0	0	0	17	1	0	0	0	0	1	0	0	0	0	0	0	2	71	177	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
15763	24221	"Pancavská louka"	50.76618	15.541672	2	"AWI"	2	-76	187	23	3	0	0	0	3	0	0	6	0	33	0	0	0	0	0	0	0	0	3	0	7	0	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	7	57	197	0	0	35	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0
15763	24221	"Pancavská louka"	50.76618	15.541672	3	"AWI"	3	-55	250	55	4	1	0	0	2	0	0	3	0	30	0	0	0	0	0	0	0	0	6	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	5	34	215	0	0	20	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
15763	24221	"Pancavská louka"	50.76618	15.541672	4	"AWI"	4	-37	299	89	2	0	0	0	4	0	0	4	0	35	0	0	0	0	0	0	0	0	4	0	4	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	2	72	223	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0
15763	24221	"Pancavská louka"	50.76618	15.541672	5	"AWI"	5	-22	355	122	3	0	0	0	7	0	0	3	0	52	0	0	0	0	0	1	0	0	5	0	2	0	0	0	3	3	0	0	0	2	1	1	0	0	1	0	0	2	17	124	0	0	37	0	0	0	8	0	0	0	0	1	6	4	0	0	0	0	0	0	0	0	5	0	0
15763	24221	"Pancavská louka"	50.76618	15.541672	6	"AWI"	6	8	391	154	1	2	0	0	6	0	0	5	0	72	0	0	0	1	0	4	0	0	7	0	10	0	0	0	2	5	0	0	1	0	0	0	0	3	0	0	0	12	15	165	0	0	85	0	0	0	27	0	0	0	0	0	0	5	1	0	0	0	0	0	1	1	6	0	0
15763	24221	"Pancavská louka"	50.76618	15.541672	7	"AWI"	7	28	448	187	2	1	0	0	3	0	0	2	0	41	0	0	0	0	0	0	0	0	3	0	2	0	0	0	6	1	0	0	3	0	0	0	0	1	0	0	0	10	44	163	0	0	52	0	0	0	25	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	13	0	1
15763	24221	"Pancavská louka"	50.76618	15.541672	8	"AWI"	8	49	491	219	1	0	0	0	1	0	0	2	0	104	0	0	0	2	0	0	0	0	6	0	11	0	0	0	16	2	0	0	0	0	0	0	0	1	0	0	0	3	17	126	0	0	51	0	0	0	26	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	11	2	0
15763	24221	"Pancavská louka"	50.76618	15.541672	9	"AWI"	9	73	523	252	3	0	0	28	0	0	0	8	0	106	0	0	0	0	0	0	0	0	9	0	8	0	0	0	5	0	0	0	0	0	2	0	0	1	0	0	0	3	8	163	0	0	46	0	0	0	15	0	0	0	0	0	0	4	2	0	0	0	0	0	0	1	4	0	0
15763	24221	"Pancavská louka"	50.76618	15.541672	10	"AWI"	10	91	566	283	5	0	0	0	1	0	0	1	0	54	0	0	0	0	2	0	0	0	7	0	6	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	10	16	116	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
