"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3233	4198	"Le Grand Lemps"	45.47333	5.41667	155	"AWI"	155	284	1229	660	0	0	16	2	0	0	2	0	12	0	2	2	0	0	0	0	2	0	40	8	0	0	0	18	0	0	22	6	0	0	0	16	2	4	10	41	0	76	0	0	0	0	1	10	4	0	0	0	0	0	0	0	4	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	175	"AWI"	175	361	1335	762	0	0	2	0	0	0	4	0	14	0	2	0	0	0	0	0	2	0	26	6	0	0	0	14	0	0	10	0	0	0	0	8	4	10	2	28	0	76	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	195	"AWI"	195	428	1462	859	0	0	18	2	0	0	8	0	54	0	6	0	0	0	0	0	0	0	80	2	0	0	0	20	0	0	12	0	0	0	0	10	2	10	6	58	0	90	6	0	0	0	0	8	4	0	0	0	0	0	0	4	6	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	225	"AWI"	225	627	1603	986	1	0	6	0	1	0	0	0	30	0	1	1	0	0	0	0	0	0	32	1	0	0	0	4	0	0	4	0	0	0	0	16	0	2	5	26	0	50	1	1	0	0	1	2	5	0	0	0	0	0	0	0	1	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	230	"AWI"	230	648	1634	1009	0	0	19	0	1	0	2	0	40	0	0	0	0	0	0	0	0	0	36	6	0	0	0	8	0	0	2	0	0	0	0	8	0	3	3	36	0	71	1	2	0	0	0	10	5	0	0	0	1	0	0	3	3	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	235	"AWI"	235	661	1663	1031	8	0	6	2	1	0	1	0	15	0	1	0	0	0	0	0	0	0	27	4	0	0	0	50	0	0	1	0	0	0	0	5	2	3	0	49	0	34	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	240	"AWI"	240	676	1695	1053	2	0	11	0	0	0	2	0	28	0	1	1	0	3	0	0	0	0	31	1	0	0	0	12	1	0	1	0	0	0	0	6	0	0	3	50	0	45	0	0	0	0	0	7	4	0	0	0	0	0	0	2	4	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	242	"AWI"	242	694	1709	1066	3	2	17	1	0	0	4	0	43	0	0	0	0	1	0	0	0	0	23	1	0	0	0	15	1	0	3	0	0	0	0	9	0	2	9	42	0	53	3	1	0	0	0	9	4	0	0	0	0	0	0	1	6	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	245	"AWI"	245	804	1765	1110	4	0	10	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	24	2	0	0	0	12	0	0	4	0	0	0	0	4	2	10	10	48	0	72	0	0	0	0	2	4	2	0	0	0	0	0	0	0	2	0
3233	4198	"Le Grand Lemps"	45.47333	5.41667	246	"AWI"	246	834	1785	1126	14	2	8	0	2	0	6	0	16	0	0	0	0	2	0	0	2	0	24	4	0	0	0	16	0	0	0	2	0	0	0	10	0	10	10	66	0	76	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0
