"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cucurbitaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23797	41230	"Caburn"	50.85722	0.05056	405	"AWI"	405	3632	4074	3849	0	242	23	0	1	1	2	0	19	0	1	0	0	0	0	3	0	0	85	0	80	0	0	1	0	0	12	0	0	0	4	0	2	0	0	0	0	0	0	0	0	4	0	0	106	0	0	94	2	0	0	0	1	0	3	0	0	0	0	0	14	1	6	8	0	1
23797	41230	"Caburn"	50.85722	0.05056	410	"AWI"	410	3707	4117	3902	0	338	8	0	13	1	4	0	20	0	0	0	0	0	0	0	0	0	104	0	93	0	0	0	0	0	4	0	0	2	11	0	0	0	0	0	1	0	0	0	0	6	0	0	95	0	0	80	0	1	0	0	1	0	5	0	0	0	0	1	9	0	6	6	2	1
23797	41230	"Caburn"	50.85722	0.05056	415	"AWI"	415	3778	4160	3959	2	466	4	0	17	1	4	7	8	0	0	0	0	0	0	0	0	0	94	1	121	0	0	0	0	0	3	0	0	1	21	0	1	0	0	0	0	0	0	0	0	2	0	0	87	0	0	96	0	1	0	0	4	0	3	0	0	0	0	0	11	1	4	2	0	0
23797	41230	"Caburn"	50.85722	0.05056	420	"AWI"	420	3837	4247	4023	2	814	1	0	19	3	4	0	5	0	1	0	0	0	0	0	0	0	111	0	126	0	0	0	0	0	7	0	1	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	44	0	0	131	0	0	0	0	0	0	7	0	0	0	0	0	17	0	17	5	0	0
23797	41230	"Caburn"	50.85722	0.05056	425	"AWI"	425	3887	4324	4088	3	1196	1	0	21	4	0	0	1	0	0	0	0	0	0	0	0	0	157	0	74	0	0	1	0	0	6	0	1	0	14	0	0	0	0	0	0	0	0	0	0	2	0	0	25	0	0	123	1	0	0	0	0	0	2	0	0	0	0	0	75	0	21	3	0	0
23797	41230	"Caburn"	50.85722	0.05056	430	"AWI"	430	3941	4404	4153	2	1074	1	0	3	6	1	0	1	0	0	0	0	0	0	0	0	1	144	0	130	1	0	1	0	0	14	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	96	0	0	0	0	0	0	1	0	0	0	0	0	59	0	24	8	0	0
23797	41230	"Caburn"	50.85722	0.05056	435	"AWI"	435	3997	4473	4216	4	1264	1	1	13	7	1	0	1	0	0	0	0	0	0	0	0	0	123	0	77	0	0	0	0	2	5	0	0	0	19	0	0	0	0	0	0	1	0	3	0	1	0	0	40	0	0	149	1	1	0	0	1	0	8	0	0	0	0	0	23	0	13	5	0	0
23797	41230	"Caburn"	50.85722	0.05056	440	"AWI"	440	4043	4549	4281	3	850	1	0	22	4	3	0	8	0	0	0	0	0	0	0	0	2	129	1	96	0	0	0	0	0	7	0	0	1	14	1	0	0	0	0	0	0	1	0	1	2	0	0	35	0	0	131	0	0	0	0	1	0	3	0	0	0	1	0	40	1	12	8	0	0
23797	41230	"Caburn"	50.85722	0.05056	445	"AWI"	445	4103	4618	4345	2	2408	2	0	5	7	4	0	2	0	0	0	0	0	0	0	0	0	110	0	139	0	0	1	0	1	10	0	0	0	15	0	0	0	0	0	0	0	0	0	0	3	0	0	32	0	0	116	0	0	0	0	1	0	3	0	0	0	0	0	41	0	21	5	0	0
23797	41230	"Caburn"	50.85722	0.05056	450	"AWI"	450	4159	4689	4410	0	798	1	0	19	2	0	0	3	0	1	0	0	0	0	0	0	2	151	0	113	0	0	1	0	1	8	0	0	0	21	0	0	0	0	0	0	0	0	0	0	3	0	0	18	0	0	130	0	0	0	0	0	0	6	0	0	0	1	0	40	1	11	6	0	0
23797	41230	"Caburn"	50.85722	0.05056	455	"AWI"	455	4217	4751	4475	2	932	1	1	26	8	1	0	8	0	0	0	0	0	0	0	0	0	128	0	84	0	0	0	0	0	8	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	126	1	1	0	0	0	0	4	0	0	0	0	1	55	0	13	2	0	0
23797	41230	"Caburn"	50.85722	0.05056	460	"AWI"	460	4271	4811	4539	0	1146	2	0	2	4	0	0	5	1	0	0	0	0	0	0	0	0	124	0	120	0	0	1	0	0	17	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	80	0	21	9	1	0
23797	41230	"Caburn"	50.85722	0.05056	465	"AWI"	465	4337	4873	4601	1	780	1	0	4	4	2	0	1	0	0	0	0	0	0	0	0	0	131	0	75	0	0	0	0	0	12	0	0	0	22	0	0	0	0	0	0	0	0	0	0	6	0	0	17	3	0	147	0	0	0	0	2	0	2	0	0	0	1	1	59	0	36	11	0	0
23797	41230	"Caburn"	50.85722	0.05056	470	"AWI"	470	4396	4939	4667	2	1030	0	0	1	2	0	0	3	0	1	0	0	0	0	0	0	0	200	0	54	0	0	0	0	0	11	0	0	0	23	0	0	0	0	0	0	0	0	0	0	3	0	0	9	2	0	133	0	0	0	0	1	0	0	0	0	0	0	0	35	0	32	19	0	0
23797	41230	"Caburn"	50.85722	0.05056	475	"AWI"	475	4457	4995	4731	0	720	0	1	1	3	0	0	4	0	0	0	0	0	0	0	0	0	179	0	49	0	0	0	0	0	7	0	0	1	41	1	0	0	0	0	0	2	0	2	0	3	0	0	21	3	0	112	0	0	0	0	0	0	5	0	0	0	0	1	62	0	47	9	0	0
23797	41230	"Caburn"	50.85722	0.05056	480	"AWI"	480	4522	5052	4796	1	912	2	0	3	2	0	0	3	0	1	0	0	0	0	0	0	0	146	0	49	1	0	0	0	0	6	0	0	0	62	0	0	0	0	0	0	0	0	0	0	1	0	0	11	4	0	138	0	0	1	0	1	0	1	0	0	0	0	5	96	0	31	9	0	0
23797	41230	"Caburn"	50.85722	0.05056	485	"AWI"	485	4595	5110	4862	0	712	1	0	13	2	0	0	5	0	0	0	0	0	0	0	0	1	98	0	35	0	0	0	0	0	15	0	0	1	7	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	102	0	1	1	0	1	0	0	0	0	0	0	4	153	2	52	21	0	0
23797	41230	"Caburn"	50.85722	0.05056	490	"AWI"	490	4663	5167	4931	0	1066	0	0	28	1	1	0	10	0	0	0	0	1	0	0	0	0	117	0	33	0	0	0	0	0	15	0	0	0	38	0	0	0	0	0	0	0	0	0	0	2	0	0	16	0	0	136	0	1	0	0	1	0	1	0	0	0	0	1	110	1	26	14	1	0
23797	41230	"Caburn"	50.85722	0.05056	495	"AWI"	495	4734	5224	4994	0	782	0	0	16	4	0	0	8	0	0	0	0	0	0	0	0	1	169	0	26	0	0	2	0	0	11	0	0	0	23	0	1	0	0	0	0	0	0	0	0	2	0	0	49	0	0	121	0	0	0	0	0	0	2	0	0	0	0	11	54	1	15	6	0	1
23797	41230	"Caburn"	50.85722	0.05056	500	"AWI"	500	4795	5278	5057	0	1340	1	0	6	0	0	0	2	0	0	0	0	1	0	0	0	0	216	0	18	0	0	0	0	0	7	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	149	0	1	3	0	1	0	6	0	0	0	0	5	56	0	16	6	0	0
23797	41230	"Caburn"	50.85722	0.05056	505	"AWI"	505	4868	5329	5119	2	912	2	1	8	4	1	0	8	0	1	0	0	0	0	0	0	1	178	0	15	0	0	2	0	0	9	0	2	0	27	2	0	0	0	0	0	1	0	3	0	2	0	0	14	0	0	173	0	0	2	0	3	0	3	0	0	0	0	5	69	0	11	1	0	0
23797	41230	"Caburn"	50.85722	0.05056	510	"AWI"	510	4944	5383	5183	0	1550	0	0	8	2	1	0	4	0	0	0	0	0	0	0	0	0	198	0	15	0	0	1	0	0	19	0	0	0	19	0	0	0	0	0	0	1	0	3	0	1	0	0	24	0	0	134	0	0	1	0	0	0	3	0	0	0	0	0	71	1	13	7	0	0
23797	41230	"Caburn"	50.85722	0.05056	515	"AWI"	515	5023	5434	5245	0	2034	0	0	6	7	0	0	8	0	0	0	0	1	0	0	0	0	226	0	22	0	0	2	0	0	9	0	0	0	14	0	0	0	0	0	0	0	0	1	0	2	0	0	20	0	0	128	0	0	2	0	2	0	2	0	0	0	0	1	44	0	7	7	0	1
23797	41230	"Caburn"	50.85722	0.05056	520	"AWI"	520	5111	5487	5304	0	1786	1	0	9	8	2	0	6	0	1	0	0	3	0	0	0	0	296	0	17	0	0	2	0	0	7	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	14	0	0	84	0	2	1	0	0	0	1	0	0	0	0	3	37	1	8	9	0	2
23797	41230	"Caburn"	50.85722	0.05056	525	"AWI"	525	5220	5533	5361	4	2080	1	1	4	9	2	0	4	0	1	0	0	2	0	0	0	0	233	0	8	0	0	4	0	0	10	0	0	0	14	0	0	0	0	0	0	0	0	1	0	1	0	0	41	0	0	142	0	0	4	0	0	0	5	0	0	0	0	1	15	0	4	3	0	0
23797	41230	"Caburn"	50.85722	0.05056	530	"AWI"	530	5302	5588	5419	1	858	3	0	11	1	22	0	5	0	1	0	0	1	0	0	0	1	168	0	12	0	0	1	0	0	4	0	0	1	15	0	2	0	0	0	0	0	0	0	0	5	0	0	69	0	0	152	1	0	4	0	2	0	8	0	0	0	0	0	10	1	15	1	0	1
23797	41230	"Caburn"	50.85722	0.05056	535	"AWI"	535	5340	5659	5479	2	1280	1	0	13	0	9	0	13	0	0	0	1	0	0	0	0	2	202	0	11	0	0	2	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	50	0	0	151	2	0	4	0	2	0	9	0	0	0	2	0	2	1	13	1	2	1
