"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3387	4391	"Rugozero"	64.08333	32.63333	25	"AWI"	25	30	1064	372	0	0	0	0	2	0	0	0	0	0	17	0	8	0	0	0	0	8	184	8	0	0	0	0	0	0	7	0	0	0	0	0
3387	4391	"Rugozero"	64.08333	32.63333	50	"AWI"	50	315	1700	864	0	27	0	0	3	0	0	0	0	0	14	0	5	0	0	0	0	11	171	13	1	1	0	0	0	1	1	1	0	0	0	0
3387	4391	"Rugozero"	64.08333	32.63333	75	"AWI"	75	629	2282	1349	0	21	0	2	3	1	119	0	0	0	13	0	0	0	0	0	0	21	202	8	0	0	0	1	0	0	0	0	0	1	0	0
3387	4391	"Rugozero"	64.08333	32.63333	100	"AWI"	100	978	2843	1827	2	7	0	0	1	1	127	0	0	1	13	0	0	0	0	0	0	26	192	4	0	0	1	0	0	0	0	3	1	0	0	1
3387	4391	"Rugozero"	64.08333	32.63333	125	"AWI"	125	1402	3350	2330	0	8	0	0	2	0	146	0	1	1	18	0	0	0	0	0	0	17	105	9	0	0	0	0	0	0	1	0	0	0	0	1
3387	4391	"Rugozero"	64.08333	32.63333	150	"AWI"	150	1811	3832	2828	0	21	0	0	6	1	129	0	0	1	16	0	0	0	0	0	1	60	235	0	0	0	2	0	0	0	0	0	0	0	0	2
3387	4391	"Rugozero"	64.08333	32.63333	175	"AWI"	175	2210	4311	3309	0	17	0	0	1	1	169	0	0	2	22	0	0	0	0	0	0	38	177	1	0	0	1	1	0	0	0	1	0	0	1	1
3387	4391	"Rugozero"	64.08333	32.63333	200	"AWI"	200	2641	4732	3796	2	18	0	0	2	0	140	1	0	3	15	0	2	0	1	0	0	25	141	1	0	0	2	1	0	0	0	1	0	0	0	0
3387	4391	"Rugozero"	64.08333	32.63333	225	"AWI"	225	3153	5129	4274	1	31	0	0	4	2	225	0	0	5	17	0	0	0	0	0	0	15	192	1	0	0	1	1	0	0	0	6	0	0	3	2
3387	4391	"Rugozero"	64.08333	32.63333	250	"AWI"	250	3699	5473	4745	3	17	0	0	0	0	225	0	0	1	13	0	0	1	0	0	0	28	155	1	0	0	0	1	0	0	0	2	1	0	1	5
3387	4391	"Rugozero"	64.08333	32.63333	275	"AWI"	275	4265	5814	5228	1	25	0	0	4	0	224	0	0	4	12	0	0	0	0	0	0	33	200	7	0	0	1	0	0	0	0	1	0	0	1	7
3387	4391	"Rugozero"	64.08333	32.63333	300	"AWI"	300	4849	6098	5714	0	20	0	1	2	0	205	0	0	1	19	0	0	0	0	0	1	13	98	8	0	0	3	2	0	0	0	0	1	0	0	2
3387	4391	"Rugozero"	64.08333	32.63333	325	"AWI"	325	5408	6364	6097	0	31	0	0	1	0	237	0	0	3	14	1	0	0	0	0	0	12	104	11	0	0	0	0	0	0	0	1	0	0	1	5
3387	4391	"Rugozero"	64.08333	32.63333	350	"AWI"	350	5625	6699	6312	0	28	0	0	1	0	252	0	0	5	15	0	0	2	0	0	0	2	130	8	0	1	1	0	0	0	0	1	1	0	1	7
3387	4391	"Rugozero"	64.08333	32.63333	375	"AWI"	375	5865	7013	6522	1	36	0	0	2	0	225	0	0	3	15	0	0	1	0	0	0	4	252	11	0	0	1	0	0	0	0	2	0	0	1	6
3387	4391	"Rugozero"	64.08333	32.63333	400	"AWI"	400	6065	7264	6736	0	55	0	0	2	0	324	0	0	7	16	0	0	0	0	0	0	5	178	15	0	0	3	2	0	1	0	1	0	0	1	8
3387	4391	"Rugozero"	64.08333	32.63333	425	"AWI"	425	6257	7520	6955	1	46	0	1	4	0	353	1	0	13	10	0	0	2	0	0	0	2	195	18	0	0	0	1	0	0	0	1	0	0	1	10
3387	4391	"Rugozero"	64.08333	32.63333	450	"AWI"	450	6467	7755	7174	0	19	0	0	1	0	268	0	0	2	15	0	0	2	0	0	0	2	263	16	0	1	1	0	0	0	0	2	0	0	0	7
3387	4391	"Rugozero"	64.08333	32.63333	475	"AWI"	475	6675	7995	7398	1	23	0	0	3	0	257	0	0	4	7	0	0	0	0	0	0	2	169	19	0	1	1	1	0	0	0	5	0	0	1	4
3387	4391	"Rugozero"	64.08333	32.63333	500	"AWI"	500	6910	8222	7612	0	33	0	0	2	1	339	0	1	9	9	0	0	2	0	0	0	3	257	20	0	0	0	2	0	0	0	3	0	1	0	12
3387	4391	"Rugozero"	64.08333	32.63333	525	"AWI"	525	7117	8449	7830	1	9	0	1	2	0	201	0	0	6	18	0	0	1	0	0	0	2	240	8	0	0	1	2	0	0	0	2	0	0	0	5
3387	4391	"Rugozero"	64.08333	32.63333	550	"AWI"	550	7363	8659	8050	0	16	0	1	2	0	285	0	0	2	11	0	0	0	0	0	0	1	330	13	0	2	1	1	0	1	0	7	0	0	1	6
3387	4391	"Rugozero"	64.08333	32.63333	575	"AWI"	575	7577	8877	8260	0	8	0	0	4	1	261	0	0	2	10	0	0	1	0	0	0	1	144	10	0	0	0	2	0	0	0	2	0	1	0	4
3387	4391	"Rugozero"	64.08333	32.63333	600	"AWI"	600	7804	9083	8479	0	0	0	0	5	0	222	0	0	0	15	0	0	1	0	1	0	4	162	15	0	0	0	1	0	1	0	2	0	2	0	1
3387	4391	"Rugozero"	64.08333	32.63333	625	"AWI"	625	8023	9294	8701	0	0	0	0	6	0	220	0	0	1	9	0	0	2	0	0	0	3	132	16	0	1	0	1	0	0	0	3	0	0	0	1
