"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Juglans"	"Juniperus"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	350	"AWI"	350	-131	31	-50	0	3	0	1	1	0	45	0	0	0	0	39	167	98	0	0	0	0	0	0	0	0	0	4	3	0	0	116	0	0	0	0	0	0	3	12	0	2	1	0	0	0	0	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	354	"AWI"	354	-53	672	158	0	7	0	0	3	0	49	2	0	0	0	32	156	127	0	0	0	1	0	0	0	4	0	0	8	0	0	128	0	0	1	0	0	0	6	11	0	0	0	0	0	0	1	1
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	358	"AWI"	358	60	1045	418	0	3	0	1	0	0	78	0	0	0	0	20	133	0	0	0	0	0	0	0	0	0	1	0	5	0	0	124	0	0	6	1	0	0	2	10	0	1	0	2	0	0	2	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	362	"AWI"	362	219	1387	674	0	9	0	0	0	0	77	1	0	0	0	41	114	0	0	0	0	0	0	0	1	2	0	5	7	0	0	0	0	0	3	0	0	0	3	11	0	1	0	1	0	0	4	1
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	366	"AWI"	366	381	1654	948	0	3	0	1	1	0	97	1	0	0	0	38	112	0	0	0	0	3	0	0	0	1	0	0	4	0	0	0	0	0	4	0	0	0	1	11	0	1	0	1	0	0	3	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	370	"AWI"	370	534	1897	1208	0	5	0	0	1	0	80	2	0	0	0	42	110	0	0	0	0	1	0	0	1	8	0	5	3	0	0	0	0	0	6	0	0	0	1	16	0	2	1	0	0	0	3	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	374	"AWI"	374	784	2085	1482	0	8	0	2	2	0	78	1	0	0	0	28	80	135	0	0	0	1	0	0	0	1	0	8	8	0	0	0	0	0	3	0	0	0	4	31	0	4	0	1	0	0	1	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	378	"AWI"	378	1020	2273	1741	0	2	0	0	0	0	91	1	0	0	0	27	79	125	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	2	0	0	0	0	18	0	0	0	0	0	0	0	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	382	"AWI"	382	1305	2457	2011	0	5	0	2	0	0	97	1	0	0	0	31	93	121	0	0	0	1	1	0	0	3	0	0	8	0	0	0	0	0	4	0	0	0	2	14	0	4	0	0	0	0	3	1
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	386	"AWI"	386	1669	2623	2294	0	8	0	1	0	0	100	0	0	0	0	24	105	0	1	0	0	0	0	0	0	4	0	0	6	0	0	102	0	0	1	0	0	0	1	14	0	2	0	0	0	0	3	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	390	"AWI"	390	2357	2710	2514	0	4	0	4	0	0	117	1	0	0	0	37	65	119	0	0	0	1	0	0	0	4	0	3	6	0	0	0	1	0	3	0	0	0	0	18	0	4	0	1	0	0	0	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	394	"AWI"	394	2451	3457	2786	0	4	1	2	1	0	114	2	2	0	0	17	79	0	0	0	0	1	0	0	1	0	0	9	5	0	0	78	0	0	3	0	0	1	6	22	0	0	0	1	0	0	1	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	398	"AWI"	398	2612	3932	3096	1	0	0	0	1	0	103	2	0	0	0	24	80	119	0	0	0	0	1	0	0	3	0	8	7	0	0	0	0	0	2	0	21	0	3	22	0	0	0	1	0	0	2	0
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	402	"AWI"	402	2798	4396	3396	0	3	0	3	0	0	82	2	0	0	0	29	77	0	0	0	0	1	2	0	0	4	0	7	3	0	0	0	0	0	3	1	0	0	3	26	0	2	0	0	0	0	2	1
24790	43533	"Loch Buailaval Beag"	58.264906	-6.770474	404	"AWI"	404	2859	4579	3553	0	1	0	1	1	0	75	1	0	0	0	25	109	124	0	0	0	0	0	0	0	6	0	0	2	0	0	94	0	0	1	1	0	0	3	18	0	0	0	0	1	0	0	1
