"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lentibulariaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phrymaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
11577	47005	"Glendalough Valley"	53.00528	-6.356412	0	"AWI"	0	-130	34	-49	20	0	1	0	0	0	0	75	0	1	0	0	0	2	0	58	0	2	3	16	0	0	0	0	0	5	0	4	0	0	0	3	17	0	0	0	1	0	0	0	0	0	0	0	0	7	115	0	0	183	1	1	20	1	0	2	4	10	0	0	1	3	0	0	3	0	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	8	"AWI"	8	-91	164	4	12	1	0	0	0	0	0	25	0	0	0	0	0	0	0	39	0	0	1	57	0	0	0	0	0	1	0	1	0	1	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	0	145	0	0	20	2	0	0	0	2	0	0	1	2	0	0	3	5	1	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	16	"AWI"	16	-71	355	55	30	0	0	0	0	0	0	31	0	0	0	0	0	0	0	70	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	1	22	1	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	139	1	0	24	2	0	4	0	3	0	0	0	3	0	0	4	0	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	24	"AWI"	24	-57	538	104	34	0	0	0	2	0	0	47	0	1	0	0	0	0	0	74	0	0	0	18	0	0	0	0	0	0	0	4	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	89	0	0	44	1	0	3	0	9	0	0	1	4	0	0	4	2	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	32	"AWI"	32	-17	584	169	27	0	0	0	0	0	0	40	0	1	0	0	0	0	0	76	0	0	0	31	0	0	0	0	0	0	0	4	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	99	0	0	27	1	0	1	0	5	0	0	1	2	0	0	2	1	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	40	"AWI"	40	13	623	228	24	1	1	0	0	0	0	39	1	0	0	0	0	0	0	66	0	0	0	19	0	0	0	0	0	1	0	3	0	0	0	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	136	1	0	31	4	0	1	5	6	0	0	1	2	0	0	7	1	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	48	"AWI"	48	32	686	280	40	0	0	2	0	0	0	35	0	1	0	0	0	0	0	68	0	0	0	22	0	0	0	0	0	0	0	3	0	0	0	3	17	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	104	0	0	26	5	0	2	0	7	0	1	1	5	0	0	2	1	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	56	"AWI"	56	73	746	342	29	1	1	0	0	0	0	34	0	0	0	0	0	0	0	72	0	0	0	17	0	0	0	0	0	0	0	2	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	122	1	0	29	4	0	0	0	5	0	0	0	4	0	0	4	1	1	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	64	"AWI"	64	108	827	406	27	0	4	2	0	0	0	36	0	1	0	0	0	0	0	48	0	0	0	26	0	0	0	0	0	0	0	6	0	0	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	27	2	0	2	0	11	0	0	0	3	0	0	2	0	3	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	72	"AWI"	72	133	903	466	33	1	0	0	1	0	0	65	0	1	0	0	0	0	0	68	0	0	0	15	0	0	0	0	0	0	0	3	0	0	0	3	6	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	89	1	0	41	2	0	0	4	9	0	0	1	6	0	0	2	3	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	80	"AWI"	80	190	957	536	28	0	1	2	1	2	0	60	0	0	0	0	0	0	0	69	0	0	0	29	0	0	0	0	0	0	0	5	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	62	1	0	22	2	0	0	0	12	0	0	0	3	0	0	4	2	1	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	88	"AWI"	88	243	1008	607	46	0	0	0	0	0	0	32	0	0	0	0	0	0	0	76	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	105	1	0	31	0	0	0	0	6	0	0	1	4	0	0	4	0	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	104	"AWI"	104	334	1128	740	26	0	2	0	0	0	0	48	0	0	0	0	0	0	0	51	0	0	0	13	0	0	0	0	0	0	0	3	0	0	1	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	99	1	0	33	2	0	0	3	19	0	1	1	2	0	0	0	2	2	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	112	"AWI"	112	395	1164	796	45	0	0	1	0	0	0	67	0	0	0	0	0	0	0	82	0	1	0	4	0	0	0	0	0	0	0	5	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	42	0	0	0	0	59	0	1	0	5	0	0	1	0	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	120	"AWI"	120	445	1225	851	49	0	0	2	1	0	0	66	0	2	0	0	0	0	0	85	0	0	0	12	0	0	0	0	0	0	0	13	0	0	0	8	15	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	48	0	0	31	2	0	1	0	54	0	2	0	7	0	0	4	0	1	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	128	"AWI"	128	526	1267	911	38	0	1	1	0	0	0	61	0	0	0	0	0	0	0	69	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	51	0	0	51	1	0	1	0	82	0	0	0	9	1	0	9	0	0	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	136	"AWI"	136	600	1293	981	67	0	0	0	1	0	0	85	0	3	0	0	0	0	0	115	0	0	0	14	0	0	0	0	0	0	0	15	0	0	0	14	26	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	78	2	0	137	1	0	0	0	13	0	1	4	24	0	0	9	0	2	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	144	"AWI"	144	656	1338	1050	41	0	1	1	0	0	0	77	0	1	0	0	0	0	0	131	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	11	23	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	46	1	0	0	0	39	0	1	4	8	0	0	9	0	2	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	152	"AWI"	152	738	1377	1103	34	0	0	1	0	0	0	48	0	2	0	0	0	0	0	80	0	0	0	8	0	0	0	0	0	0	0	10	0	0	0	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	59	1	0	1	0	77	0	2	1	8	0	0	3	0	3	0
11577	47005	"Glendalough Valley"	53.00528	-6.356412	160	"AWI"	160	827	1408	1157	34	0	1	2	0	0	0	82	0	0	0	0	0	0	0	69	0	1	0	3	0	0	0	0	0	0	0	6	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	42	0	0	54	0	0	0	0	60	0	1	1	10	0	0	3	0	2	0
