"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26167	45636	"Litlvatnet"	68.526744	14.930456	728	"AWI"	728	2608	3399	3011	10	0	0	0	0	0	0	0	0	0	0	0	1.66666666666667	0	41.6666666666667	0	13.3333333333333	0	1.66666666666667	0	1.66666666666667	5	0	0	0	0	0	0	23.3333333333333	0	0	0	0	1.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	736	"AWI"	736	2797	3588	3206	11.1111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	38.0952380952381	0	7.93650793650794	0	0	0	0	11.1111111111111	0	0	0	0	0	0	26.984126984127	0	0	0	0	0	0	0	0	0	0	0	0	3.17460317460317	0	0	0	1.58730158730159
26167	45636	"Litlvatnet"	68.526744	14.930456	744	"AWI"	744	3032	3731	3406	8.97435897435897	1.28205128205128	0	1.28205128205128	0	0	0	0	0	0	0	0	0	1.28205128205128	44.8717948717949	0	6.41025641025641	0	1.28205128205128	0	0	7.69230769230769	0	0	1.28205128205128	0	0	0	24.3589743589744	0	0	0	0	0	0	1.28205128205128	0	0	0	0	0	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	752	"AWI"	752	3328	3853	3588	29.3103448275862	0	0	0	0	0	0	0	0	0	0	0	0	3.44827586206897	22.4137931034483	0	0	0	0	0	0	8.62068965517241	0	0	0	0	0	0	32.7586206896552	0	0	0	0	0	0	0	0	0	0	0	0	3.44827586206897	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	760	"AWI"	760	3529	4087	3782	44.8275862068966	0	0	0	0	0	0	0	0	0	0	3.44827586206897	0	0	20.6896551724138	0	0	0	0	0	0	10.3448275862069	0	0	0	0	0	0	17.2413793103448	0	0	0	0	0	0	0	0	0	3.44827586206897	0	0	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	768	"AWI"	768	3651	4404	3980	13.8888888888889	0	0	0	0	0	0	0	0	0	0	2.77777777777778	0	0	13.8888888888889	0	0	0	0	0	2.77777777777778	22.2222222222222	0	0	0	0	0	0	38.8888888888889	0	0	0	0	0	0	0	0	0	5.55555555555556	0	0	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	776	"AWI"	776	3807	4636	4183	11.1111111111111	2.77777777777778	0	0	0	0	0	0	0	0	0	0	0	0	22.2222222222222	0	13.8888888888889	0	0	0	0	2.77777777777778	2.77777777777778	0	0	0	0	0	38.8888888888889	0	0	0	0	0	0	0	0	0	0	0	0	5.55555555555556	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	784	"AWI"	784	3976	4839	4391	3.84615384615385	0	0	0	0	0	0	0	0	0	0	0	11.5384615384615	0	15.3846153846154	0	0	0	0	0	0	15.3846153846154	0	0	0	0	0	0	34.6153846153846	0	0	0	0	0	0	0	0	0	7.69230769230769	0	0	0	0	0	7.69230769230769	3.84615384615385
26167	45636	"Litlvatnet"	68.526744	14.930456	792	"AWI"	792	4154	5024	4596	2.35690235690236	0	0	0	0	89.5622895622896	0	0	0	0	0	0	0	0	2.02020202020202	0	0	0	0	0	0	0.673400673400673	0	0	0	0	0	0	4.37710437710438	0	0	0	0	0	0	0.673400673400673	0	0	0	0	0	0	0	0	0.336700336700337	0
26167	45636	"Litlvatnet"	68.526744	14.930456	800	"AWI"	800	4333	5217	4794	14.8148148148148	0	0	0	0	0	0	0	0	0	0	3.7037037037037	7.40740740740741	0	11.1111111111111	0	0	0	0	0	0	11.1111111111111	0	0	0	0	0	0	51.8518518518518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
