"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
23833	41308	"Windmill Rough"	50.97472	-3.63306	40	"AWI"	40	57	341	197	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	1	164	0	0	15	2	0	8	0	0	0	0	0	0	1	0	21	7	0	26	3	0	0	0	0	0	0	0	3	1	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	44	"AWI"	44	71	369	220	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	218	37	0	3	1	0	17	0	0	0	0	0	0	0	1	15	14	0	18	4	0	0	0	0	0	0	0	3	0	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	48	"AWI"	48	99	384	242	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	201	32	0	2	2	0	32	0	0	0	0	0	0	1	2	8	9	0	14	6	0	0	0	0	0	3	0	1	0	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	52	"AWI"	52	116	404	266	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	5	0	0	177	31	0	2	1	0	35	0	0	0	0	0	0	0	0	18	16	0	19	5	0	0	0	1	0	1	0	1	0	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	56	"AWI"	56	135	423	290	0	0	4	0	0	0	1	0	3	0	0	0	0	0	1	3	0	0	257	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	15	0	16	4	0	0	0	0	0	1	0	1	0	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	60	"AWI"	60	162	440	314	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	225	17	0	1	1	2	55	0	0	0	0	0	0	1	1	3	8	0	18	2	0	0	0	0	0	0	0	0	0	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	64	"AWI"	64	181	459	339	0	0	3	1	0	0	1	7	1	0	0	0	0	0	0	3	0	0	237	27	0	5	0	2	32	0	0	0	0	0	0	0	2	3	15	130	6	9	0	0	0	0	0	0	0	0	0	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	68	"AWI"	68	215	478	361	0	0	6	1	0	0	0	18	0	0	0	0	0	0	0	8	0	0	216	45	0	2	1	0	15	0	0	0	0	0	0	1	0	7	6	0	22	4	0	0	0	0	0	0	0	2	0	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	72	"AWI"	72	245	492	383	2	0	2	0	0	0	1	0	2	0	0	0	0	0	0	5	0	0	212	31	1	5	0	0	51	0	0	0	0	0	0	0	0	6	7	0	18	5	0	0	0	0	0	0	0	0	0	0
23833	41308	"Windmill Rough"	50.97472	-3.63306	76	"AWI"	76	267	513	406	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	10	0	0	157	22	0	1	0	1	23	0	0	0	0	0	0	0	2	3	15	176	33	11	0	1	0	0	0	1	0	1	0	0
