"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Zygophyllaceae"
3077	4011	"Dags Mosse"	58.32288	14.70652	2	"AWI"	2	-109	52	-28	0	0	1	0	11	0	120	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	167	449	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	25
3077	4011	"Dags Mosse"	58.32288	14.70652	5	"AWI"	5	-92	99	-5	0	2	1	0	2	0	178	1	0	2	0	1	0	0	8	18	0	0	0	1	3	0	0	1	0	0	5	0	0	0	130	389	0	76	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	21
3077	4011	"Dags Mosse"	58.32288	14.70652	10	"AWI"	10	-74	203	31	0	0	1	0	3	0	113	3	0	0	0	1	0	0	5	8	0	0	0	0	3	0	0	30	0	0	3	0	0	0	226	600	4	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	71
3077	4011	"Dags Mosse"	58.32288	14.70652	15	"AWI"	15	-41	252	76	1	0	0	0	1	0	146	0	0	0	0	0	1	0	16	2	0	0	0	0	18	0	0	29	0	0	1	0	0	0	172	490	10	0	0	0	35	0	0	0	0	0	0	0	0	0	1	0	0	60
3077	4011	"Dags Mosse"	58.32288	14.70652	20	"AWI"	20	-24	325	118	0	1	1	0	8	0	83	0	0	7	0	0	0	0	17	10	0	0	0	0	24	0	0	68	0	0	2	0	0	0	117	445	0	51	0	0	51	0	0	0	0	1	0	0	0	0	1	0	0	52
3077	4011	"Dags Mosse"	58.32288	14.70652	25	"AWI"	25	14	363	162	0	2	0	0	4	0	187	1	0	1	0	0	0	0	35	6	0	0	0	0	23	0	0	12	0	0	7	0	0	1	198	561	0	0	0	0	29	0	0	0	0	2	0	0	0	0	0	0	0	91
3077	4011	"Dags Mosse"	58.32288	14.70652	30	"AWI"	30	34	422	205	0	1	0	0	4	0	182	0	0	4	0	0	0	0	55	3	0	0	0	0	7	0	0	12	0	0	1	0	0	0	143	558	0	0	0	0	51	0	0	0	0	1	0	0	0	0	0	1	0	82
3077	4011	"Dags Mosse"	58.32288	14.70652	35	"AWI"	35	77	458	254	0	0	0	0	2	0	151	0	0	0	0	0	0	0	55	10	0	0	0	1	14	0	0	41	0	0	1	0	0	1	233	471	0	0	0	0	35	0	0	0	0	0	0	0	0	1	1	0	0	59
3077	4011	"Dags Mosse"	58.32288	14.70652	40	"AWI"	40	105	520	302	0	0	0	0	3	0	134	0	0	1	0	0	0	0	102	15	0	0	0	0	6	0	0	19	0	0	4	0	0	2	141	569	0	29	0	0	36	0	0	0	0	3	0	0	0	2	0	0	0	62
3077	4011	"Dags Mosse"	58.32288	14.70652	45	"AWI"	45	156	552	343	0	2	0	0	0	0	209	0	0	4	0	0	0	0	42	18	0	0	0	0	7	0	0	21	0	0	3	0	0	0	145	533	0	0	0	0	50	0	0	0	0	1	0	0	0	1	3	0	0	109
