"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	0	"AWI"	0	-93	73	-13	3	1	5	1	1	0	0	0	0	2	0	1	0	0	1	0	0	2	46	0	0	0	1	4	1	0	0	1	0	1	0	0	0	0	0	186	0	0	0	4	0	0	1	6	0	0	1	0	0	1	0	0	1	3	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	10	"AWI"	10	5	989	319	15	0	14	0	0	0	0	0	0	5	1	0	0	0	1	0	0	8	77	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	0	244	0	0	0	0	0	0	4	9	0	1	5	0	0	0	0	0	1	3	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	20	"AWI"	20	187	1498	729	40	1	41	0	0	0	0	0	0	7	0	0	0	0	0	0	0	11	5	1	0	0	0	17	0	0	0	1	0	0	0	0	0	0	1	234	0	0	0	0	0	0	5	0	0	0	2	0	0	0	1	0	1	1	0	1
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	40	"AWI"	40	663	2262	1567	75	1	60	1	0	0	0	4	0	7	0	0	0	0	3	0	0	20	23	0	0	5	0	14	0	0	0	0	0	0	0	0	0	0	0	361	0	0	20	0	0	0	8	39	0	0	1	0	0	0	0	0	0	0	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	60	"AWI"	60	1883	2629	2262	157	1	97	1	0	0	0	2	0	8	0	0	0	0	0	0	0	19	51	0	0	2	0	26	0	0	0	0	0	0	1	0	0	0	0	248	0	0	0	0	0	0	13	0	0	0	1	0	0	0	1	0	0	0	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	70	"AWI"	70	2171	2937	2556	69	1	63	1	0	0	0	1	0	9	0	0	0	0	0	0	0	12	60	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	3	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	80	"AWI"	80	2303	3258	2774	116	1	103	0	0	0	0	1	0	9	0	0	0	0	0	0	0	11	97	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	162	30	0	0	0	1	0	16	3	0	1	1	0	0	0	0	0	2	2	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	90	"AWI"	90	2532	3419	3009	11	1	43	3	0	4	0	2	0	3	0	2	0	0	0	0	0	5	370	0	0	2	0	4	1	0	0	1	0	0	0	0	1	0	0	243	0	0	112	0	0	0	5	0	83	0	1	0	0	0	0	0	2	0	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	100	"AWI"	100	2849	3610	3228	149	3	83	0	0	0	0	1	0	17	0	1	0	0	0	0	0	20	92	0	0	0	0	16	1	0	0	0	0	0	1	0	0	0	0	257	34	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	3	2	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	110	"AWI"	110	3152	3798	3459	98	4	70	2	0	0	0	5	0	10	0	0	0	0	0	0	0	29	72	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	1	0	15	0	0	0	2	0	0	0	1	0	3	1	0	1
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	120	"AWI"	120	3336	4141	3699	136	1	28	0	0	0	0	2	0	6	1	0	0	0	0	0	0	14	131	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	298	31	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	2	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	130	"AWI"	130	3538	4427	3968	193	5	37	1	0	0	0	2	0	9	0	0	0	0	0	0	0	44	130	0	0	0	0	23	3	0	0	0	0	0	1	0	0	0	0	462	63	0	0	0	0	0	23	9	0	3	3	0	0	0	0	0	4	1	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	140	"AWI"	140	3768	4694	4233	170	5	0	0	0	0	1	4	0	18	0	0	1	0	1	0	0	31	111	0	0	0	0	9	2	1	0	0	0	1	1	0	0	0	0	253	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	8	0	0	0
14569	22842	"Pillon Gsteig-Diablerets"	46.35972	7.19861	150	"AWI"	150	4045	4928	4491	138	6	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	22	50	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	249	30	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	13	0	0	0
