"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	3	"AWI"	3	93	1549	818	45	0	14	3	0	0	1	0	0	0	0	0	0	0	0	0	5	0	2	0	6	0	120	0	1	0	0	7	1	1	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	1	112	0	0	0	0	17	1	0	0	0	2	4	1	0	0	2	1	0	4	0	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	7	"AWI"	7	310	3697	2004	88	1	0	4	0	0	6	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	127	0	2	0	0	7	1	0	0	0	0	0	1	0	2	1	6	0	0	4	0	0	0	2	173	0	0	0	0	13	3	0	0	0	3	4	1	0	0	0	0	1	3	0	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	11	"AWI"	11	1010	5364	3179	49	0	0	2	0	0	2	0	0	0	0	10	0	0	0	0	3	0	1	0	11	0	83	0	2	0	0	6	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	6	4	0	0	0	0	0	9	0	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	13	"AWI"	13	2077	5472	3764	30	0	10	1	0	0	2	0	0	0	1	15	0	0	0	0	1	0	2	0	5	0	95	0	2	0	0	4	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	15	"AWI"	15	3141	5583	4350	51	1	21	6	0	0	9	0	0	0	0	3	2	0	0	0	4	1	1	0	11	0	272	0	1	0	0	6	0	1	0	0	0	1	0	0	3	0	0	0	0	9	0	0	0	3	0	0	0	0	0	19	3	0	0	0	1	6	4	0	0	0	3	3	3	0	0	0	1
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	19	"AWI"	19	5247	5812	5518	84	0	21	1	9	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	118	0	3	0	0	6	2	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	27	2	0	0	0	0	2	6	0	0	0	0	2	2	2	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	21	"AWI"	21	5961	6204	6092	89	0	15	6	0	0	2	0	0	0	4	5	0	0	0	0	1	0	1	0	21	0	13	0	3	0	0	6	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	1	2	12	5	0	0	5	6	0	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	23	"AWI"	23	6530	6753	6648	88	1	18	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	18	0	15	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	4	0	0	0	0	3	2	1	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	27	"AWI"	27	7613	7890	7763	104	2	0	4	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	36	0	91	0	2	0	0	8	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	23	1	0	0	0	3	1	4	0	0	0	0	2	4	0	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	29	"AWI"	29	8138	8473	8320	126	0	0	7	0	0	4	0	0	0	3	1	0	0	0	0	0	0	0	0	7	0	6	0	3	0	0	9	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	9	0	0	0	0	7	0	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	31	"AWI"	31	8421	8776	8613	251	0	19	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	20	0	0	0	0	4	0	0	0	0	3	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	22	3	0	0	0	0	3	4	0	0	0	0	5	1	1	0	0	1
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	33	"AWI"	33	8452	8801	8645	111	0	0	4	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	12	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0
14480	22672	"Torbiera del Biecai"	44.18583	7.71688	35	"AWI"	35	8472	8834	8676	64	4	19	4	0	0	11	0	0	0	1	3	0	0	0	0	0	0	2	0	23	0	30	0	0	0	0	8	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	40	1	0	0	0	0	4	9	0	0	0	0	5	3	1	0	0	2
