"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	172	"AWI"	172	1052	1855	1567	0	122	32	0	0	0	0	0	0	59	0	1	1	0	64	43	0	0	0	1	3	5	0	0	0	0	0	10	0	1	2	8	0	0	65	0	0	56	0	2	0	2	0	19	0	0	1	0	3	7	0	0
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	176	"AWI"	176	1386	1901	1673	0	108	23	0	1	0	0	0	0	57	0	0	0	0	68	34	0	0	0	1	2	4	0	0	0	0	0	12	0	0	1	4	0	0	76	0	0	64	0	5	0	5	0	19	0	0	2	0	3	7	0	0
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	178	"AWI"	178	1526	1937	1724	1	68	13	0	4	1	1	0	0	55	0	0	0	0	59	48	0	0	0	2	1	2	0	0	0	0	0	4	0	0	0	1	0	0	172	1	0	40	4	0	0	7	0	9	0	1	0	0	1	3	0	0
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	180	"AWI"	180	1614	1986	1782	0	37	7	0	2	1	0	0	0	26	0	0	0	0	28	200	0	0	0	2	0	2	0	0	0	3	1	14	0	0	1	5	0	0	114	0	0	26	1	0	0	13	0	10	0	1	0	0	1	1	0	0
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	182	"AWI"	182	1658	2072	1843	0	16	0	0	5	0	0	0	0	30	0	0	0	0	11	48	0	0	0	3	0	1	0	0	0	0	0	89	0	0	1	0	0	0	226	0	0	18	0	0	0	13	0	14	0	54	0	0	0	1	0	0
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	184	"AWI"	184	1745	2199	1954	0	8	2	0	2	0	0	0	0	44	0	0	0	0	14	47	0	0	0	1	1	1	0	0	0	1	0	216	0	0	0	0	0	0	126	0	0	18	1	0	0	15	0	15	0	1	0	0	0	0	0	1
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	188	"AWI"	188	1827	2605	2166	0	16	3	0	0	0	0	0	0	96	0	0	0	0	23	48	0	0	0	3	0	0	0	0	0	0	0	267	0	0	0	0	0	0	43	0	0	21	0	0	0	1	0	10	0	0	0	0	0	0	0	0
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	192	"AWI"	192	1878	3070	2373	0	16	1	0	0	0	0	0	0	181	0	0	0	0	28	2	0	0	0	1	0	3	0	0	0	0	0	190	0	0	0	2	0	0	11	0	0	16	0	0	0	1	0	70	0	0	0	0	1	3	1	0
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	196	"AWI"	196	2092	3179	2595	0	37	2	0	0	0	0	0	0	91	0	0	0	0	61	1	0	0	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0	16	0	0	25	0	0	0	0	0	211	0	0	0	0	0	3	0	0
23870	41382	"Hope farm Walland marsh"	51.01778	0.83556	200	"AWI"	200	2217	3319	2837	0	15	1	0	1	0	1	0	0	73	0	0	0	0	42	6	0	0	0	2	0	3	0	0	0	0	0	28	0	0	0	1	0	0	22	0	0	10	0	0	0	1	0	280	0	0	0	0	4	0	0	0
