"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Salix"	"Saxifragaceae"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Violaceae"
3379	4380	"Ribnoe"	43.63846	41.14052	2	"AWI"	2	-121	43	-37	7	1	32	5	44	1	0	5	9	1	0	6	2	0	5	22	0	0	1	6	1	1	4	0	0	5	48	2	0	52	0	0	1	27	2	0	1	0	1	0	0
3379	4380	"Ribnoe"	43.63846	41.14052	7	"AWI"	7	-96	134	4	5	0	40	3	8	13	0	3	2	0	0	6	2	0	4	108	0	0	4	2	0	0	3	3	0	2	125	0	0	12	0	1	1	3	2	0	3	0	2	1	0
3379	4380	"Ribnoe"	43.63846	41.14052	12	"AWI"	12	-67	211	45	2	1	31	4	10	3	0	8	11	3	0	12	1	0	3	28	0	1	0	6	3	0	4	2	0	2	62	2	2	47	0	0	3	1	3	1	4	0	0	3	0
3379	4380	"Ribnoe"	43.63846	41.14052	21	"AWI"	21	-17	310	128	16	0	28	11	12	8	0	8	7	4	0	9	1	0	5	33	0	0	0	8	1	0	2	1	0	6	139	2	3	0	0	0	2	11	5	0	6	0	3	0	0
3379	4380	"Ribnoe"	43.63846	41.14052	29	"AWI"	29	38	379	203	9	1	15	2	43	8	0	10	7	10	7	22	2	0	5	9	0	2	10	6	4	0	9	0	0	3	86	0	3	25	53	0	2	14	3	0	6	0	0	1	0
3379	4380	"Ribnoe"	43.63846	41.14052	37	"AWI"	37	107	429	275	14	1	36	4	16	10	0	24	3	1	0	6	0	0	7	20	0	1	1	21	3	0	1	0	0	10	147	1	3	0	0	0	0	4	8	0	2	0	0	2	0
3379	4380	"Ribnoe"	43.63846	41.14052	45	"AWI"	45	197	483	346	2	0	43	2	7	19	0	24	4	1	0	9	2	0	3	168	0	0	2	12	3	0	2	1	9	3	101	2	0	0	0	2	6	6	3	0	1	1	0	1	0
3379	4380	"Ribnoe"	43.63846	41.14052	52	"AWI"	52	284	539	419	15	0	16	4	14	8	0	6	3	1	0	1	4	3	2	146	0	0	2	31	0	0	3	0	0	9	116	2	0	22	0	1	3	6	0	0	5	0	0	2	1
3379	4380	"Ribnoe"	43.63846	41.14052	56	"AWI"	56	328	607	471	9	0	14	2	4	10	0	15	2	2	0	8	2	2	5	145	0	0	1	41	0	2	1	0	0	14	128	0	0	0	0	0	6	3	2	1	1	0	0	2	1
3379	4380	"Ribnoe"	43.63846	41.14052	60	"AWI"	60	349	717	513	4	0	28	5	17	8	0	15	9	1	0	3	1	0	7	34	0	0	0	20	0	0	6	0	0	4	137	1	0	0	0	0	3	5	2	0	3	0	1	2	0
