"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16143	24950	"Lac Cerin"	45.77722	5.56194	60	"AWI"	60	54	848	356	3	1	11	2	1	0	1	0	8	2	0	9	0	0	5	0	0	53	76	0	0	2	27	1	7	0	0	22	3	0	6	1	0	0	0	0	9	0	7	39	15	24	0	0	0	0	98	6	0	3	5	2	1	0	0	0	1	0	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	65	"AWI"	65	89	873	393	2	0	5	5	2	0	2	0	9	0	0	5	0	0	1	0	0	60	54	0	0	3	41	0	4	0	0	26	4	0	4	0	0	0	0	0	28	0	7	42	0	8	0	0	0	0	112	2	0	0	2	5	0	1	1	0	1	1	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	70	"AWI"	70	118	898	432	4	1	9	2	1	0	1	0	10	4	0	5	0	0	2	0	0	56	90	0	0	2	34	1	5	0	0	31	6	0	2	0	0	0	0	0	34	0	0	50	0	16	0	0	1	0	157	3	0	1	2	3	0	0	0	1	0	0	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	75	"AWI"	75	140	930	471	3	1	17	0	2	0	4	0	12	1	0	1	0	0	1	1	0	67	66	0	0	2	35	0	6	0	0	18	6	0	2	0	0	0	0	0	46	0	3	42	0	12	1	0	2	1	111	5	0	0	2	6	2	1	0	0	0	0	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	80	"AWI"	80	157	972	505	2	4	16	3	2	0	5	0	11	0	1	1	0	0	3	1	0	87	83	0	0	0	39	0	6	0	0	27	6	0	2	0	0	2	0	0	16	0	7	18	18	11	0	0	2	0	100	3	0	4	2	7	1	0	0	0	0	3	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	85	"AWI"	85	171	1018	540	1	0	13	2	0	0	3	0	3	3	0	7	0	0	4	0	0	63	77	0	1	2	24	1	2	1	1	15	4	0	4	0	0	0	1	0	16	1	5	18	18	11	0	0	1	1	81	0	0	0	5	1	0	0	0	0	1	0	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	90	"AWI"	90	188	1072	576	7	1	14	3	3	0	5	0	5	0	0	2	0	0	3	1	0	58	101	0	0	1	28	0	1	0	0	20	0	1	3	0	0	0	0	0	11	0	4	13	29	16	0	1	0	4	117	2	0	0	7	5	1	0	0	0	1	0	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	95	"AWI"	95	227	1097	611	3	0	9	3	1	0	0	0	6	1	0	2	0	0	1	1	1	43	56	0	0	0	26	0	0	0	0	17	3	0	3	0	0	0	0	0	9	1	2	13	19	21	0	0	0	8	104	2	0	2	4	4	0	0	0	0	2	0	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	100	"AWI"	100	257	1131	648	5	0	11	1	1	0	1	0	5	0	1	4	0	0	1	0	0	60	101	0	0	3	32	0	1	0	0	12	2	0	2	0	0	0	0	0	8	0	2	14	14	9	0	1	0	4	88	0	9	1	8	2	0	1	0	0	0	0	0	0	0
16143	24950	"Lac Cerin"	45.77722	5.56194	110	"AWI"	110	311	1199	726	15	0	18	2	3	0	3	0	10	5	0	9	0	0	0	0	0	94	67	0	0	1	35	0	2	0	0	8	1	1	2	0	0	0	0	0	14	0	5	5	13	8	0	2	0	0	115	4	0	0	7	1	0	0	0	1	3	2	0	0	0
