"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	35	"AWI"	35	80	1082	500	0	0	11	27	0	0	82	0	12	0	3	0	0	0	1	0	0	20	3	0	2	4	12	11	0	1	0	4	0	0	0	2	0	0	64	0	0	12	0	0	0	37	2	0	0	7	5	1	0	0	0	3	8	0	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	45	"AWI"	45	140	1227	673	0	0	10	13	0	0	49	0	4	0	3	0	0	0	1	1	1	19	4	0	0	0	15	8	0	1	0	5	0	0	0	3	0	0	36	0	0	5	0	0	0	66	0	1	0	10	3	0	0	0	0	1	7	2	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	55	"AWI"	55	311	1356	837	0	1	5	21	0	0	51	0	0	0	2	0	0	0	1	0	0	12	3	1	0	5	12	2	0	0	0	4	0	3	0	0	0	0	40	0	0	16	0	0	0	46	6	0	0	12	3	1	0	0	0	1	3	1	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	65	"AWI"	65	454	1446	1024	0	2	0	41	0	0	69	0	5	0	1	0	0	0	1	0	0	15	7	0	0	0	10	1	0	1	0	4	0	0	0	2	1	0	21	0	0	2	0	0	0	50	4	0	0	0	1	0	0	0	0	1	5	1	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	85	"AWI"	85	996	1643	1326	0	0	5	9	0	0	40	0	2	0	2	0	0	0	0	0	0	15	0	0	0	0	7	1	0	1	0	0	0	0	1	0	0	0	15	0	0	5	0	0	0	42	0	0	0	0	0	0	0	0	2	3	14	0	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	105	"AWI"	105	1399	1929	1647	0	0	8	47	0	0	29	0	2	0	0	0	0	0	2	0	0	7	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	11	0	2	8	0	0	0	30	0	1	0	0	0	0	0	0	2	0	6	1	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	125	"AWI"	125	1593	2436	1977	0	1	11	16	0	0	20	0	1	0	3	2	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	2	0	0	2	0	1	0	0	0	0	10	0	0	0	47	0	2	0	1	0	0	0	0	0	0	7	0	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	145	"AWI"	145	1948	2644	2331	0	0	30	76	0	0	66	0	5	3	4	0	0	0	0	0	0	18	2	0	0	0	15	2	0	1	0	6	0	1	0	1	0	1	48	0	1	11	0	0	0	69	0	1	0	5	0	0	0	0	1	7	10	0	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	165	"AWI"	165	2253	2920	2622	0	0	12	26	0	0	30	0	3	0	2	0	0	0	0	0	0	17	0	0	0	0	16	2	0	0	0	0	0	0	0	0	0	1	24	0	1	8	0	0	0	43	0	0	0	4	0	0	0	0	2	5	13	0	0
3405	4413	"Lake Shabla-Ezeretz"	43.57045	28.566292	185	"AWI"	185	2483	3177	2866	1	2	23	37	0	0	55	0	13	0	3	0	0	0	0	0	0	12	1	0	0	0	22	5	0	1	0	5	0	1	0	1	0	0	0	0	2	7	0	0	0	60	0	1	0	6	0	0	0	0	0	7	4	1	0
