"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	430	"AWI"	430	8461	9903	9269	10	12	0	0	1	1	0	84	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	41	0	0	228	0	11	0	21	0	0	0	0	1	0	1	0	11
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	440	"AWI"	440	9042	10141	9675	2	15	0	0	1	0	0	99	0	0	0	0	0	17	0	2	0	0	0	0	0	0	0	2	36	0	0	119	0	4	1	9	0	0	0	0	0	0	1	0	9
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	445	"AWI"	445	9583	10342	9975	1	47	0	0	2	2	0	113	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	1	52	0	0	332	0	8	0	16	0	0	0	1	2	0	0	13	19
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	450	"AWI"	450	9780	10792	10254	0	15	0	1	0	4	0	47	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	4	27	0	0	195	0	10	0	15	0	0	0	1	0	0	0	0	9
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	455	"AWI"	455	10384	11081	10707	0	8	0	0	0	3	0	145	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	1	21	1	0	493	0	11	0	1	0	0	0	2	3	0	0	0	3
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	460	"AWI"	460	10656	11704	11184	0	1	1	1	1	15	0	125	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	8	0	0	476	0	24	0	1	0	0	0	3	3	0	1	0	1
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	465	"AWI"	465	10900	12033	11475	0	0	5	0	0	24	0	35	0	0	0	0	0	0	0	25	4	0	0	0	0	0	0	32	2	0	0	602	0	48	0	0	0	0	0	1	0	1	3	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	470	"AWI"	470	11018	12684	11723	0	0	4	0	4	31	0	19	0	0	0	0	0	0	4	30	4	0	0	0	0	0	0	32	1	0	0	251	0	43	0	1	0	0	0	2	2	2	1	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	475	"AWI"	475	11251	12914	11976	0	0	6	0	1	49	0	30	0	0	0	1	0	0	0	22	2	0	0	0	0	0	0	16	1	0	0	610	0	84	0	2	0	0	1	1	2	0	0	0	0
15749	24193	"Mittlere Hellelen"	46.28306	7.84417	480	"AWI"	480	11363	13272	12212	0	0	5	0	1	28	0	11	0	1	0	0	0	0	0	12	0	0	0	1	0	0	0	14	0	0	0	223	0	43	0	1	0	0	1	0	6	2	1	0	0
