"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
24050	41842	"Lengi Egga"	46.39429	7.97395	2	"AWI"	2	-93	97	-1	1	1	76	2	0	0	23	0	8	0	1	0	0	0	6	13	2	14	0	145	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	113	126	0	0	0	0	2	0	0	0	0	1	8	15	1	2	0	0	1	2	0	3	2
24050	41842	"Lengi Egga"	46.39429	7.97395	5	"AWI"	5	-60	280	69	0	0	17	3	0	0	22	0	2	0	1	2	3	0	1	8	1	5	0	129	0	0	3	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	0	0	96	136	0	0	0	0	1	0	0	0	0	2	0	3	1	0	0	0	0	1	0	2	0
24050	41842	"Lengi Egga"	46.39429	7.97395	7	"AWI"	7	-7	310	126	5	0	40	2	0	0	18	0	5	0	1	0	5	0	8	7	0	7	0	103	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	3	0	0	0	77	156	0	0	0	0	1	0	0	0	0	1	0	9	1	0	0	0	1	0	0	4	0
24050	41842	"Lengi Egga"	46.39429	7.97395	10	"AWI"	10	37	399	213	2	0	65	2	8	0	16	0	1	1	0	0	0	0	4	5	0	11	0	90	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	2	0	0	0	96	173	0	163	0	0	2	0	0	0	0	2	0	16	1	2	0	0	2	0	1	2	0
24050	41842	"Lengi Egga"	46.39429	7.97395	13	"AWI"	13	155	435	302	13	0	57	0	11	0	28	0	1	0	2	0	0	0	5	1	1	4	0	86	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	104	227	0	0	0	0	2	0	0	0	0	0	0	12	1	0	1	0	2	1	0	0	0
24050	41842	"Lengi Egga"	46.39429	7.97395	15	"AWI"	15	204	474	365	10	0	115	4	0	0	39	0	1	0	0	7	0	0	6	1	0	12	0	197	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	140	259	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	1
24050	41842	"Lengi Egga"	46.39429	7.97395	17.5	"AWI"	17.5	376	782.5	550	8	0	115	0	6	0	34	0	4	0	0	0	6	0	2	0	1	11	0	167	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	85	174	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	2	1	1	4	0
24050	41842	"Lengi Egga"	46.39429	7.97395	20	"AWI"	20	430	1312	714	21	0	58	1	0	0	23	0	1	0	1	0	0	0	0	0	0	1	0	98	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	100	177	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0
24050	41842	"Lengi Egga"	46.39429	7.97395	25	"AWI"	25	710	2735	1344	10	0	90	0	7	0	32	0	4	0	0	0	0	0	1	1	3	8	0	222	0	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	144	247	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
24050	41842	"Lengi Egga"	46.39429	7.97395	30	"AWI"	30	1006	3006	1917	19	0	92	0	0	0	37	0	3	0	0	3	0	0	3	0	1	11	0	249	0	0	2	0	22	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	113	304	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	3	0	1	0
