"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Ulmus"
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	2	"AWI"	2	-70	106	9	0	1	0	0	0	0	0	126	2	0	1	0	1	1	0	38	0	0	1	2	0	0	6	3	7	2	14	22	0	0	0	0	13	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	6	"AWI"	6	-47	191	46	0	0	1	0	0	0	0	135	0	0	0	0	1	1	0	61	0	0	0	0	0	0	8	1	6	1	9	13	0	0	0	1	5	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	10	"AWI"	10	-35	301	81	0	0	0	0	0	0	0	118	3	0	0	0	3	3	0	56	1	1	7	0	0	0	7	3	5	2	13	13	0	0	0	1	11	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	42	"AWI"	42	190	719	433	0	0	1	0	0	3	0	133	0	0	2	0	2	17	0	27	0	0	6	0	0	0	9	1	1	2	5	20	0	0	0	1	9	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	46	"AWI"	46	224	759	478	0	1	1	1	0	1	0	124	0	0	0	0	1	34	0	44	0	2	5	0	0	0	5	0	1	0	10	26	0	0	0	1	18	1
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	50	"AWI"	50	252	821	523	0	0	3	0	0	0	6	40	0	0	3	0	3	52	0	85	0	0	7	3	0	0	13	0	8	4	21	73	1	1	0	0	40	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	54	"AWI"	54	300	850	568	0	0	4	0	0	0	0	39	0	0	0	1	6	28	0	55	0	1	2	2	0	0	28	0	0	4	13	71	1	0	0	0	37	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	58	"AWI"	58	336	890	614	0	0	3	0	0	0	0	24	0	0	0	0	6	21	0	72	0	2	2	1	0	0	28	0	3	0	12	74	1	0	0	0	45	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	62	"AWI"	62	381	929	656	0	0	2	0	0	0	0	24	0	1	0	0	9	7	0	46	2	1	6	0	0	1	32	0	4	0	22	71	1	0	0	0	68	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	66	"AWI"	66	424	962	700	0	1	1	0	0	0	0	11	0	0	3	0	4	14	0	42	0	1	2	0	0	0	28	0	1	0	16	46	0	3	0	1	50	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	70	"AWI"	70	454	1011	743	0	0	3	0	0	0	0	19	1	0	0	0	5	14	0	36	0	1	3	0	0	0	15	0	2	1	14	40	0	0	0	0	60	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	74	"AWI"	74	509	1036	786	0	0	2	1	0	0	0	5	0	0	2	0	6	17	0	39	0	0	4	0	0	0	19	0	4	1	15	79	1	2	0	1	36	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	78	"AWI"	78	547	1071	831	0	0	4	0	0	0	0	9	0	0	0	1	6	6	0	46	0	0	5	0	0	0	14	1	1	3	15	71	1	1	0	0	46	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	82	"AWI"	82	597	1106	875	0	0	0	0	0	1	0	16	2	0	0	0	4	10	0	67	0	1	5	0	0	0	22	0	0	1	10	26	2	3	0	1	41	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	86	"AWI"	86	653	1132	918	0	0	0	0	0	1	0	7	0	0	2	0	5	12	0	92	0	0	2	0	0	0	20	0	0	2	10	20	1	1	0	2	55	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	90	"AWI"	90	699	1170	960	0	0	5	0	0	0	0	5	0	0	0	0	9	10	0	99	0	1	0	0	0	0	17	0	2	1	13	31	0	0	0	0	87	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	94	"AWI"	94	768	1190	1001	0	1	8	1	0	1	0	4	2	0	2	0	3	9	0	77	0	2	1	0	0	0	21	0	0	1	12	46	1	2	0	0	50	1
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	98	"AWI"	98	809	1220	1044	0	1	7	0	0	0	0	9	0	0	0	0	7	6	0	56	0	1	0	0	0	2	39	0	4	0	9	41	2	0	1	2	32	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	102	"AWI"	102	863	1252	1082	0	2	14	0	0	1	0	5	0	0	0	0	5	3	0	79	0	15	1	0	0	0	45	0	2	0	19	31	2	1	0	1	11	2
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	106	"AWI"	106	932	1275	1120	0	0	16	0	0	1	0	1	0	0	0	0	11	7	0	97	0	2	1	0	0	0	39	0	0	0	12	28	0	0	0	0	28	1
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	110	"AWI"	110	973	1311	1161	0	0	23	0	0	0	0	4	0	0	2	0	10	2	0	93	1	1	2	0	0	0	37	0	2	0	4	39	0	0	1	0	20	3
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	114	"AWI"	114	1007	1331	1191	0	5	7	0	1	0	0	2	1	0	0	0	11	1	0	115	0	0	0	0	0	0	43	0	1	0	0	38	2	0	0	0	2	1
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	118	"AWI"	118	1030	1362	1223	1	0	17	0	0	0	0	4	0	0	0	0	8	1	0	68	0	11	5	0	0	0	71	0	2	2	0	26	0	0	0	1	2	1
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	122	"AWI"	122	1063	1393	1251	0	0	3	0	0	0	0	1	0	0	0	0	4	3	0	42	0	49	1	0	0	0	34	0	0	1	0	19	0	0	0	0	1	0
13449	20171	"Rodenbourg Bretzboesh"	49.69167	6.27	126	"AWI"	126	1099	1421	1278	0	1	7	0	0	0	0	3	0	0	1	0	10	1	0	69	1	17	2	1	0	0	90	0	2	1	10	22	0	0	0	0	1	2
