"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	0	"AWI"	0	-105	51	-29	4	0	16	5	0	4	0	51	1	0	0	1	0	0	1	0	0	26	308	0	0	0	13	1	1	0	0	2	0	0	2	0	2	0	0	0	0	2	3	0	242	159	0	0	0	0	0	0	4	0	0	1	22	4	0	0	0	0	0	0	0	1	6	0	2
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	5	"AWI"	5	-47	184	73	14	0	28	5	0	5	0	51	0	0	0	0	0	0	4	0	0	15	91	0	0	0	17	0	1	0	0	0	0	1	1	0	6	0	0	0	0	0	10	0	262	110	0	0	0	1	0	0	3	0	0	0	15	7	0	0	0	0	0	0	0	1	5	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	10	"AWI"	10	-20	359	172	25	1	29	2	0	7	0	45	0	0	0	4	0	0	2	0	0	13	545	2	0	0	27	1	2	0	0	1	0	0	2	0	0	0	1	0	0	0	5	0	264	104	0	0	0	0	0	0	1	0	0	1	16	5	0	0	0	0	0	0	0	2	5	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	15	"AWI"	15	-1	541	270	91	1	22	0	0	8	0	77	0	0	1	2	0	0	0	0	0	13	130	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	171	66	0	0	0	1	0	0	4	0	0	0	13	0	0	0	0	0	0	1	1	2	1	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	20	"AWI"	20	19	730	367	132	1	23	1	0	7	0	104	0	0	3	6	0	0	0	0	0	23	34	3	0	0	117	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	131	59	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	1	0	1	1	2	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	25	"AWI"	25	87	859	465	153	1	18	0	0	4	0	42	0	0	0	1	0	0	0	0	0	12	34	0	0	0	124	1	3	0	0	0	0	0	0	0	4	0	0	0	0	1	7	0	124	36	0	0	0	0	0	0	4	0	0	0	4	1	0	0	0	0	0	0	0	6	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	30	"AWI"	30	256	880	560	140	0	29	0	0	4	0	76	0	0	0	0	0	0	0	0	0	10	49	0	0	0	112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	117	44	0	0	0	2	0	0	7	0	0	0	0	4	0	0	0	0	0	0	4	7	1	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	35	"AWI"	35	418	904	656	146	2	31	2	0	5	0	60	0	0	0	0	0	0	2	0	0	2	32	0	0	0	97	4	0	0	0	0	0	0	0	0	2	0	0	2	0	0	17	0	133	48	0	0	0	0	0	0	7	0	0	0	1	4	0	0	0	0	0	2	1	5	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	40	"AWI"	40	564	951	752	137	1	43	0	0	7	0	83	0	0	0	0	0	0	0	1	0	11	51	0	0	0	84	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	108	75	0	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	1	9	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	45	"AWI"	45	684	1015	854	147	1	32	0	0	2	0	92	0	0	0	0	0	0	0	0	0	13	39	0	0	0	63	2	2	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	111	53	0	0	0	0	0	0	9	0	0	1	1	2	0	0	0	0	2	0	2	5	1	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	50	"AWI"	50	786	1094	946	176	2	48	2	0	2	0	80	0	0	0	1	0	0	0	0	0	13	6	0	0	0	63	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	160	46	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	5	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	55	"AWI"	55	830	1273	1017	166	2	36	0	0	4	0	92	0	0	0	0	0	0	0	0	0	12	6	0	0	0	70	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	123	48	0	0	0	0	0	0	3	0	0	0	2	4	0	0	0	0	0	0	3	5	1	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	60	"AWI"	60	851	1509	1091	175	0	47	2	0	8	0	66	0	0	0	0	0	0	0	0	0	6	14	0	0	0	67	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	131	53	0	0	0	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	65	"AWI"	65	870	1755	1160	189	1	33	0	0	6	0	37	0	0	0	0	0	0	0	0	0	7	40	0	0	0	114	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	135	39	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	2	1	0	4	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	70	"AWI"	70	889	2005	1231	160	0	44	0	0	2	0	29	0	0	0	0	0	0	0	0	0	15	71	0	0	0	81	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	123	75	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	2	3	2	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	75	"AWI"	75	962	2083	1320	170	1	37	0	0	2	0	44	0	0	0	0	0	0	0	0	0	11	87	0	0	0	87	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	119	92	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	1	2	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	80	"AWI"	80	1003	2181	1417	170	0	51	0	0	3	0	49	0	0	0	0	0	0	0	0	0	9	97	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	110	81	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	85	"AWI"	85	1040	2284	1503	179	2	36	1	0	7	0	42	0	0	0	0	0	0	0	0	0	6	29	12	0	0	91	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	124	52	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	2	0	0	3	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	90	"AWI"	90	1066	2436	1589	166	1	44	2	0	11	0	27	0	0	0	0	0	0	0	0	0	10	40	0	0	0	91	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	10	2	143	54	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	4	1	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	95	"AWI"	95	1109	2536	1676	173	1	23	0	0	6	0	39	0	0	0	0	0	0	0	0	0	6	42	0	0	0	85	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	139	38	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	100	"AWI"	100	1181	2592	1758	166	1	47	0	2	2	0	46	0	0	0	0	0	0	0	0	0	16	41	0	0	0	96	1	3	0	0	0	0	0	0	0	3	0	0	0	0	0	16	1	117	25	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	105	"AWI"	105	1235	2670	1842	173	1	22	0	0	6	0	32	0	0	0	0	0	0	0	0	0	8	43	0	0	0	107	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	126	32	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	3	6	0	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	110	"AWI"	110	1276	2762	1920	154	1	39	0	0	2	0	30	0	0	0	0	0	0	0	0	0	9	43	0	0	0	90	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	154	40	0	0	0	0	0	0	1	0	0	0	2	6	0	0	0	0	0	0	1	1	2	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	115	"AWI"	115	1317	2880	1997	171	4	40	0	0	4	0	42	0	0	0	1	0	0	0	0	0	15	27	2	0	0	83	1	4	0	0	0	0	0	0	0	2	0	0	1	0	0	19	0	129	30	0	0	0	0	0	0	4	0	0	0	2	8	0	0	0	0	3	0	2	3	1	0	0
14468	22650	"Zlatnická Dolina"	49.51667	19.28333	120	"AWI"	120	1403	2966	2079	158	2	38	0	0	1	0	55	0	0	0	0	0	0	0	0	0	4	41	0	0	0	75	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	141	52	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	1	0	0	0	11	3	0	0
