"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	10	"AWI"	10	4216	4643	4423	14	0	0	3	2	16	4	0	8	46	0	63	35	10	3	0	0	0	0	3	1
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	20	"AWI"	20	4414	4987	4660	18	1	0	0	0	11	8	1	0	28	1	59	36	4	11	0	0	0	0	5	3
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	30	"AWI"	30	4563	5274	4929	23	1	2	2	4	27	3	0	11	58	0	38	26	1	7	0	0	4	0	4	3
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	35	"AWI"	35	4743	5311	5018	42	1	2	3	0	46	0	0	16	37	0	26	21	0	19	0	0	1	1	11	7
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	45	"AWI"	45	4917	5474	5208	36	4	0	3	5	48	0	0	16	45	0	28	17	2	26	0	1	1	0	6	6
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	50	"AWI"	50	5032	5500	5267	24	1	0	2	5	36	0	0	10	38	0	17	21	0	15	0	0	0	0	11	13
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	55	"AWI"	55	5114	5531	5331	62	4	0	4	8	60	4	0	14	18	0	48	27	2	79	0	0	0	0	18	13
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	65	"AWI"	65	5280	5706	5488	72	0	0	2	17	52	3	0	27	2	0	57	28	2	28	0	0	0	0	27	20
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	70	"AWI"	70	5330	5917	5571	44	2	0	2	10	58	2	0	32	11	0	10	28	8	47	0	0	7	0	12	12
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	80	"AWI"	80	5419	6299	5741	91	3	0	1	0	70	0	1	7	3	0	12	42	2	51	0	0	1	0	21	34
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	85	"AWI"	85	5465	6472	5837	75	0	0	7	0	114	8	0	8	9	0	9	57	12	31	0	0	0	0	15	21
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	90	"AWI"	90	5495	6706	5928	32	1	0	2	0	53	0	0	1	1	0	14	42	1	12	0	0	1	0	10	14
1121	4116	"Ivanovskoye Peat Bog"	56.81667	38.76667	95	"AWI"	95	5568	6813	6026	52	2	0	0	3	57	1	0	4	2	0	20	42	18	15	3	0	0	0	10	24
